condition_key,w_inter,trial_idx,seed,a_hat_value
WT_APP,2.0,0,191664963,0.034020878207291355
WT_APP,2.0,0,191664963,0.038838130806565334
WT_APP,2.0,0,191664963,0.019084962645013633
WT_APP,2.0,0,191664963,0.0322833005061104
WT_APP,2.0,0,191664963,0.040379943452466274
WT_APP,2.0,0,191664963,0.02717136575423622
WT_APP,2.0,0,191664963,0.03322538454139446
WT_APP,2.0,0,191664963,0.010441722219631432
WT_APP,2.0,0,191664963,0.029904008801649236
WT_APP,2.0,0,191664963,0.007261807600985113
WT_APP,2.0,0,191664963,0.009631657542366877
WT_APP,2.0,0,191664963,0.042146754428788825
WT_APP,2.0,0,191664963,0.02722442160810985
WT_APP,2.0,0,191664963,0.041705805705487896
WT_APP,2.0,0,191664963,0.04902819901545107
WT_APP,2.0,0,191664963,0.02656831586830447
WT_APP,2.0,0,191664963,0.03910143428853504
WT_APP,2.0,0,191664963,0.04142076128886559
WT_APP,2.0,0,191664963,0.014167330644120034
WT_APP,2.0,0,191664963,0.0362818258263096
WT_APP,2.0,0,191664963,0.03338531473408997
WT_APP,2.0,0,191664963,0.030651801377959136
WT_APP,2.0,0,191664963,0.021493471879188583
WT_APP,2.0,0,191664963,0.01958862247435804
WT_APP,2.0,0,191664963,0.029768440402963663
WT_APP,2.0,0,191664963,0.034020878207291355
WT_APP,2.0,1,1662057957,0.014166805937593153
WT_APP,2.0,1,1662057957,0.005162058941860853
WT_APP,2.0,1,1662057957,0.016643395791709956
WT_APP,2.0,1,1662057957,0.020379836329069968
WT_APP,2.0,1,1662057957,0.044049521794625686
WT_APP,2.0,1,1662057957,0.03664756367844447
WT_APP,2.0,1,1662057957,0.015693906159560806
WT_APP,2.0,1,1662057957,0.012346240567128323
WT_APP,2.0,1,1662057957,0.03691640142266194
WT_APP,2.0,1,1662057957,0.011819193663280731
WT_APP,2.0,1,1662057957,0.019386519836126298
WT_APP,2.0,1,1662057957,0.026631014499241972
WT_APP,2.0,1,1662057957,0.03206807629382637
WT_APP,2.0,1,1662057957,0.02130790044079159
WT_APP,2.0,1,1662057957,0.024946181481691587
WT_APP,2.0,1,1662057957,0.04665349131095874
WT_APP,2.0,1,1662057957,0.027081539566178314
WT_APP,2.0,1,1662057957,0.018810461429622977
WT_APP,2.0,1,1662057957,0.027553776471947743
WT_APP,2.0,1,1662057957,0.011971005549790232
WT_APP,2.0,1,1662057957,0.034639849689147365
WT_APP,2.0,1,1662057957,0.03363533044807121
WT_APP,2.0,1,1662057957,0.017417670608625372
