condition_key,amplitude,w_inter,trial_idx,seed,A_hat_final,a_hat_timecourse,peak_pyr_rate,center_final_deg,error_from_cue_deg
WT,0.1,0.001,10,1008898872,0.22164700070210544,0.315271 0.120206 0.308880 0.218608 0.678255 0.441671 0.859061 0.852149 0.807040 0.546413 0.464954 0.594526 0.568420 0.679872 0.220406 0.244666 0.252416 0.387989 0.627782 0.601630 0.592742 0.428252 0.158259 0.232579 0.221647,0.05577631100946658,331.0324002834347,151.0324002834347
WT,0.1,0.001,32,1584690825,0.737723366882756,0.489240 0.173187 0.593167 0.772994 0.609918 0.433064 0.444310 0.560094 0.419137 0.140954 0.494284 0.739538 0.374178 0.468903 0.541084 0.153504 0.236874 0.678595 0.320376 0.291657 0.758706 0.197370 0.722938 0.210019 0.737723,0.0889987951955576,277.5303244574963,97.5303244574963
WT,0.1,0.001,5,211694680,0.9213691868379366,0.262512 0.612352 0.524682 0.812152 0.445300 0.213495 0.735965 0.622181 0.910390 0.789919 0.618598 0.304820 0.333509 0.348090 0.060790 0.377794 0.359146 0.412465 0.651435 0.689294 0.308898 0.526695 0.453161 0.746368 0.921369,0.09641513483178829,142.57035287308554,37.42964712691446
WT,0.1,0.001,27,786556690,0.5205459241768815,0.426775 0.930140 0.198823 0.501635 0.432975 0.464507 0.502590 0.419525 0.639844 0.488802 0.538688 0.512877 0.252321 0.656207 0.543977 0.819164 0.377156 0.605559 0.643708 0.301212 0.360580 0.177809 0.781848 0.644568 0.520546,0.07896880178912652,182.6898382138995,2.689838213899492
WT,0.1,0.001,42,1762120781,0.5931580005531496,0.945021 0.132107 0.215011 0.243952 0.206062 0.391157 0.623351 0.536952 0.554398 0.502893 0.230667 0.467293 0.651993 0.742639 0.230154 0.594789 0.185306 0.515892 0.431872 0.537979 0.328941 0.729649 0.205344 0.252505 0.593158,0.058058978457278664,224.82282286569946,44.822822865699465
WT,0.1,0.001,43,1700607009,0.7257121127388206,0.937019 0.438177 0.082881 0.432615 0.425901 0.329093 0.303454 0.693888 0.585169 0.428406 0.275543 0.698259 0.173339 0.222333 0.632233 0.086240 0.421819 0.392359 0.263266 0.549274 0.383259 0.409067 0.493020 0.490173 0.725712,0.1317956215260722,109.70573984475298,70.29426015524702
WT,0.1,0.001,37,928832081,0.6071928297508542,0.189651 0.357967 0.427734 0.363009 0.343362 0.457770 0.254937 0.622296 0.602804 0.351084 0.602679 0.471309 0.659074 0.738019 0.344346 0.395406 0.648887 0.846778 0.472117 0.219013 0.574587 0.314258 0.473627 0.360261 0.607193,0.07565431538442954,173.921376952551,6.078623047449014
WT,0.1,0.001,36,885327366,0.1362187658643907,0.654920 0.423487 0.343451 0.201783 0.256503 0.287931 0.587248 0.069264 0.483288 0.538426 0.538029 0.953261 0.499569 0.349153 0.665261 0.513079 0.568036 0.719338 0.242117 0.342123 0.502339 0.411775 0.605315 0.669927 0.136219,0.08158016781724224,243.9448617078591,63.944861707859104
WT,0.1,0.001,11,794319243,0.057074382585027936,0.336317 0.430060 0.220084 0.404077 0.274738 0.554143 0.285549 0.703918 0.558311 0.626745 0.844426 0.341198 0.165075 0.284259 0.334120 0.726621 0.516166 0.779166 0.685617 0.292781 0.782787 0.413077 0.350530 0.258895 0.057074,0.0620634998661318,127.2437230590689,52.7562769409311
WT,0.1,0.001,31,2089154132,0.3580297600915147,0.438150 0.597701 0.410210 0.744100 0.246414 0.662935 0.550295 0.286371 0.608030 0.394607 0.570145 0.642811 0.454838 0.151091 0.381294 0.336829 0.351567 0.718481 0.142131 0.807919 0.248016 0.504635 0.370886 0.718682 0.358030,0.05957381471961614,283.4697318507799,103.46973185077991
