condition,w_inter,trial_idx,seed,A_hat,cap_hit,noise_percentile,noise_threshold
WT,0.001,0,452,0.4257108316,0,95,0.7884046749
WT,0.001,1,453,0.04275646376,0,95,0.7884046749
WT,0.001,2,454,0.4671527354,0,95,0.7884046749
WT,0.001,3,455,0.02562338936,0,95,0.7884046749
WT,0.001,4,456,0.6712071549,0,95,0.7884046749
WT,0.001,5,457,0.1242956051,0,95,0.7884046749
WT,0.001,6,458,0.1743295112,0,95,0.7884046749
WT,0.001,7,459,0.8139141203,0,95,0.7884046749
WT,0.001,8,460,0.5312614806,0,95,0.7884046749
WT,0.001,9,461,0.05135231613,0,95,0.7884046749
WT,0.001,10,462,0.1715433115,0,95,0.7884046749
WT,0.001,11,463,0.2123933726,0,95,0.7884046749
WT,0.001,12,464,0.2283893732,0,95,0.7884046749
WT,0.001,13,465,0.2706038745,0,95,0.7884046749
WT,0.001,14,466,0.7399037803,0,95,0.7884046749
WT,0.001,15,467,0.4244764801,0,95,0.7884046749
WT,0.001,16,468,0.5673459084,0,95,0.7884046749
WT,0.001,17,469,0.2490116366,0,95,0.7884046749
WT,0.001,18,470,0.7155578217,0,95,0.7884046749
WT,0.001,19,471,0.302222516,0,95,0.7884046749
WT,0.001,20,472,0.5988521816,0,95,0.7884046749
WT,0.001,21,473,0.5963635294,0,95,0.7884046749
WT,0.001,22,474,0.6489183249,0,95,0.7884046749
WT,0.001,23,475,0.3015490238,0,95,0.7884046749
WT,0.001,24,476,0.5397331421,0,95,0.7884046749
WT,0.001,25,477,0.3429662794,0,95,0.7884046749
WT,0.001,26,478,0.5305827364,0,95,0.7884046749
WT,0.001,27,479,0.5224205684,0,95,0.7884046749
WT,0.001,28,480,0.4159815989,0,95,0.7884046749
WT,0.001,29,481,0.2029617486,0,95,0.7884046749
WT,0.001,30,482,0.4418663487,0,95,0.7884046749
WT,0.001,31,483,0.4231239152,0,95,0.7884046749
WT,0.001,32,484,0.8792924932,0,95,0.7884046749
WT,0.001,33,485,0.211971023,0,95,0.7884046749
WT,0.001,34,486,0.7712579882,0,95,0.7884046749
