condition,amplitude,distractor_factor,offset_deg,trial_idx,seed,cue_freq_median_hz,cue_power_median,dist_freq_median_hz,dist_power_median,plv_median_delay2
WT,4.0,1.0,90.0,0,1168784116,3.094515285375728,0.025337567134599837,2.7654406112519383,0.14514668900165578,0.339970735184531
WT,4.0,1.0,90.0,1,921289450,8.315389330341896,0.009479076214487542,2.3056950372968177,0.18089760519605086,0.19737577554752353
WT,4.0,1.0,,0,1168784116,3.084423062558647,0.026065807720079888,3.084423062558647,0.026065807720079888,1.0
WT,4.0,1.0,,1,921289450,8.364919378722526,0.009943422976422192,8.364919378722526,0.009943422976422192,1.0
WT,5.0,1.0,90.0,0,1168784116,3.122712143302076,0.03168641133349927,2.778697351689668,0.22848627793313692,0.3726035614822248
WT,5.0,1.0,90.0,1,921289450,8.327062392364457,0.011410628463863287,2.3127756712731897,0.26732020380770033,0.21523763331718723
WT,5.0,1.0,,0,1168784116,3.104090482659389,0.0324574143595854,3.104090482659389,0.0324574143595854,1.0
WT,5.0,1.0,,1,921289450,8.417461142821494,0.012283096517188584,8.417461142821494,0.012283096517188584,1.0
