condition_key,w_inter,a_hat_value
b2_KO,2.0,0.024321123686193432
b2_KO,2.0,0.03471591172936418
b2_KO,2.0,0.017382579072030637
b2_KO,2.0,0.028916456129025325
b2_KO,2.0,0.037563609264179544
b2_KO,2.0,0.027934088892153926
b2_KO,2.0,0.03263143781354554
b2_KO,2.0,0.008715581146873942
b2_KO,2.0,0.02685475145220026
b2_KO,2.0,0.006312765382625217
b2_KO,2.0,0.008811751283629371
b2_KO,2.0,0.04030461716067208
b2_KO,2.0,0.0253590417523242
b2_KO,2.0,0.03979695091588409
b2_KO,2.0,0.04611563515768443
b2_KO,2.0,0.024321123686193432
b2_KO,2.0,0.04386745716494869
b2_KO,2.0,0.006200948930559897
b2_KO,2.0,0.014618526421287774
b2_KO,2.0,0.01818169603809634
b2_KO,2.0,0.04592354704647626
b2_KO,2.0,0.033199248280088044
b2_KO,2.0,0.015864280194621737
b2_KO,2.0,0.012049984503784207
b2_KO,2.0,0.03433420516068808
b2_KO,2.0,0.010670700684297554
b2_KO,2.0,0.019524493090580537
b2_KO,2.0,0.022810394406000762
b2_KO,2.0,0.030464370830664132
b2_KO,2.0,0.018641874753112037
b2_KO,2.0,0.024883357020271543
b2_KO,2.0,0.04386745716494869
b2_KO,2.0,0.009312045845622348
b2_KO,2.0,0.014183904503690123
b2_KO,2.0,0.03766293814474865
b2_KO,2.0,0.03342507869691508
b2_KO,2.0,0.03571850847536179
b2_KO,2.0,0.013661246014371903
b2_KO,2.0,0.03190480852854628
b2_KO,2.0,0.05510223485950305
b2_KO,2.0,0.022762317766891093
b2_KO,2.0,0.016256088181047793
b2_KO,2.0,0.017361576500203868
b2_KO,2.0,0.004841423058760429
b2_KO,2.0,0.044682023636810446
b2_KO,2.0,0.025391318233019523
b2_KO,2.0,0.04114448920936959
b2_KO,2.0,0.009312045845622348
b2_KO,2.0,0.016429554397927423
b2_KO,2.0,0.01851658254777608
b2_KO,2.0,0.03483014981211163
b2_KO,2.0,0.00806797328261029
b2_KO,2.0,0.03007223830716061
b2_KO,2.0,0.05905638940158775
b2_KO,2.0,0.015143929324210825
b2_KO,2.0,0.00891960421364688
b2_KO,2.0,0.007398205703801921
b2_KO,2.0,0.013671349035058851
b2_KO,2.0,0.02084998750687775
b2_KO,2.0,0.02161760262547788
b2_KO,2.0,0.028528244289226335
b2_KO,2.0,0.022649717428694104
b2_KO,2.0,0.021933774470023128
b2_KO,2.0,0.016429554397927423
b2_KO,2.0,0.013249401007730734
b2_KO,2.0,0.01492273096651194
b2_KO,2.0,0.008095167558185
b2_KO,2.0,0.021447634997355604
b2_KO,2.0,0.02768704654034843
b2_KO,2.0,0.030473988621064416
b2_KO,2.0,0.030552832408845737
b2_KO,2.0,0.02707228694783964
b2_KO,2.0,0.01349314533958959
b2_KO,2.0,0.025943212875032925
b2_KO,2.0,0.02552589841097092
b2_KO,2.0,0.031004060739203646
b2_KO,2.0,0.031800737246213275
b2_KO,2.0,0.02017939358964264
b2_KO,2.0,0.014186313771371497
b2_KO,2.0,0.013249401007730734
b2_KO,2.0,0.01907477050634561
b2_KO,2.0,0.0293741481505239
b2_KO,2.0,0.00782754029722394
b2_KO,2.0,0.03289881895486864
b2_KO,2.0,0.02647681818876621
b2_KO,2.0,0.024019086867750287
b2_KO,2.0,0.02908583675806707
b2_KO,2.0,0.03140017257867022
b2_KO,2.0,0.02504954532663039
b2_KO,2.0,0.011872793918033095
b2_KO,2.0,0.0020653646585943822
b2_KO,2.0,0.027908183697729436
b2_KO,2.0,0.006026571443269913
b2_KO,2.0,0.028208500936066076
b2_KO,2.0,0.029282281579166163
b2_KO,2.0,0.01907477050634561
b2_KO,2.0,0.010381407439753142
b2_KO,2.0,0.016250893762326097
b2_KO,2.0,0.0039395475606562955
b2_KO,2.0,0.020801828434778156
