condition,trial_idx,seed,cue_deg,pre_cue_asym,last_pre_cue_asym,delay_asym,delay_ms,amplitude,random_cue,balance_cue,correct_asymmetry,mean_abs_asym,asym_std,mean_abs_asym_precue,asym_std_precue
WT,0,191664963,181.40625,nan,nan,-0.004089423178158562,5000.0,15.0,0,1,1,0.03385449324820003,0.04571280728187687,nan,nan
WT,1,1662057957,181.40625,nan,nan,-0.005429105059975805,5000.0,15.0,0,1,1,0.031019225596303587,0.041597902069539935,nan,nan
WT,2,1405681631,181.40625,nan,nan,0.005741400255440694,5000.0,15.0,0,1,1,0.032493306342373324,0.04306866191963063,nan,nan
WT,3,942484272,181.40625,nan,nan,-0.011110633854917123,5000.0,15.0,0,1,1,0.03584188292169525,0.04310129813457297,nan,nan
WT,4,929893137,181.40625,nan,nan,0.0006070032626580032,5000.0,15.0,0,1,1,0.03856967294323954,0.04929035237811709,nan,nan
WT,5,1843824992,181.40625,nan,nan,-0.0003204380508758356,5000.0,15.0,0,1,1,0.035231823082304825,0.04695783428717959,nan,nan
WT,6,184566854,181.40625,nan,nan,0.004843710262625273,5000.0,15.0,0,1,1,0.03214197605998893,0.04228725517431933,nan,nan
WT,7,1497586438,181.40625,nan,nan,0.005928845458443931,5000.0,15.0,0,1,1,0.03276021102787676,0.045851336158578,nan,nan
WT,8,432652533,181.40625,nan,nan,0.0004911870177061955,5000.0,15.0,0,1,1,0.04606619932421183,0.05820794628994869,nan,nan
WT,9,202244314,181.40625,nan,nan,0.006535708589776583,5000.0,15.0,0,1,1,0.03332805519400447,0.04313786954746327,nan,nan
WT,10,1130604997,181.40625,nan,nan,0.01200084227682095,5000.0,15.0,0,1,1,0.039043796843152734,0.05128700797687184,nan,nan
WT,11,2095133045,181.40625,nan,nan,0.0005832648922554933,5000.0,15.0,0,1,1,0.036134922978684696,0.0474642648458165,nan,nan
WT,12,1580016183,181.40625,nan,nan,-0.0075581666676480756,5000.0,15.0,0,1,1,0.04359902889712005,0.05703762119337478,nan,nan
WT,13,1634535062,181.40625,nan,nan,-0.0009870072693698628,5000.0,15.0,0,1,1,0.033578451550617006,0.04391172261005255,nan,nan
WT,14,1540770719,181.40625,nan,nan,0.009118857170362916,5000.0,15.0,0,1,1,0.03313229941485678,0.044071986021265636,nan,nan
WT,15,1688060240,181.40625,nan,nan,-0.0038412781483412204,5000.0,15.0,0,1,1,0.03788453417214033,0.05160692734534258,nan,nan
WT,16,1102145672,181.40625,nan,nan,-0.003999194188050127,5000.0,15.0,0,1,1,0.03635904088904983,0.04762649710340853,nan,nan
WT,17,275121930,181.40625,nan,nan,-0.0007485197047142804,5000.0,15.0,0,1,1,0.029416023459957603,0.03794961336145393,nan,nan
WT,18,1803345590,181.40625,nan,nan,-0.004198658132916847,5000.0,15.0,0,1,1,0.03659619130743472,0.04752281623281378,nan,nan
WT,19,967196436,181.40625,nan,nan,-0.010373519275333438,5000.0,15.0,0,1,1,0.040987571092227795,0.05220663209810676,nan,nan
WT,20,1074497555,181.40625,nan,nan,-0.00641199797619717,5000.0,15.0,0,1,1,0.03935197572256478,0.050521438556493825,nan,nan
WT,21,796282693,181.40625,nan,nan,-0.003169134856384152,5000.0,15.0,0,1,1,0.03984345876671787,0.05058314024496177,nan,nan
WT,22,392022359,181.40625,nan,nan,0.006270486375774009,5000.0,15.0,0,1,1,0.03594427440109705,0.04722813098933069,nan,nan
WT,23,1990212658,181.40625,nan,nan,0.01324543592615342,5000.0,15.0,0,1,1,0.03266423336301063,0.04232921029881958,nan,nan
WT,24,1678403330,181.40625,nan,nan,0.000603323082976065,5000.0,15.0,0,1,1,0.02961399753387591,0.03912025741758358,nan,nan
WT,25,1382689815,181.40625,nan,nan,-0.009048164817599917,5000.0,15.0,0,1,1,0.03906131267347275,0.05199640071061114,nan,nan
WT,26,864178266,181.40625,nan,nan,0.0013343946859260417,5000.0,15.0,0,1,1,0.029500932524039947,0.038949372492949365,nan,nan
WT,27,1766867109,181.40625,nan,nan,-0.007305875731926345,5000.0,15.0,0,1,1,0.03532960718115164,0.04522035848070215,nan,nan
WT,28,1171300112,181.40625,nan,nan,0.0023475237017976484,5000.0,15.0,0,1,1,0.038882935453793066,0.051389911574912864,nan,nan
WT,29,952224740,181.40625,nan,nan,0.007464529251989926,5000.0,15.0,0,1,1,0.028202479252466106,0.03755194739261668,nan,nan
WT,30,967354524,181.40625,nan,nan,0.0007682241294106443,5000.0,15.0,0,1,1,0.036246699029745,0.04859864262120655,nan,nan
WT,31,487991438,181.40625,nan,nan,-0.004820201222306005,5000.0,15.0,0,1,1,0.03675487994879042,0.0487827976669953,nan,nan
WT,32,197860368,181.40625,nan,nan,0.0025580824759581684,5000.0,15.0,0,1,1,0.03849382320663449,0.050321742230404386,nan,nan
WT,33,1190961760,181.40625,nan,nan,-0.010487432989323035,5000.0,15.0,0,1,1,0.033204990830926116,0.0410481716511185,nan,nan
WT,34,1906728918,181.40625,nan,nan,-0.004446040948534522,5000.0,15.0,0,1,1,0.031130134487379724,0.04231496255553198,nan,nan
