condition,w_inter,trial_idx,seed,A_hat,noise_percentile,noise_threshold
WT,5,6,50448,0.08375182131,95,0.09318451675
WT,5,7,50449,0.04898796644,95,0.09318451675
WT,5,8,50450,0.02196178701,95,0.09318451675
WT,5,9,50451,0.04639906123,95,0.09318451675
WT,5,10,50452,0.03428214848,95,0.09318451675
WT,5,11,50453,0.01502637647,95,0.09318451675
WT,5,12,50454,0.04764940713,95,0.09318451675
WT,5,13,50455,0.07557432933,95,0.09318451675
WT,5,14,50456,0.07015893203,95,0.09318451675
WT,5,15,50457,0.02990941604,95,0.09318451675
WT,5,16,50458,0.0455133471,95,0.09318451675
WT,5,17,50459,0.02317181222,95,0.09318451675
WT,5,18,50460,0.1084665206,95,0.09318451675
WT,5,19,50461,0.03530339971,95,0.09318451675
WT,5,20,50462,0.0493302069,95,0.09318451675
WT,5,21,50463,0.03818373187,95,0.09318451675
WT,5,22,50464,0.1016263883,95,0.09318451675
WT,5,23,50465,0.03653437251,95,0.09318451675
WT,5,24,50466,0.09340001533,95,0.09318451675
WT,5,25,50467,0.06815864404,95,0.09318451675
WT,5,26,50468,0.03827181612,95,0.09318451675
WT,5,27,50469,0.03123428002,95,0.09318451675
WT,5,28,50470,0.0441527568,95,0.09318451675
WT,5,29,50471,0.03808165669,95,0.09318451675
WT,5,30,50472,0.05328245317,95,0.09318451675
WT,5,31,50473,0.03817220593,95,0.09318451675
WT,5,32,50474,0.05208842002,95,0.09318451675
WT,5,33,50475,0.02872255084,95,0.09318451675
WT,5,34,50476,0.04398137123,95,0.09318451675
WT,5,35,50477,0.07273992604,95,0.09318451675
WT,5,36,50478,0.0740794066,95,0.09318451675
WT,5,37,50479,0.02761814308,95,0.09318451675
WT,5,38,50480,0.04355382148,95,0.09318451675
WT,5,39,50481,0.01819132336,95,0.09318451675
WT,5,40,50482,0.02057547218,95,0.09318451675
WT,5,41,50483,0.03628035722,95,0.09318451675
WT,5,42,50484,0.09047128764,95,0.09318451675
WT,5,43,50485,0.0352146498,95,0.09318451675
WT,5,44,50486,0.001948181924,95,0.09318451675
WT,5,45,50487,0.02354439974,95,0.09318451675
WT,5,46,50488,0.02964784079,95,0.09318451675
WT,5,47,50489,0.1140040542,95,0.09318451675
WT,5,48,50490,0.02402575391,95,0.09318451675
WT,5,49,50491,0.03739460927,95,0.09318451675
WT,5,50,50492,0.0251649376,95,0.09318451675
WT,5,51,50493,0.03123337176,95,0.09318451675
WT,5,52,50494,0.0207382187,95,0.09318451675
WT,5,53,50495,0.06767464692,95,0.09318451675
WT,5,54,50496,0.03688367666,95,0.09318451675
WT,5,55,50497,0.03346802193,95,0.09318451675
WT,5,56,50498,0.01912205197,95,0.09318451675
WT,5,57,50499,0.04835837812,95,0.09318451675
WT,5,58,50500,0.06541913648,95,0.09318451675
WT,5,59,50501,0.03414775316,95,0.09318451675
WT,5,60,50502,0.07648413493,95,0.09318451675
WT,5,61,50503,0.09132249411,95,0.09318451675
WT,5,62,50504,0.04980733558,95,0.09318451675
WT,5,63,50505,0.01931956504,95,0.09318451675
WT,5,64,50506,0.04691239943,95,0.09318451675
WT,5,65,50507,0.04027588503,95,0.09318451675
WT,5,66,50508,0.09317317472,95,0.09318451675
WT,5,67,50509,0.03872885959,95,0.09318451675
WT,5,68,50510,0.03617352833,95,0.09318451675
WT,5,69,50511,0.04755145192,95,0.09318451675
WT,5,70,50512,0.03864460132,95,0.09318451675
WT,5,71,50513,0.04865159264,95,0.09318451675
WT,5,72,50514,0.03167901003,95,0.09318451675
WT,5,73,50515,0.07478047691,95,0.09318451675
WT,5,74,50516,0.01866763319,95,0.09318451675
WT,5,75,50517,0.06032276972,95,0.09318451675
WT,5,76,50518,0.04583654662,95,0.09318451675
WT,5,77,50519,0.07448431141,95,0.09318451675
WT,5,78,50520,0.05590228213,95,0.09318451675
WT,5,79,50521,0.08258541368,95,0.09318451675
WT,5,80,50522,0.06912048362,95,0.09318451675
WT,5,81,50523,0.02816675776,95,0.09318451675
WT,5,82,50524,0.06829052307,95,0.09318451675
WT,5,83,50525,0.07334922997,95,0.09318451675
WT,5,84,50526,0.1073810387,95,0.09318451675
WT,5,85,50527,0.08479701163,95,0.09318451675
WT,5,86,50528,0.02904867195,95,0.09318451675
WT,5,87,50529,0.06183193731,95,0.09318451675
WT,5,88,50530,0.05747425966,95,0.09318451675
WT,5,89,50531,0.06257282712,95,0.09318451675
WT,5,90,50532,0.0810299649,95,0.09318451675
WT,5,91,50533,0.08999275767,95,0.09318451675
WT,5,92,50534,0.04496324351,95,0.09318451675
WT,5,93,50535,0.07173233322,95,0.09318451675
WT,5,94,50536,0.07399287174,95,0.09318451675
WT,5,95,50537,0.04520747488,95,0.09318451675
WT,5,96,50538,0.06651466653,95,0.09318451675
WT,5,97,50539,0.06461200328,95,0.09318451675
