Rank    L_total   L_bistab     L_rate  L_rate_hi   L_margin    r_low   r_high   SOM_hi    PV_hi   VIP_hi      regime
--------------------------------------------------------------------------------------------------------------------
   1     5.6058     0.0000     1.2289     1.0827     0.0000     1.71    42.95     0.00    34.49    68.66    BISTABLE
   2     5.6058     0.0000     1.2289     1.0827     0.0000     1.71    42.95     0.00    34.49    68.66    BISTABLE
   3     5.6059     0.0000     1.2289     1.0827     0.0000     1.71    42.95     0.00    34.49    68.66    BISTABLE
   4     5.6059     0.0000     1.2289     1.0827     0.0000     1.71    42.95     0.00    34.49    68.66    BISTABLE
   5     5.6062     0.0000     1.2212     1.0828     0.0000     1.73    42.95     0.00    34.39    69.03    BISTABLE
   6     5.6063     0.0000     1.2272     1.0827     0.0000     1.72    42.95     0.00    34.48    69.20    BISTABLE
   7     5.6064     0.0000     1.2272     1.0826     0.0000     1.72    42.95     0.00    34.49    69.20    BISTABLE
   8     5.6065     0.0000     1.2325     1.0826     0.0000     1.70    42.95     0.00    34.53    68.73    BISTABLE
   9     5.6065     0.0000     1.2291     1.0828     0.0000     1.71    42.94     0.00    34.54    68.01    BISTABLE
  10     5.6065     0.0000     1.2295     1.0828     0.0000     1.71    42.95     0.00    34.43    68.36    BISTABLE
