condition,trial_idx,seed,cue_deg,pre_cue_asym,delay_asym,delay_ms,amplitude,random_cue,snap_cue
WT,87,670802254,180.0,0.021768158279564565,-0.0038850823215561495,5000.0,30.0,0,0
WT,88,1648932249,180.0,-0.031489187128625,8.871111251016848e-05,5000.0,30.0,0,0
WT,89,1787264313,180.0,0.008726728706113228,-0.0005764608925439004,5000.0,30.0,0,0
WT,90,934620676,180.0,-0.009236979437161806,-0.004656987856987789,5000.0,30.0,0,0
WT,91,1728218297,180.0,0.008993338656868695,-0.007788185640512165,5000.0,30.0,0,0
WT,92,1807519524,180.0,-0.012330949113470135,-0.0074890233808146715,5000.0,30.0,0,0
WT,93,832103482,180.0,-0.006573778860828998,-0.003697185440414416,5000.0,30.0,0,0
WT,94,1928628490,180.0,-0.01557355304199306,-0.006026285625711382,5000.0,30.0,0,0
WT,95,619179887,180.0,0.0025310920756500756,-0.0007230301504152056,5000.0,30.0,0,0
WT,96,514446424,180.0,-0.008443535955798732,-0.0015017140831424755,5000.0,30.0,0,0
WT,97,1465647933,180.0,-0.015923496010994333,-0.0004707249950722266,5000.0,30.0,0,0
WT,98,1367435607,180.0,-0.023899002508908102,-0.005340519921506425,5000.0,30.0,0,0
WT,99,300116172,180.0,-0.028013602447291085,-0.00573886872909606,5000.0,30.0,0,0
WT_APP,0,191664963,180.0,-0.00028319282492213026,0.004658708177060442,5000.0,30.0,0,0
WT_APP,1,1662057957,180.0,-0.009152672122455614,-0.0046641144355173475,5000.0,30.0,0,0
WT_APP,2,1405681631,180.0,-0.0032210332427766507,-0.009785296329277882,5000.0,30.0,0,0
WT_APP,3,942484272,180.0,0.01879785713897749,-0.001530728222052917,5000.0,30.0,0,0
WT_APP,4,929893137,180.0,0.009489602065942787,-0.0021691943647997813,5000.0,30.0,0,0
WT_APP,5,1843824992,180.0,-0.011358683217646787,-0.00024032612471947557,5000.0,30.0,0,0
WT_APP,6,184566854,180.0,0.023662270085781357,-0.0008033415347238912,5000.0,30.0,0,0
