condition_key,offset_deg,amp_factor,n_trials,drift_mean_deg,drift_sd_deg,drift_sem_deg,collapse_prob,pre_amp_mean,post_amp_mean,distractor_duration_ms,delay1_ms,delay2_ms,cue_amp_factor
WT,0.0,0.5,5,2.4842999127794334,5.991835714154566,2.6796303933721215,0.0,0.25055399411921025,0.1606231662121537,250.0,1000.0,1000.0,15.0
WT,0.0,0.75,5,2.9753900340112365,7.568891894642417,3.384911358153524,0.0,0.25055399411921025,0.11827829239760593,250.0,1000.0,1000.0,15.0
WT,0.0,1.0,5,3.662288196299973,8.817907912624632,3.9434883023923906,0.0,0.25055399411921025,0.09274974035681124,250.0,1000.0,1000.0,15.0
WT,0.0,1.25,5,4.520034441457393,9.677819682681058,4.3280525368920575,0.0,0.25055399411921025,0.07775145686769015,250.0,1000.0,1000.0,15.0
WT,0.0,1.5,5,5.198864489721627,10.238749074281847,4.578907786931451,0.0,0.25055399411921025,0.07001343670743723,250.0,1000.0,1000.0,15.0
WT,5.0,0.5,5,2.4094256374932095,6.157520260404783,2.75372677501946,0.0,0.25055399411921025,0.16203508786754436,250.0,1000.0,1000.0,15.0
WT,5.0,0.75,5,2.0116259884663203,7.234693929411781,3.2354534845139615,0.0,0.25055399411921025,0.11938787371393791,250.0,1000.0,1000.0,15.0
WT,5.0,1.0,5,1.9419380803497681,8.279289850269585,3.7026109821253694,0.0,0.25055399411921025,0.09493618195922589,250.0,1000.0,1000.0,15.0
WT,5.0,1.25,5,2.429108056533516,9.016890545902871,4.032476041262801,0.0,0.25055399411921025,0.08035430512441241,250.0,1000.0,1000.0,15.0
WT,5.0,1.5,5,3.3842181909289364,9.101595777431779,4.0703573724125,0.0,0.25055399411921025,0.07258715189626644,250.0,1000.0,1000.0,15.0
WT,10.0,0.5,5,2.406256542719579,5.926355064734569,2.6503465567093323,0.0,0.25055399411921025,0.16703813749214516,250.0,1000.0,1000.0,15.0
WT,10.0,0.75,5,1.724827548217079,6.87893685309652,3.0763540832904606,0.0,0.25055399411921025,0.12453201406171846,250.0,1000.0,1000.0,15.0
WT,10.0,1.0,5,1.4517051520466455,7.354232519286882,3.288912767093,0.0,0.25055399411921025,0.1005080183731136,250.0,1000.0,1000.0,15.0
WT,10.0,1.25,5,1.6186626294667252,7.38538692870506,3.3028454425445815,0.0,0.25055399411921025,0.08630003571474147,250.0,1000.0,1000.0,15.0
WT,10.0,1.5,5,2.200768549784605,7.3098031130171375,3.2690433325691792,0.0,0.25055399411921025,0.07844505736017414,250.0,1000.0,1000.0,15.0
WT,15.0,0.5,5,2.7546525158177118,5.433997815125246,2.430157700841077,0.0,0.25055399411921025,0.17533333730138734,250.0,1000.0,1000.0,15.0
WT,15.0,0.75,5,1.7776066756402595,6.124788407955397,2.7390886455981964,0.0,0.25055399411921025,0.1345695243381551,250.0,1000.0,1000.0,15.0
WT,15.0,1.0,5,1.2845114832741764,6.225447722679337,2.784104859656451,0.0,0.25055399411921025,0.10940705909089947,250.0,1000.0,1000.0,15.0
WT,15.0,1.25,5,0.8376784282800056,5.97249827153318,2.6709824261296373,0.0,0.25055399411921025,0.09380110332680838,250.0,1000.0,1000.0,15.0
WT,15.0,1.5,5,0.7633335115427179,5.6954987125217045,2.5471044573922126,0.0,0.25055399411921025,0.08503766485409817,250.0,1000.0,1000.0,15.0
WT,20.0,0.5,5,3.554864435558587,4.842273499160354,2.1655305419536646,0.0,0.25055399411921025,0.18608415191914462,250.0,1000.0,1000.0,15.0
WT,20.0,0.75,5,1.883401448093472,5.018273866706847,2.2442402991334456,0.0,0.25055399411921025,0.1470553958569896,250.0,1000.0,1000.0,15.0
WT,20.0,1.0,5,0.5783872168554376,5.036662856887006,2.252464105549528,0.0,0.25055399411921025,0.1218534117480565,250.0,1000.0,1000.0,15.0
WT,20.0,1.25,5,-0.1862840149510161,5.112104596676246,2.286202677251446,0.0,0.25055399411921025,0.10518036367095643,250.0,1000.0,1000.0,15.0
WT,20.0,1.5,5,-0.22006757003008026,5.208020323980569,2.329097494524206,0.0,0.25055399411921025,0.0950894755166643,250.0,1000.0,1000.0,15.0
WT,30.0,0.5,5,5.999961781191594,3.890515425922199,1.7398913919747168,0.0,0.25055399411921025,0.2083815208254746,250.0,1000.0,1000.0,15.0
WT,30.0,0.75,5,3.0918209123755465,3.904307659512249,1.7460594663484983,0.0,0.25055399411921025,0.17357493895886927,250.0,1000.0,1000.0,15.0
WT,30.0,1.0,5,0.820017727383091,4.432400814704264,1.9822299050408367,0.0,0.25055399411921025,0.15089534647865804,250.0,1000.0,1000.0,15.0
WT,30.0,1.25,5,-0.8045442574284415,5.140114163982685,2.298728936554957,0.0,0.25055399411921025,0.13556224550636065,250.0,1000.0,1000.0,15.0
WT,30.0,1.5,5,-1.6190493010909255,5.787093721315491,2.5880669906047324,0.0,0.25055399411921025,0.1255035426313765,250.0,1000.0,1000.0,15.0
WT,40.0,0.5,5,9.129348676715844,3.676800639733699,1.644315234031853,0.0,0.25055399411921025,0.2242562411567203,250.0,1000.0,1000.0,15.0
WT,40.0,0.75,5,5.8009458331557955,4.174481114231844,1.8668847084422933,0.0,0.25055399411921025,0.19854159388569123,250.0,1000.0,1000.0,15.0
WT,40.0,1.0,5,3.022279334734943,4.920346694767525,2.2004459364733187,0.0,0.25055399411921025,0.17893298566984392,250.0,1000.0,1000.0,15.0
WT,40.0,1.25,5,1.2452496331650464,5.410996479694396,2.419871190921746,0.0,0.25055399411921025,0.165608493387703,250.0,1000.0,1000.0,15.0
WT,40.0,1.5,5,0.2987930806954179,5.643157683890065,2.5236968377856908,0.0,0.25055399411921025,0.15649739624431983,250.0,1000.0,1000.0,15.0
WT,60.0,0.5,5,14.665312833818351,3.7237571579987074,1.6653148273973069,0.0,0.25055399411921025,0.22360353821310577,250.0,1000.0,1000.0,15.0
WT,60.0,0.75,5,12.017010991000149,4.66298406493535,2.085349869438747,0.0,0.25055399411921025,0.21598718499944297,250.0,1000.0,1000.0,15.0
WT,60.0,1.0,5,9.706752824154131,5.5292383116950505,2.4727505457492605,0.0,0.25055399411921025,0.20896643990624048,250.0,1000.0,1000.0,15.0
WT,60.0,1.25,5,8.396887024564837,6.138416248539515,2.7451832011847195,0.0,0.25055399411921025,0.20429662343209026,250.0,1000.0,1000.0,15.0
WT,60.0,1.5,5,7.823538247586519,6.645693548368462,2.9720445063567333,0.0,0.25055399411921025,0.2011712387926201,250.0,1000.0,1000.0,15.0
WT,80.0,0.5,5,19.211093386636158,6.135557477462916,2.743904719892843,0.0,0.25055399411921025,0.20304658803524367,250.0,1000.0,1000.0,15.0
WT,80.0,0.75,5,16.198375634112324,6.2353461028909685,2.7885315498605205,0.0,0.25055399411921025,0.2000133658677626,250.0,1000.0,1000.0,15.0
WT,80.0,1.0,5,13.390849521215012,5.66915075733377,2.5353212936185447,0.0,0.25055399411921025,0.19832956718506958,250.0,1000.0,1000.0,15.0
WT,80.0,1.25,5,11.618656929990383,5.323943523721653,2.380939925482276,0.0,0.25055399411921025,0.19810171097582288,250.0,1000.0,1000.0,15.0
WT,80.0,1.5,5,10.702018115640078,5.17231388749657,2.313129090681706,0.0,0.25055399411921025,0.19842055253707622,250.0,1000.0,1000.0,15.0
WT,100.0,0.5,5,21.623390252621686,6.940058134469866,3.1036883512949993,0.0,0.25055399411921025,0.18481982739331415,250.0,1000.0,1000.0,15.0
WT,100.0,0.75,5,16.045369975740563,6.357370475889494,2.8431025084478194,0.0,0.25055399411921025,0.18562656187446977,250.0,1000.0,1000.0,15.0
WT,100.0,1.0,5,11.858676949307313,5.470488734080835,2.446476935910303,0.0,0.25055399411921025,0.18701752377057573,250.0,1000.0,1000.0,15.0
WT,100.0,1.25,5,9.423341787621675,4.903626059226528,2.1929682409339852,0.0,0.25055399411921025,0.18815810756968288,250.0,1000.0,1000.0,15.0
WT,100.0,1.5,5,8.265555665990913,4.681516723960925,2.093637926515749,0.0,0.25055399411921025,0.1887201866625615,250.0,1000.0,1000.0,15.0
WT,130.0,0.5,5,18.32613832020463,6.4203253504122895,2.8712567842374073,0.0,0.25055399411921025,0.1570736642110915,250.0,1000.0,1000.0,15.0
WT,130.0,0.75,5,15.828333020965047,6.804550226000292,3.0430873723296417,0.0,0.25055399411921025,0.16247248256522026,250.0,1000.0,1000.0,15.0
WT,130.0,1.0,5,13.225774369318344,7.316301169560143,3.2719493517995386,0.0,0.25055399411921025,0.16822595237641078,250.0,1000.0,1000.0,15.0
WT,130.0,1.25,5,11.776367422165569,7.50103241371373,3.354563675698645,0.0,0.25055399411921025,0.17160873480358288,250.0,1000.0,1000.0,15.0
