condition,trial_idx,seed,cue_deg,pre_cue_asym,last_pre_cue_asym,delay_asym,delay_ms,amplitude,random_cue,balance_cue,correct_asymmetry,mean_abs_asym,asym_std,mean_abs_asym_precue,asym_std_precue
WT,38,594336917,181.40625,nan,nan,0.03251821054294672,5000.0,30.0,0,1,1,0.16312117024953113,0.2066227879683084,nan,nan
WT,39,1356488967,181.40625,nan,nan,0.00696707437681881,5000.0,30.0,0,1,1,0.10924794925667866,0.14331719926919598,nan,nan
WT,40,354826746,181.40625,nan,nan,-0.01198885300051523,5000.0,30.0,0,1,1,0.1307286697352986,0.1814049476728318,nan,nan
WT,41,1627981024,181.40625,nan,nan,0.04721282232422007,5000.0,30.0,0,1,1,0.18745747157167952,0.21792105533874856,nan,nan
WT,42,1504361614,181.40625,nan,nan,-0.009051098737035062,5000.0,30.0,0,1,1,0.13769478454012093,0.18289812073356046,nan,nan
WT,43,761338718,181.40625,nan,nan,-0.04866541250411442,5000.0,30.0,0,1,1,0.2011587886486134,0.23463339593914975,nan,nan
WT,44,145857092,181.40625,nan,nan,-0.013869982914875737,5000.0,30.0,0,1,1,0.10902907549044405,0.1556143699766843,nan,nan
WT,45,2084558133,181.40625,nan,nan,0.02754366851860244,5000.0,30.0,0,1,1,0.13995154025042159,0.1815343312796109,nan,nan
WT,46,957106589,181.40625,nan,nan,0.016415731741269132,5000.0,30.0,0,1,1,0.14379124796735737,0.1888016108156155,nan,nan
WT,47,1917963002,181.40625,nan,nan,-0.024317571398300614,5000.0,30.0,0,1,1,0.14858513321292308,0.19174879356994431,nan,nan
WT,48,1455819991,181.40625,nan,nan,0.013448313254478123,5000.0,30.0,0,1,1,0.11032653613511724,0.15207609265215558,nan,nan
WT,49,1671565830,181.40625,nan,nan,-0.03376092190677061,5000.0,30.0,0,1,1,0.15278581607827119,0.19369271651359676,nan,nan
WT,50,1631871623,181.40625,nan,nan,0.00956182969116263,5000.0,30.0,0,1,1,0.1170961670895855,0.1588000082901707,nan,nan
WT,51,417983441,181.40625,nan,nan,0.03229317819862677,5000.0,30.0,0,1,1,0.14913536145083545,0.1865474102861167,nan,nan
WT,52,781482251,181.40625,nan,nan,0.023829906916418144,5000.0,30.0,0,1,1,0.07826208947102307,0.11946421726108475,nan,nan
WT,53,1002275723,181.40625,nan,nan,0.02751497539204584,5000.0,30.0,0,1,1,0.17998391335614558,0.21852150906858814,nan,nan
WT,54,1068999196,181.40625,nan,nan,0.021668666043250663,5000.0,30.0,0,1,1,0.14027741702016697,0.1770670816493271,nan,nan
WT,55,94067870,181.40625,nan,nan,0.017606865824063733,5000.0,30.0,0,1,1,0.1303745925783796,0.17763062963774703,nan,nan
WT,56,1173749071,181.40625,nan,nan,-0.03066147852672621,5000.0,30.0,0,1,1,0.15796370974198481,0.20093091608886315,nan,nan
WT,57,331334160,181.40625,nan,nan,-0.01136609902810668,5000.0,30.0,0,1,1,0.09161048357327894,0.12659168500852422,nan,nan
WT,58,1596387604,181.40625,nan,nan,0.015782433147124113,5000.0,30.0,0,1,1,0.09074244321057831,0.11831120674648044,nan,nan
WT,59,1466836456,181.40625,nan,nan,0.02567787738329932,5000.0,30.0,0,1,1,0.08878077244642237,0.12497620342892944,nan,nan
WT,60,1981113449,181.40625,nan,nan,-0.021985362674943266,5000.0,30.0,0,1,1,0.14176208268079496,0.18884879858284448,nan,nan
WT,61,1599364550,181.40625,nan,nan,-0.020391674768659537,5000.0,30.0,0,1,1,0.10882072746052153,0.15137470308073347,nan,nan
WT,62,787359109,181.40625,nan,nan,-0.03512093528427236,5000.0,30.0,0,1,1,0.156202868382436,0.19517089372728616,nan,nan
WT,63,2077711328,181.40625,nan,nan,-0.0224102456779283,5000.0,30.0,0,1,1,0.15875909546326472,0.20357344240297517,nan,nan
WT,64,882294416,181.40625,nan,nan,0.02378168902383471,5000.0,30.0,0,1,1,0.11940832357038375,0.164281986367935,nan,nan
WT,65,699704628,181.40625,nan,nan,0.0560752299065226,5000.0,30.0,0,1,1,0.18947682613361913,0.2201880723694882,nan,nan
WT,66,1944623248,181.40625,nan,nan,0.012188310378098352,5000.0,30.0,0,1,1,0.12605010831437177,0.16821242381779505,nan,nan
WT,67,795556160,181.40625,nan,nan,0.031694638910260114,5000.0,30.0,0,1,1,0.15459426659707834,0.19859315277682815,nan,nan
WT,68,163945743,181.40625,nan,nan,-0.03415156335447609,5000.0,30.0,0,1,1,0.17299575278846782,0.21345353926580707,nan,nan
WT,69,1008363426,181.40625,nan,nan,0.023348628687118216,5000.0,30.0,0,1,1,0.11006787806002362,0.1409512623055641,nan,nan
WT,70,1708709735,181.40625,nan,nan,-0.037895328976245514,5000.0,30.0,0,1,1,0.18218400942112298,0.22094582729496698,nan,nan
WT,71,406886644,181.40625,nan,nan,-0.006743159322060651,5000.0,30.0,0,1,1,0.0977227046888771,0.13667252154898626,nan,nan
WT,72,994157306,181.40625,nan,nan,0.013668583523036775,5000.0,30.0,0,1,1,0.12510935152739025,0.16704168246864043,nan,nan
WT,73,279004307,181.40625,nan,nan,0.026684562475618116,5000.0,30.0,0,1,1,0.15501222214069804,0.1980484874392182,nan,nan
WT,74,1474200731,181.40625,nan,nan,-0.006694484498556713,5000.0,30.0,0,1,1,0.12225638882636651,0.16216232904903197,nan,nan
WT,75,1021568549,181.40625,nan,nan,0.010445110888281917,5000.0,30.0,0,1,1,0.07958043706930416,0.11748621936171307,nan,nan
WT,76,709091226,181.40625,nan,nan,-0.041256203759273316,5000.0,30.0,0,1,1,0.14920415242739918,0.1812390763212128,nan,nan
WT,77,487284116,181.40625,nan,nan,0.03267499803277611,5000.0,30.0,0,1,1,0.13300307424349608,0.16655737176004634,nan,nan
