offset_deg,amp_factor,n_trials,drift_mean_deg,drift_sd_deg,drift_sem_deg,collapse_prob,pre_amp_mean,post_amp_mean
0.0,0.5,5,1.0603023658721953,1.1172517662559713,0.4996501794660115,0.0,0.27524087101988376,0.3381803635998045
0.0,0.75,5,1.5466538518537232,3.307446795646549,1.4791351734059077,0.0,0.2752408710198838,0.23448086927025194
0.0,1.0,5,2.119597245729181,5.290743387678448,2.366092373271307,0.0,0.2752408710198838,0.17403750461619366
0.0,1.25,5,2.831639467125633,6.723859085607032,3.00700119730938,0.0,0.2752408710198838,0.139661782361652
0.0,1.5,5,3.8563097925915804,7.54034163695039,3.3721432947586223,0.0,0.2752408710198838,0.11729560967569186
5.0,0.5,5,1.0935166531076452,1.9443989555032026,0.8695616479769499,0.0,0.2752408710198838,0.338157641493642
5.0,0.75,5,-0.989330608393488,4.270202425600688,1.9096925802655254,0.0,0.2752408710198838,0.23904771238221617
5.0,1.0,5,-2.0139714614902298,5.660332850679143,2.531377805878746,0.0,0.2752408710198838,0.1807670089883659
5.0,1.25,5,-2.258823165416328,6.017174514315423,2.6909622492977134,0.0,0.2752408710198838,0.14650835706209397
5.0,1.5,5,-1.8892658780184797,5.903923834243462,2.6403150054699163,0.0,0.2752408710198838,0.12424312161941427
10.0,0.5,5,1.5290256733088452,2.610747746161567,1.1675618865043258,0.0,0.2752408710198838,0.3374066778880408
10.0,0.75,5,-2.3428987133924206,4.359345206560663,1.9495584438515008,0.0,0.2752408710198838,0.2460867306986411
10.0,1.0,5,-4.590042933846723,4.645274137899066,2.0774297492928087,0.0,0.2752408710198838,0.1918706751808134
10.0,1.25,5,-5.769332048170175,4.390394327126281,1.9634440326967626,0.0,0.2752408710198838,0.15915944791798647
10.0,1.5,5,-6.164455533017746,4.241152153393406,1.8967009035814542,0.0,0.2752408710198838,0.13804194143362647
15.0,0.5,5,2.4698539312489336,3.0193570707014836,1.3502975316866312,0.0,0.2752408710198838,0.337214969230641
15.0,0.75,5,-2.8935130195838363,3.606817429935091,1.6130177911531896,0.0,0.2752408710198838,0.2538784440114711
15.0,1.0,5,-6.179395066252569,3.556964598100254,1.5907229269824774,0.0,0.2752408710198838,0.20555648676294394
15.0,1.25,5,-8.224829386072717,3.596971147541403,1.6086143998016005,0.0,0.2752408710198838,0.17545665192848206
15.0,1.5,5,-9.373703221698177,3.4791600415296213,1.5559276714922448,0.0,0.2752408710198838,0.15622641268042112
20.0,0.5,5,3.7204196326484222,3.0761658966907155,1.3757032110134069,0.0,0.2752408710198838,0.337592499430347
20.0,0.75,5,-2.8560569090832972,3.682472499675551,1.6468517669096208,0.0,0.2752408710198838,0.2617774921993311
20.0,1.0,5,-6.740226897356367,3.674355196219926,1.6432215984454663,0.0,0.2752408710198838,0.22202610353181956
20.0,1.25,5,-9.020645708105132,3.431682742448005,1.5346951778653284,0.0,0.2752408710198838,0.1948637379584064
20.0,1.5,5,-10.341427397693286,2.9199172179977517,1.305826677623009,0.0,0.2752408710198838,0.1762662535875026
30.0,0.5,5,7.031291549575551,3.324964664598668,1.486969402565482,0.0,0.2752408710198838,0.33788123135911696
30.0,0.75,5,0.3343219430260936,4.227808461625589,1.8907334232087254,0.0,0.2752408710198838,0.28436199628102354
30.0,1.0,5,-4.150578609448379,3.947135423662498,1.7652126247413553,0.0,0.2752408710198838,0.24939067687969385
30.0,1.25,5,-6.768364803706246,3.6633983228723817,1.6383215357202736,0.0,0.2752408710198838,0.22991514707049382
30.0,1.5,5,-8.145457844797509,3.5467000882168938,1.586132498611495,0.0,0.2752408710198838,0.21957555939613357
40.0,0.5,5,10.237654760607963,2.78185815726937,1.2440847886833224,0.0,0.2752408710198838,0.3329689833052905
40.0,0.75,5,5.4689324278205245,3.766441844453022,1.6844039994993292,0.0,0.2752408710198838,0.3055545805416953
40.0,1.0,5,1.5584902085276973,3.96297198726229,1.7722949512891821,0.0,0.2752408710198838,0.27917223922084033
40.0,1.25,5,-1.2398455544505125,3.934140317706913,1.7594010366830553,0.0,0.2752408710198838,0.2614807963023622
40.0,1.5,5,-3.1372073592339538,3.9012273657316254,1.7446819170916694,0.0,0.2752408710198838,0.24952730722584532
60.0,0.5,5,13.857491245256075,2.980355498722995,1.332855498451981,0.0,0.2752408710198838,0.3050664759927016
60.0,0.75,5,11.91682154890972,3.314937431300004,1.4824850875090696,0.0,0.2752408710198838,0.29992948301009414
60.0,1.0,5,9.281870240978357,3.581500569500048,1.6016957469712634,0.0,0.2752408710198838,0.2922220426615828
60.0,1.25,5,7.529637613993057,3.614414917669304,1.6164154909595738,0.0,0.2752408710198838,0.287608707566979
60.0,1.5,5,6.375277755182554,3.6769546671395155,1.6443841171818137,0.0,0.2752408710198838,0.28510483870696746
80.0,0.5,5,16.893276376649904,5.751206364615844,2.5720176767820937,0.0,0.2752408710198838,0.27476004848610247
80.0,0.75,5,15.019146339425685,5.444212011449987,2.434725628304607,0.0,0.2752408710198838,0.2762335033860115
80.0,1.0,5,11.831447097549471,4.688727439501986,2.0968626565389945,0.0,0.2752408710198838,0.27721767753929444
80.0,1.25,5,9.171770737222445,4.054066753496702,1.8130337692281018,0.0,0.2752408710198838,0.2789694141275953
