condition_key,offset_deg,amp_factor,n_trials,drift_mean_deg,drift_sd_deg,drift_sem_deg,collapse_prob,pre_amp_mean,post_amp_mean,distractor_duration_ms,delay1_ms,delay2_ms,cue_amp_factor
WT,30,0.75,1,14.562177983380199,0.0,0.0,0.0,0.6060457742854851,0.6934064099317471,250.0,1000.0,2500.0,30.0
WT,30,1.0,1,15.747384189577673,0.0,0.0,0.0,0.6060457742854851,0.677573331000115,250.0,1000.0,2500.0,30.0
WT,90,0.75,1,41.65338391524883,0.0,0.0,0.0,0.6060457742854851,0.48734276811433314,250.0,1000.0,2500.0,30.0
WT,90,1.0,1,54.929468823020606,0.0,0.0,0.0,0.6060457742854851,0.5178618143122808,250.0,1000.0,2500.0,30.0
WT,120,0.75,1,56.4065076864118,0.0,0.0,0.0,0.6060457742854851,0.37543581947900184,250.0,1000.0,2500.0,30.0
WT,120,1.0,1,74.92432978812315,0.0,0.0,0.0,0.6060457742854851,0.4003110301025098,250.0,1000.0,2500.0,30.0
WT,170,0.75,1,84.63229043485727,0.0,0.0,1.0,0.6060457742854851,0.0679557322415517,250.0,1000.0,2500.0,30.0
WT,170,1.0,1,142.6647032230224,0.0,0.0,1.0,0.6060457742854851,0.13212500557274368,250.0,1000.0,2500.0,30.0
