condition_key,offset_deg,amp_factor,n_trials,drift_mean_deg,drift_sd_deg,drift_sem_deg,collapse_prob,pre_amp_mean,post_amp_mean,distractor_duration_ms,delay1_ms,delay2_ms,cue_amp_factor
WT,0,0.5,10,-1.7537095614982223,6.510509125301182,2.0588037563262302,0.0,0.3335253084171176,0.21439879476031262,250.0,1000.0,1000.0,15.0
WT,0,0.75,10,-2.2284023397277815,9.681694321221372,3.0616205664577403,0.0,0.3335253084171176,0.15056475415147752,250.0,1000.0,1000.0,15.0
WT,0,1.0,10,-2.5164839081673707,12.42554890930627,3.929303573122879,0.0,0.3335253084171176,0.11861852097343202,250.0,1000.0,1000.0,15.0
WT,0,1.25,10,-2.785846214986241,14.305745285395137,4.523873872806416,0.0,0.3335253084171176,0.10178786404785709,250.0,1000.0,1000.0,15.0
WT,0,1.5,10,-2.9475917355452643,15.115838705583418,4.780047905337495,0.0,0.3335253084171176,0.09326462961941806,250.0,1000.0,1000.0,15.0
WT,5,0.5,10,-2.4407014192470813,6.361360579902206,2.011638845010051,0.0,0.3335253084171176,0.21776091245715645,250.0,1000.0,1000.0,15.0
WT,5,0.75,10,-4.575619686127686,9.223146475739805,2.91661500566927,0.0,0.3335253084171176,0.15411605006068413,250.0,1000.0,1000.0,15.0
WT,5,1.0,10,-5.9731862549911074,11.571550144028045,3.6592454513978074,0.0,0.3335253084171176,0.12202158796275546,250.0,1000.0,1000.0,15.0
WT,5,1.25,10,-6.662700180167496,13.059217725580297,4.129687247287748,0.0,0.3335253084171176,0.10458606844437066,250.0,1000.0,1000.0,15.0
WT,5,1.5,10,-6.762062449877213,13.712292265067555,4.336207549952279,0.0,0.3335253084171176,0.09550910429737536,250.0,1000.0,1000.0,15.0
WT,10,0.5,10,-2.8378145959704137,6.070791815430854,1.9197529337470027,0.0,0.3335253084171176,0.2246619573698295,250.0,1000.0,1000.0,15.0
WT,10,0.75,10,-6.297365607227046,8.561590701503343,2.7074127010869344,0.0,0.3335253084171176,0.1619087559590105,250.0,1000.0,1000.0,15.0
WT,10,1.0,10,-8.756255020646034,10.3208336481449,3.263734167984273,0.0,0.3335253084171176,0.12977038234938418,250.0,1000.0,1000.0,15.0
WT,10,1.25,10,-10.132856700383083,11.45298743337995,3.62175263027666,0.0,0.3335253084171176,0.11213873194065589,250.0,1000.0,1000.0,15.0
WT,10,1.5,10,-10.505030467525224,12.066354334565627,3.815716275187277,0.0,0.3335253084171176,0.10242815074955677,250.0,1000.0,1000.0,15.0
WT,15,0.5,10,-2.8568950140867684,5.682935959060866,1.7971021427505738,0.0,0.3335253084171176,0.2347225135019541,250.0,1000.0,1000.0,15.0
WT,15,0.75,10,-7.273830900625166,7.690114656723924,2.431827778309149,0.0,0.3335253084171176,0.1738407550427191,250.0,1000.0,1000.0,15.0
WT,15,1.0,10,-10.430563196483751,9.138063388179672,2.8897093709643147,0.0,0.3335253084171176,0.14128918131639479,250.0,1000.0,1000.0,15.0
WT,15,1.25,10,-12.357790904863355,10.207028397197272,3.227745787716119,0.0,0.3335253084171176,0.12318494796869969,250.0,1000.0,1000.0,15.0
WT,15,1.5,10,-13.019452453837221,10.972261974234845,3.469733892263785,0.0,0.3335253084171176,0.11303722203339206,250.0,1000.0,1000.0,15.0
WT,20,0.5,10,-2.4429042128892267,5.2048204395569275,1.6459087401198635,0.0,0.3335253084171176,0.2473586035854022,250.0,1000.0,1000.0,15.0
WT,20,0.75,10,-7.542049247158296,6.845507547809389,2.1647395590951657,0.0,0.3335253084171176,0.18925063613665066,250.0,1000.0,1000.0,15.0
