offset_deg,amp_factor,trial_idx,displacement_deg,pre_amp,post_amp
0.0,0.5,0,5.739407456409821,0.3334814202961932,0.20257080449211787
0.0,0.5,2,-1.0166477014781403,0.33149778983500455,0.2557938088478999
0.0,0.5,3,7.746374805980942,0.3135190313898682,0.23537814271097593
0.0,0.5,1,-2.6640599420216793,0.3319547427044478,0.22804338050033648
0.0,0.5,4,-0.6879354179458874,0.3786308716202599,0.20812003858395106
0.0,0.5,5,-4.825292287603402,0.327596243186111,0.1770860015375578
0.0,0.5,6,-16.663330875835825,0.312751996050056,0.19197284562846245
0.0,0.5,7,-0.9745991509075821,0.30064608080875965,0.21980231645242135
0.0,0.5,9,-2.062398013645231,0.35466624771712657,0.2137039238293914
0.0,0.5,8,-2.12861448793524,0.35050866056334906,0.21151668502001186
0.0,0.75,1,-4.113589385403629,0.3319547427044478,0.1655633939476287
0.0,0.75,0,7.270992119618025,0.3334814202961932,0.138548790632199
0.0,0.75,2,-1.127274758588795,0.33149778983500455,0.17707250001006603
0.0,0.75,3,10.911940626777021,0.3135190313898682,0.17451016541175138
0.0,0.75,5,-6.561194884091063,0.327596243186111,0.12446992198421102
0.0,0.75,4,0.48504480825035823,0.3786308716202599,0.1513979989553591
0.0,0.75,6,-25.566939381488165,0.312751996050056,0.13429207037374893
0.0,0.75,8,-1.2046454111460008,0.35050866056334906,0.15159805424778508
0.0,0.75,7,-2.1669504168456273,0.30064608080875965,0.1546321233444014
0.0,0.75,9,-0.21140671435993427,0.35466624771712657,0.13356252260762438
0.0,1.0,0,9.198498002855658,0.3334814202961932,0.10726254766301906
0.0,1.0,1,-4.6586188442956145,0.3319547427044478,0.13367368652913295
0.0,1.0,2,-1.3981602788125032,0.33149778983500455,0.13708276413299106
0.0,1.0,3,13.17147315941583,0.3135190313898682,0.14363430073963482
0.0,1.0,4,2.2056639994137806,0.3786308716202599,0.12350408763912228
0.0,1.0,6,-32.91400091944358,0.312751996050056,0.10592898240666584
0.0,1.0,5,-8.558476344582775,0.327596243186111,0.09989019497927083
0.0,1.0,7,-2.8832226553205618,0.30064608080875965,0.12220284300780045
0.0,1.0,8,-0.417308900613895,0.35050866056334906,0.11917630566244204
0.0,1.0,9,1.0893136997099584,0.35466624771712657,0.0938294969742407
0.0,1.25,1,-4.7411967107114386,0.3319547427044478,0.11752386307717891
0.0,1.25,0,10.596657107492357,0.3334814202961932,0.09183361886033573
0.0,1.25,2,-1.2804504404074832,0.33149778983500455,0.11580166537379374
0.0,1.25,3,14.48134236173749,0.3135190313898682,0.1265951019421982
0.0,1.25,5,-10.695705383505926,0.327596243186111,0.08805664858352144
0.0,1.25,4,3.588417604962269,0.3786308716202599,0.10938769569640273
0.0,1.25,6,-37.87448895543557,0.312751996050056,0.09094189832150754
0.0,1.25,7,-3.143143923527962,0.30064608080875965,0.10319030668269263
0.0,1.25,8,-0.10849663251220262,0.35050866056334906,0.10081990493504685
0.0,1.25,9,1.318602822046049,0.35466624771712657,0.07372793700589315
0.0,1.5,0,11.332437541257304,0.3334814202961932,0.08444952476641066
0.0,1.5,1,-4.366317021575687,0.3319547427044478,0.11042379192915906
0.0,1.5,2,-0.8140585052400071,0.33149778983500455,0.10464012521145942
0.0,1.5,3,14.962988164878727,0.3135190313898682,0.1168429744859021
0.0,1.5,4,4.467472639291166,0.3786308716202599,0.10290814047525101
0.0,1.5,5,-12.207024902737388,0.327596243186111,0.08295234758573895
0.0,1.5,6,-39.91629869833753,0.312751996050056,0.08388358555849759
0.0,1.5,7,-2.9843350134372675,0.30064608080875965,0.09219345295753857
0.0,1.5,8,-0.13268046186364116,0.35050866056334906,0.09082135235266205
0.0,1.5,9,0.18189890231167152,0.35466624771712657,0.06353100087156112
5.0,0.5,0,4.664940272493316,0.3334814202961932,0.20068078143033846
5.0,0.5,1,-3.3586526079163703,0.3319547427044478,0.22957691037800823
5.0,0.5,2,-1.8638101145536186,0.33149778983500455,0.2603969167381843
5.0,0.5,3,7.034868568137987,0.3135190313898682,0.23710659769486525
