condition_key,amplitude,w_inter,success_rate,mean_A_hat,peak_pyr_rate,mean_error_deg,noise_threshold,n_trials
WT,5.0,5.0,0.06,0.05160913518525571,1.4192007372061195,94.00953309068719,0.09885329083202067,50
WT,5.0,6.0,0.06,0.05180311323774801,1.5331782190014593,94.65196044093508,0.09926975290133852,50
WT,5.0,7.0,0.06,0.05203680727149274,1.7262824547301954,95.24380992105051,0.1003946228170499,50
WT,5.0,8.0,0.08,0.052311533514208405,2.0274151527427007,94.51130441958965,0.10133822897450383,50
WT,5.0,8.25,0.08,0.05239895994581018,2.1286840950919177,94.07117401737841,0.10190345723514775,50
WT,5.0,8.5,0.08,0.05245538636442106,2.2462695565361126,93.3144309945317,0.1021286473590458,50
WT,5.0,8.75,0.08,0.05251537853730927,2.3834511557815734,91.95604236873277,0.10249682850123237,50
WT,5.0,9.0,0.06,0.05263732500356903,2.540593565152639,89.31227586237206,0.10283960535988104,50
WT,5.0,9.5,0.08,0.0547231687773278,2.9560889878096934,73.47489396347746,0.10386348340983124,50
WT,5.0,10.0,0.96,0.25880391491332244,4.348447059228425,9.425708727624524,0.10564776177452086,50
WT,5.0,11.0,1.0,0.5931002440365052,96.18641914304838,54.64251679899716,0.11366850755771317,50
WT,10.0,5.0,0.06,0.05158378788343267,2.325613228619184,93.47902149014517,0.09885329083202067,50
WT,10.0,6.0,0.08,0.051744305308920276,2.822575944409829,93.61760156371383,0.09926975290133852,50
WT,10.0,7.0,0.08,0.05185767668622729,3.626484224097774,92.61927398978874,0.1003946228170499,50
WT,10.0,8.0,0.06,0.0531387274495138,4.70416520564657,76.1683488749733,0.10133822897450383,50
WT,10.0,8.25,0.08,0.05816970576630144,5.211471929412994,58.801140898021956,0.10190345723514775,50
WT,10.0,8.5,0.36,0.09201911364523818,5.850528366644884,23.82687382478545,0.1021286473590458,50
WT,10.0,8.75,1.0,0.32931524702913206,6.615597720826574,5.152950406867676,0.10249682850123237,50
WT,10.0,9.0,1.0,0.5167734887006755,11.380953911655403,3.813438554898342,0.10283960535988104,50
WT,10.0,9.5,1.0,0.6364857946378847,28.33198856004164,19.621092868348452,0.10386348340983124,50
WT,10.0,10.0,1.0,0.5838161216414351,46.071713532331266,38.41520040162875,0.10564776177452086,50
WT,10.0,11.0,0.96,0.501131548175506,125.90435877805987,76.82702415458463,0.11366850755771317,50
WT,15.0,5.0,0.06,0.05153813731534014,3.616072519000937,92.18079478727154,0.09885329083202067,50
WT,15.0,6.0,0.08,0.05164646113830679,4.854202849272977,90.25906436373843,0.09926975290133852,50
WT,15.0,7.0,0.06,0.05249949680069365,5.992742872578842,77.91217802607396,0.1003946228170499,50
WT,15.0,8.0,1.0,0.23918228640681607,8.545068270843934,6.728034226106831,0.10133822897450383,50
WT,15.0,8.25,1.0,0.5391819936286089,9.371468741699909,2.1473464682555643,0.10190345723514775,50
WT,15.0,8.5,1.0,0.5566348417439914,10.817369924098603,3.213963111111476,0.1021286473590458,50
WT,15.0,8.75,1.0,0.5729674651623538,17.393825483290925,6.873010649871929,0.10249682850123237,50
WT,15.0,9.0,1.0,0.6352884884302036,23.431282785375842,13.960332167583648,0.10283960535988104,50
WT,15.0,9.5,1.0,0.6483722926362607,36.615786989544915,26.373652338725513,0.10386348340983124,50
WT,15.0,10.0,1.0,0.5169099436060828,54.409728225863276,35.94779500444244,0.10564776177452086,50
WT,15.0,11.0,1.0,0.5900584536698293,142.05327333250096,91.4949744328916,0.11366850755771317,50
WT,20.0,5.0,0.08,0.05150474503657124,5.365127272949488,89.42546881067327,0.09885329083202067,50
WT,20.0,6.0,0.08,0.05196764439533348,7.1542842511559,81.70035143750306,0.09926975290133852,50
WT,20.0,7.0,0.22,0.073433366443238,8.86515395390583,36.59437993990104,0.1003946228170499,50
WT,20.0,8.0,1.0,0.5756231797632362,11.862554704438049,1.934945189538298,0.10133822897450383,50
WT,20.0,8.25,1.0,0.5629657316431838,12.907893024636216,2.737472797123105,0.10190345723514775,50
WT,20.0,8.5,1.0,0.6087675684232292,17.111296083612242,4.823998277661115,0.1021286473590458,50
WT,20.0,8.75,1.0,0.6240235157671223,22.53929720137,14.950782099082815,0.10249682850123237,50
WT,20.0,9.0,1.0,0.607423438969734,27.729645556572144,17.653562135365757,0.10283960535988104,50
WT,20.0,9.5,1.0,0.5730484737651842,40.9301381959054,27.463122890744927,0.10386348340983124,50
WT,20.0,10.0,1.0,0.5943431066552755,60.02749326033596,42.70944917272748,0.10564776177452086,50
WT,20.0,11.0,1.0,0.5458763955113953,164.05049812021952,75.31176500903975,0.11366850755771317,50
WT,25.0,5.0,0.08,0.051652184252641314,7.416243422028993,84.77491450441596,0.09885329083202067,50
WT,25.0,6.0,0.06,0.05547044896017565,9.495173103280992,64.78097536139708,0.09926975290133852,50
WT,25.0,7.0,0.96,0.18757666022947994,11.676418357016889,8.334844387575778,0.1003946228170499,50
