condition,w_inter,trial_idx,seed,A_hat,noise_percentile,noise_threshold
WT_APP,3,0,130442,0.02403359152,95,0.07479816256
WT_APP,3,1,130443,0.03020550712,95,0.07479816256
WT_APP,3,2,130444,0.06290137768,95,0.07479816256
WT_APP,3,3,130445,0.05131208006,95,0.07479816256
WT_APP,3,4,130446,0.07189482841,95,0.07479816256
WT_APP,3,5,130447,0.05139295434,95,0.07479816256
WT_APP,3,6,130448,0.07601310199,95,0.07479816256
WT_APP,3,7,130449,0.005954345456,95,0.07479816256
WT_APP,3,8,130450,0.01215952939,95,0.07479816256
WT_APP,3,9,130451,0.07331323658,95,0.07479816256
WT_APP,3,10,130452,0.02380104043,95,0.07479816256
WT_APP,3,11,130453,0.04798745006,95,0.07479816256
WT_APP,3,12,130454,0.02027376073,95,0.07479816256
WT_APP,3,13,130455,0.03664266254,95,0.07479816256
WT_APP,3,14,130456,0.01964805472,95,0.07479816256
WT_APP,3,15,130457,0.01543391506,95,0.07479816256
WT_APP,3,16,130458,0.05509400136,95,0.07479816256
WT_APP,3,17,130459,0.03763763818,95,0.07479816256
WT_APP,3,18,130460,0.02463800481,95,0.07479816256
WT_APP,3,19,130461,0.02429125757,95,0.07479816256
WT_APP,3,20,130462,0.02768921874,95,0.07479816256
WT_APP,3,21,130463,0.03071372736,95,0.07479816256
WT_APP,3,22,130464,0.007132074365,95,0.07479816256
WT_APP,3,23,130465,0.03261893631,95,0.07479816256
WT_APP,3,24,130466,0.05792344949,95,0.07479816256
WT_APP,3,25,130467,0.01197644737,95,0.07479816256
WT_APP,3,26,130468,0.03183023238,95,0.07479816256
WT_APP,3,27,130469,0.01925117469,95,0.07479816256
WT_APP,3,28,130470,0.006818720343,95,0.07479816256
WT_APP,3,29,130471,0.05753810792,95,0.07479816256
WT_APP,3,30,130472,0.07812908368,95,0.07479816256
WT_APP,3,31,130473,0.01895890037,95,0.07479816256
WT_APP,3,32,130474,0.02129725151,95,0.07479816256
WT_APP,3,33,130475,0.0494301203,95,0.07479816256
WT_APP,3,34,130476,0.04306058757,95,0.07479816256
WT_APP,3,35,130477,0.03026059113,95,0.07479816256
WT_APP,3,36,130478,0.05979223666,95,0.07479816256
WT_APP,3,37,130479,0.02349573703,95,0.07479816256
WT_APP,3,38,130480,0.05739152459,95,0.07479816256
WT_APP,3,39,130481,0.04089619083,95,0.07479816256
WT_APP,3,40,130482,0.05532216818,95,0.07479816256
WT_APP,3,41,130483,0.02357397495,95,0.07479816256
WT_APP,3,42,130484,0.01970147223,95,0.07479816256
WT_APP,3,43,130485,0.09806746081,95,0.07479816256
WT_APP,3,44,130486,0.02639249264,95,0.07479816256
WT_APP,3,45,130487,0.01205854609,95,0.07479816256
WT_APP,3,46,130488,0.04054077279,95,0.07479816256
WT_APP,3,47,130489,0.01151828237,95,0.07479816256
WT_APP,3,48,130490,0.05860156229,95,0.07479816256
WT_APP,3,49,130491,0.05798923051,95,0.07479816256
WT_APP,4,0,140442,0.07576720043,95,0.07589191962
WT_APP,4,1,140443,0.04409937196,95,0.07589191962
WT_APP,4,2,140444,0.05168711419,95,0.07589191962
WT_APP,4,3,140445,0.04824175032,95,0.07589191962
WT_APP,4,4,140446,0.05687476665,95,0.07589191962
WT_APP,4,5,140447,0.04462907443,95,0.07589191962
WT_APP,4,6,140448,0.03244364667,95,0.07589191962
WT_APP,4,7,140449,0.02789465702,95,0.07589191962
WT_APP,4,8,140450,0.0450653476,95,0.07589191962
WT_APP,4,9,140451,0.03806147994,95,0.07589191962
WT_APP,4,10,140452,0.02684477797,95,0.07589191962
WT_APP,4,11,140453,0.02853581799,95,0.07589191962
WT_APP,4,12,140454,0.02425526227,95,0.07589191962
WT_APP,4,13,140455,0.06987511204,95,0.07589191962
WT_APP,4,14,140456,0.0380603057,95,0.07589191962
WT_APP,4,15,140457,0.02073541875,95,0.07589191962
WT_APP,4,16,140458,0.02736663267,95,0.07589191962
WT_APP,4,17,140459,0.0403434794,95,0.07589191962
WT_APP,4,18,140460,0.0176347226,95,0.07589191962
WT_APP,4,19,140461,0.0759939626,95,0.07589191962
WT_APP,4,20,140462,0.06085663507,95,0.07589191962
WT_APP,4,21,140463,0.0152304337,95,0.07589191962
WT_APP,4,22,140464,0.0133400628,95,0.07589191962
WT_APP,4,23,140465,0.03632471552,95,0.07589191962
WT_APP,4,24,140466,0.0550891815,95,0.07589191962
WT_APP,4,25,140467,0.02767082875,95,0.07589191962
WT_APP,4,26,140468,0.05240512976,95,0.07589191962
WT_APP,4,27,140469,0.03583619358,95,0.07589191962
WT_APP,4,28,140470,0.05447123402,95,0.07589191962
WT_APP,4,29,140471,0.02001071123,95,0.07589191962
WT_APP,4,30,140472,0.01808321813,95,0.07589191962
WT_APP,4,31,140473,0.004647632968,95,0.07589191962
WT_APP,4,32,140474,0.03834461133,95,0.07589191962
WT_APP,4,33,140475,0.04714292959,95,0.07589191962
WT_APP,4,34,140476,0.03458477446,95,0.07589191962
WT_APP,4,35,140477,0.04064113268,95,0.07589191962
WT_APP,4,36,140478,0.03992245408,95,0.07589191962
WT_APP,4,37,140479,0.09139134333,95,0.07589191962
WT_APP,4,38,140480,0.02534170606,95,0.07589191962
WT_APP,4,39,140481,0.03455562816,95,0.07589191962
WT_APP,4,40,140482,0.04750368032,95,0.07589191962
WT_APP,4,41,140483,0.0622292331,95,0.07589191962
WT_APP,4,42,140484,0.04014794709,95,0.07589191962
WT_APP,4,43,140485,0.04020725102,95,0.07589191962
WT_APP,4,44,140486,0.1002085944,95,0.07589191962
WT_APP,4,45,140487,0.05169603728,95,0.07589191962
WT_APP,4,46,140488,0.03288785742,95,0.07589191962
WT_APP,4,47,140489,0.01844893312,95,0.07589191962
WT_APP,4,48,140490,0.01399273751,95,0.07589191962
WT_APP,4,49,140491,0.02972239886,95,0.07589191962
WT_APP,5,0,150442,0.02237054639,95,0.09135110087
WT_APP,5,1,150443,0.03956534914,95,0.09135110087
WT_APP,5,2,150444,0.03272728148,95,0.09135110087
WT_APP,5,3,150445,0.07521478025,95,0.09135110087
WT_APP,5,4,150446,0.01832163033,95,0.09135110087
WT_APP,5,5,150447,0.009029971131,95,0.09135110087
WT_APP,5,6,150448,0.04424835263,95,0.09135110087
WT_APP,5,7,150449,0.06238824232,95,0.09135110087
WT_APP,5,8,150450,0.06756120986,95,0.09135110087
WT_APP,5,9,150451,0.08527540121,95,0.09135110087
WT_APP,5,10,150452,0.04197577039,95,0.09135110087
WT_APP,5,11,150453,0.1061742825,95,0.09135110087
WT_APP,5,12,150454,0.03489307039,95,0.09135110087
WT_APP,5,13,150455,0.006727554534,95,0.09135110087
WT_APP,5,14,150456,0.03351002334,95,0.09135110087
WT_APP,5,15,150457,0.09438214684,95,0.09135110087
WT_APP,5,16,150458,0.08076997638,95,0.09135110087
WT_APP,5,17,150459,0.03813121322,95,0.09135110087
WT_APP,5,18,150460,0.0704371868,95,0.09135110087
WT_APP,5,19,150461,0.02484096735,95,0.09135110087
WT_APP,5,20,150462,0.04859874459,95,0.09135110087
WT_APP,5,21,150463,0.04994815764,95,0.09135110087
WT_APP,5,22,150464,0.06389521029,95,0.09135110087
WT_APP,5,23,150465,0.02476168521,95,0.09135110087
WT_APP,5,24,150466,0.05015403442,95,0.09135110087
WT_APP,5,25,150467,0.02478276051,95,0.09135110087
WT_APP,5,26,150468,0.07445550361,95,0.09135110087
WT_APP,5,27,150469,0.03305646906,95,0.09135110087
WT_APP,5,28,150470,0.06457902358,95,0.09135110087
WT_APP,5,29,150471,0.0248151604,95,0.09135110087
WT_APP,5,30,150472,0.08379881315,95,0.09135110087
WT_APP,5,31,150473,0.042956139,95,0.09135110087
WT_APP,5,32,150474,0.09926186196,95,0.09135110087
WT_APP,5,33,150475,0.03771193925,95,0.09135110087
WT_APP,5,34,150476,0.05579655758,95,0.09135110087
WT_APP,5,35,150477,0.08828178735,95,0.09135110087
WT_APP,5,36,150478,0.01284032443,95,0.09135110087
WT_APP,5,37,150479,0.06047411021,95,0.09135110087
WT_APP,5,38,150480,0.00778711209,95,0.09135110087
WT_APP,5,39,150481,0.02093203681,95,0.09135110087
WT_APP,5,40,150482,0.07371763275,95,0.09135110087
WT_APP,5,41,150483,0.02644025837,95,0.09135110087
