phenotype,category,ko_count,run_idx,PYR,SOM,PV,VIP,NDNF
PV α7,target,1,28,1.55559,1.34244,1.47338,3.87967,3.59866
PV α7,target,1,29,1.54703,1.33921,1.4701,3.8691,3.58985
PV α7,target,1,30,1.54473,1.33689,1.46857,3.86469,3.58267
PV α7,target,1,31,1.52046,1.33355,1.46668,3.85529,3.57259
PV α7,target,1,32,1.51409,1.3327,1.46639,3.85251,3.57015
PV α7,target,1,33,1.5278,1.33567,1.46858,3.86045,3.57681
PV α7,target,1,34,1.54313,1.33857,1.47027,3.86909,3.58735
PV α7,target,1,35,1.53666,1.33749,1.46904,3.8644,3.58436
PV α7,target,1,36,1.54548,1.34072,1.47167,3.87419,3.59587
PV α7,target,1,37,1.51016,1.33021,1.46426,3.84627,3.56152
PV α7,target,1,38,1.51844,1.33136,1.46563,3.85213,3.56592
PV α7,target,1,39,1.53179,1.33591,1.4688,3.8629,3.57842
PV α7,target,1,40,1.53254,1.33417,1.46733,3.85882,3.57311
PV α7,target,1,41,1.52153,1.33395,1.4672,3.85743,3.57388
PV α7,target,1,42,1.51945,1.33048,1.46418,3.84811,3.56278
PV α7,target,1,43,1.56186,1.34287,1.4732,3.8811,3.60029
PV α7,target,1,44,1.54214,1.33728,1.46889,3.86454,3.58307
PV α7,target,1,45,1.53377,1.33889,1.47162,3.86967,3.5841
PV α7,target,1,46,1.53451,1.3352,1.46809,3.8621,3.57779
PV α7,target,1,47,1.53785,1.33712,1.46978,3.86609,3.5808
PV α7,target,1,48,1.56933,1.34699,1.47617,3.88916,3.61186
PV α7,target,1,49,1.52328,1.33408,1.46726,3.85674,3.573
SOM α7,prediction,1,0,1.63069,0.0428699,2.70714,1.26256,6.69749
SOM α7,prediction,1,1,1.62539,0.0427562,2.70524,1.26687,6.69051
SOM α7,prediction,1,2,1.62145,0.0426571,2.70261,1.26723,6.68396
SOM α7,prediction,1,3,1.64064,0.0429731,2.71322,1.26554,6.71899
SOM α7,prediction,1,4,1.62102,0.0423837,2.69815,1.27741,6.66851
SOM α7,prediction,1,5,1.62512,0.0426912,2.70298,1.267,6.6861
SOM α7,prediction,1,6,1.64906,0.0433212,2.71918,1.2561,6.73504
SOM α7,prediction,1,7,1.58734,0.0417631,2.68192,1.28676,6.61124
SOM α7,prediction,1,8,1.62127,0.0426882,2.70213,1.26623,6.6813
SOM α7,prediction,1,9,1.58445,0.0419259,2.68233,1.27812,6.61307
SOM α7,prediction,1,10,1.60867,0.042337,2.69494,1.27277,6.65871
SOM α7,prediction,1,11,1.62518,0.0427544,2.706,1.26772,6.69063
SOM α7,prediction,1,12,1.63206,0.0427299,2.7053,1.26889,6.69082
SOM α7,prediction,1,13,1.61394,0.0424193,2.6982,1.27467,6.66763
SOM α7,prediction,1,14,1.6502,0.0433322,2.72052,1.25574,6.7453
SOM α7,prediction,1,15,1.61494,0.0423902,2.69409,1.27312,6.6521
SOM α7,prediction,1,16,1.61471,0.0424133,2.69607,1.27329,6.65874
SOM α7,prediction,1,17,1.61828,0.0424764,2.6995,1.27348,6.675
SOM α7,prediction,1,18,1.60643,0.0420732,2.68611,1.2803,6.62181
SOM α7,prediction,1,19,1.63307,0.0428988,2.71009,1.26469,6.70913
SOM α7,prediction,1,20,1.61022,0.0423422,2.69446,1.27393,6.65177
SOM α7,prediction,1,21,1.61966,0.0427216,2.70348,1.26409,6.68798
SOM α7,prediction,1,22,1.59767,0.0420829,2.68506,1.27609,6.62226
SOM α7,prediction,1,23,1.64083,0.0429989,2.71126,1.26253,6.71202
SOM α7,prediction,1,24,1.58159,0.0417194,2.67685,1.28434,6.59092
SOM α7,prediction,1,25,1.64102,0.0431963,2.71625,1.25665,6.73121
SOM α7,prediction,1,26,1.62432,0.0426864,2.70434,1.2687,6.68936
SOM α7,prediction,1,27,1.63609,0.0429163,2.70994,1.26443,6.70712
SOM α7,prediction,1,28,1.6091,0.0422667,2.69488,1.27777,6.65486
SOM α7,prediction,1,29,1.62041,0.0426077,2.70217,1.26878,6.68403
SOM α7,prediction,1,30,1.61456,0.0423651,2.69878,1.27818,6.66829
SOM α7,prediction,1,31,1.63777,0.0429574,2.71054,1.26277,6.70884
SOM α7,prediction,1,32,1.66292,0.0434883,2.72301,1.25437,6.75029
SOM α7,prediction,1,33,1.6389,0.0429791,2.71078,1.26246,6.70928
SOM α7,prediction,1,34,1.59327,0.041959,2.68235,1.27801,6.61256
SOM α7,prediction,1,35,1.6207,0.0425158,2.69982,1.27246,6.67137
SOM α7,prediction,1,36,1.64319,0.0430016,2.71256,1.26537,6.7133
SOM α7,prediction,1,37,1.62265,0.0424377,2.69892,1.27607,6.67106
SOM α7,prediction,1,38,1.63396,0.0427861,2.70912,1.27112,6.69981
SOM α7,prediction,1,39,1.59253,0.0419832,2.68547,1.28,6.62552
SOM α7,prediction,1,40,1.64493,0.0429238,2.71068,1.26786,6.70742
SOM α7,prediction,1,41,1.58265,0.0419064,2.68232,1.2777,6.61839
SOM α7,prediction,1,42,1.61825,0.0425292,2.69976,1.27088,6.67322
SOM α7,prediction,1,43,1.62515,0.0426801,2.70783,1.27161,6.70049
SOM α7,prediction,1,44,1.61431,0.0424622,2.69788,1.27124,6.66525
SOM α7,prediction,1,45,1.63003,0.0427693,2.70225,1.26442,6.67911
SOM α7,prediction,1,46,1.60328,0.0422516,2.69229,1.27421,6.64816
SOM α7,prediction,1,47,1.62109,0.0426116,2.7007,1.2687,6.67773
SOM α7,prediction,1,48,1.62324,0.0425774,2.70315,1.27269,6.68095
SOM α7,prediction,1,49,1.62604,0.0426292,2.70031,1.26814,6.67223
SOM β2,prediction,1,0,1.36854,0.850125,2.00192,2.01636,3.77312
SOM β2,prediction,1,1,1.41655,0.86759,2.02151,2.03282,3.81852
SOM β2,prediction,1,2,1.3959,0.859263,2.01257,2.02673,3.79779
SOM β2,prediction,1,3,1.39493,0.858437,2.01092,2.02591,3.79263
SOM β2,prediction,1,4,1.41799,0.866801,2.02111,2.03384,3.81675
SOM β2,prediction,1,5,1.42253,0.8697,2.0235,2.03484,3.82264
