condition,w_inter,trial_idx,seed,A_hat,cap_hit,noise_percentile,noise_threshold
WT,0.001,0,452,0.5644827685,0,95,0.9278336824
WT,0.001,1,453,0.06347932993,0,95,0.9278336824
WT,0.001,2,454,0.5922245311,0,95,0.9278336824
WT,0.001,3,455,0.5894605289,0,95,0.9278336824
WT,0.001,4,456,0.7393243994,0,95,0.9278336824
WT,0.001,5,457,0.1165664308,0,95,0.9278336824
WT,0.001,6,458,0.2841750166,0,95,0.9278336824
WT,0.001,7,459,0.9269107092,0,95,0.9278336824
WT,0.001,8,460,0.6293377779,0,95,0.9278336824
WT,0.001,9,461,0.04790229342,0,95,0.9278336824
WT,0.001,10,462,0.3528279551,0,95,0.9278336824
WT,0.001,11,463,0.2100668766,0,95,0.9278336824
WT,0.001,12,464,0.2762848902,0,95,0.9278336824
WT,0.001,13,465,0.3600070421,0,95,0.9278336824
WT,0.001,14,466,0.9646219476,0,95,0.9278336824
WT,0.001,15,467,0.6299853953,0,95,0.9278336824
WT,0.001,16,468,0.6914034455,0,95,0.9278336824
WT,0.001,17,469,0.2478185741,0,95,0.9278336824
WT,0.001,18,470,0.7740406206,0,95,0.9278336824
WT,0.001,19,471,0.4291395969,0,95,0.9278336824
WT,0.001,20,472,0.7362630805,0,95,0.9278336824
WT,0.001,21,473,0.6240889265,0,95,0.9278336824
WT,0.001,22,474,0.7234938882,0,95,0.9278336824
WT,0.001,23,475,0.338924075,0,95,0.9278336824
WT,0.001,24,476,0.8310962647,0,95,0.9278336824
WT,0.001,25,477,0.3830034226,0,95,0.9278336824
WT,0.001,26,478,0.6329281881,0,95,0.9278336824
WT,0.001,27,479,0.8121172878,0,95,0.9278336824
WT,0.001,28,480,0.4774863655,0,95,0.9278336824
WT,0.001,29,481,0.3287159291,0,95,0.9278336824
WT,0.001,30,482,0.4942371891,0,95,0.9278336824
WT,0.001,31,483,0.4847462083,0,95,0.9278336824
WT,0.001,32,484,0.9618156593,0,95,0.9278336824
WT,0.001,33,485,0.2390012047,0,95,0.9278336824
WT,0.001,34,486,0.8050996893,0,95,0.9278336824
WT,0.001,35,487,0.7569057796,0,95,0.9278336824
WT,0.001,36,488,0.8478158653,0,95,0.9278336824
