condition,trial_idx,seed,spectral_peakedness
WT,0,191664963,0.010479246195831515
WT,1,1662057957,0.022915151296840963
WT,2,1405681631,0.009075320763332062
WT_APP,0,191664963,0.008242809375910376
WT_APP,1,1662057957,0.04450687115117047
WT_APP,2,1405681631,0.01067756123581809
