condition_key,w_inter,trial_idx,seed,a_hat_value
WT_APP,4.0,,,0.0751178310177762
WT_APP,4.0,,,0.03644229504660149
WT_APP,4.0,,,0.005554213379025167
WT_APP,4.0,,,0.02804423850625931
WT_APP,4.0,,,0.0940299375808664
WT_APP,4.0,,,0.018339084488002987
WT_APP,4.0,,,0.022795261647421936
WT_APP,4.0,,,0.026152231338166472
WT_APP,4.0,,,0.08105990208136071
WT_APP,4.0,,,0.03826142644501053
WT_APP,4.0,,,0.062365548194959916
WT_APP,4.0,,,0.04059984877374256
WT_APP,4.0,,,0.02383661481015812
WT_APP,4.0,,,0.07567572728546748
WT_APP,4.0,,,0.08773691015636169
WT_APP,4.0,,,0.0751178310177762
WT_APP,4.0,,,0.09847779573087545
WT_APP,4.0,,,0.03202991743283117
WT_APP,4.0,,,0.010255732694173365
WT_APP,4.0,,,0.053209030588216355
WT_APP,4.0,,,0.04774494615115215
WT_APP,4.0,,,0.050841391613257673
WT_APP,4.0,,,0.016784415881706646
WT_APP,4.0,,,0.03998731159589965
WT_APP,4.0,,,0.05831919510514984
WT_APP,4.0,,,0.02276223708044104
WT_APP,4.0,,,0.07576366014749791
WT_APP,4.0,,,0.03888552999886811
WT_APP,4.0,,,0.025694552235838903
WT_APP,4.0,,,0.060009398955305264
WT_APP,4.0,,,0.01640887406903649
WT_APP,4.0,,,0.09847779573087545
WT_APP,4.0,,,0.02748494589529975
WT_APP,4.0,,,0.06044588582355114
WT_APP,4.0,,,0.08474097884135862
WT_APP,4.0,,,0.04997612646985169
WT_APP,4.0,,,0.027090459862340727
WT_APP,4.0,,,0.07805326141056804
WT_APP,4.0,,,0.03470337787776504
WT_APP,4.0,,,0.06538259159717802
WT_APP,4.0,,,0.05191159108547207
WT_APP,4.0,,,0.06733033008420698
WT_APP,4.0,,,0.02117089686448806
WT_APP,4.0,,,0.026174492461674085
WT_APP,4.0,,,0.10372147678663549
WT_APP,4.0,,,0.02878278672732658
WT_APP,4.0,,,0.08950764937877745
WT_APP,4.0,,,0.02748494589529975
WT_APP,4.0,,,0.027340635807580237
WT_APP,4.0,,,0.07151767174616468
WT_APP,4.0,,,0.036398466932996365
WT_APP,4.0,,,0.0441990638051938
WT_APP,4.0,,,0.008501131289116502
WT_APP,4.0,,,0.09120224012509141
WT_APP,4.0,,,0.05326585769429702
WT_APP,4.0,,,0.06423537540661677
WT_APP,4.0,,,0.07008852941063805
