condition_key,amplitude,trial_idx,seed,eval_time_ms,center_mean_deg,center_std_deg,amplitude_mean,width_mean_deg,drift_rate_deg_per_s,diffusion_deg2_per_s,error_from_cue_deg
WT,8.0,1,1662057957,10950.0,145.2759946554664,62.545008807037895,0.02545228292216118,54.7748118928336,927.2424383692199,230779.98133661473,34.724005344533595
WT,8.0,1,1662057957,11150.0,96.51240206098201,106.66093679836328,0.026693093699815734,54.875477672656,-129.59578415993988,115724.62267348557,83.48759793901799
WT,8.0,1,1662057957,11350.0,137.25155886109923,41.691428870359275,0.031976178093369716,54.40760023025965,2102.9774997256914,263607.4493982029,42.74844113890077
WT,8.0,1,1662057957,11550.0,287.1023685401216,109.93633519261881,0.027947589873044378,54.349037617934115,1147.7355110978854,499148.18457859056,107.10236854012157
WT,8.0,1,1662057957,11750.0,72.65104694966277,86.459266372032,0.02678687079793807,54.652005998963205,596.6544078264135,100462.1125579897,107.34895305033723
WT,8.0,1,1662057957,11950.0,111.8941424591216,94.24910793212392,0.02216246992712375,54.63073991887219,1652.720595278451,155171.7036021027,68.1058575408784
WT,8.0,1,1662057957,12150.0,57.125411633430446,110.02571365282884,0.020753312394919232,55.06022651527847,-717.4477612985341,67921.16115236505,122.87458836656955
WT,8.0,1,1662057957,12350.0,151.59866742544943,108.09935151258412,0.022757638932508685,54.29605873976874,849.531620277055,188607.15455150194,28.401332574550565
WT,8.0,1,1662057957,12550.0,60.59145344252524,103.92576225594088,0.023423717155959714,54.437847409192486,-315.75009797561194,25024.75667556114,119.40854655747475
WT,8.0,1,1662057957,12750.0,312.2893701590985,60.462195382464586,0.03426411985493606,54.49170836873361,-2639.974082386383,499342.0748732086,132.2893701590985
WT,8.0,1,1662057957,12950.0,142.58585621886817,128.28314680797695,0.02902301524544117,54.2338549038662,-988.9075276052728,113109.3429782091,37.41414378113183
WT,8.0,1,1662057957,13150.0,333.273283748088,51.83202417309533,0.029571127726939234,54.44058106370102,1734.6105299058713,343133.04111176287,153.27328374808798
WT,8.0,1,1662057957,13350.0,352.20321766710475,66.5319647269173,0.025902209762921777,54.53764774609175,-493.1615913774894,63783.76925780308,172.20321766710475
