condition,amplitude,distractor_factor,offset_deg,phase_pi,trial_idx,seed,plv_mean_delay2,cue_power_mean_delay2,dist_power_mean_delay2
WT,20.0,1.0,120.0,0.0,70,895155732,0.32690354157376783,0.7857855055714276,0.6355477013219019
WT,20.0,1.0,120.0,0.0,71,720148324,0.32941222626192734,0.7056623873966367,0.4712042339908884
WT,20.0,1.0,120.0,0.0,72,1582122199,0.2907588113024086,0.8463177861495802,0.37344078691966875
WT,20.0,1.0,120.0,0.0,73,1951878275,0.44921090715546935,0.9115191437784496,0.4242648282455103
WT,20.0,1.0,120.0,0.0,74,850305651,0.4872135700935891,0.9142240686222923,0.477144531943218
WT,20.0,1.0,120.0,0.0,75,146415610,0.39926754073125537,0.7309003417889882,0.4279760707290954
WT,20.0,1.0,120.0,0.0,76,506504968,0.49867976328595487,0.8859890702769043,0.4875620939906686
WT,20.0,1.0,120.0,0.0,77,1164456162,0.47552491461607554,0.9117390407887604,0.5448486696434869
WT,20.0,1.0,120.0,0.0,78,1436613566,0.4533937958047565,0.6727757347454608,0.4581018552331241
WT,20.0,1.0,120.0,0.0,79,492357652,0.3441128087803702,0.8274675860009082,0.6961055322007519
WT,20.0,1.0,120.0,0.0,80,1275714321,0.33016338089754965,0.6936070276904613,0.47177051250626356
WT,20.0,1.0,120.0,0.0,81,115492695,0.4149113771215301,0.6921158777287274,0.4374781217009991
WT,20.0,1.0,120.0,0.0,82,1538334324,0.39468297700837934,0.8433035476458981,0.49780388036639844
WT,20.0,1.0,120.0,0.0,83,405827099,0.39627553956268924,0.7856458351609,0.49245547866877454
WT,20.0,1.0,120.0,0.0,84,1328323725,0.3978829665345596,0.8361761995038548,0.5160571199617354
WT,20.0,1.0,120.0,0.0,85,1167083081,0.2426524004132271,0.7037128135684215,0.35972716446351843
WT,20.0,1.0,120.0,0.0,86,776272372,0.45331145767912234,0.8391361307081168,0.5556188931904602
