condition_key,w_inter,a_hat_value
b2_KO_APP,2.0,0.020460029552730234
b2_KO_APP,2.0,0.03082527721270026
b2_KO_APP,2.0,0.015336957789141225
b2_KO_APP,2.0,0.024117401595208133
b2_KO_APP,2.0,0.030836204657629856
b2_KO_APP,2.0,0.027155498550489904
b2_KO_APP,2.0,0.031346738057502474
b2_KO_APP,2.0,0.007471385640788293
b2_KO_APP,2.0,0.021407400323672776
b2_KO_APP,2.0,0.007131093985804398
b2_KO_APP,2.0,0.012685734104837006
b2_KO_APP,2.0,0.03539904984390684
b2_KO_APP,2.0,0.02142796324911793
b2_KO_APP,2.0,0.03319816219335675
b2_KO_APP,2.0,0.040049939982814454
b2_KO_APP,2.0,0.020460029552730234
b2_KO_APP,2.0,0.036500505601044786
b2_KO_APP,2.0,0.008960084078367828
b2_KO_APP,2.0,0.01198970883879162
b2_KO_APP,2.0,0.015927692865649472
b2_KO_APP,2.0,0.04630391943559289
b2_KO_APP,2.0,0.027574799741189027
b2_KO_APP,2.0,0.0132149944025957
b2_KO_APP,2.0,0.011548959747857721
b2_KO_APP,2.0,0.02969819698891411
b2_KO_APP,2.0,0.011589299280181169
b2_KO_APP,2.0,0.01758729370461975
b2_KO_APP,2.0,0.01785047782661458
b2_KO_APP,2.0,0.02967712512022014
b2_KO_APP,2.0,0.015480545544762423
b2_KO_APP,2.0,0.025493889309960407
b2_KO_APP,2.0,0.036500505601044786
b2_KO_APP,2.0,0.00875993972549132
b2_KO_APP,2.0,0.012616010927037017
b2_KO_APP,2.0,0.03443805547277178
b2_KO_APP,2.0,0.029041992129058666
b2_KO_APP,2.0,0.035254144179140315
b2_KO_APP,2.0,0.009082445285853172
b2_KO_APP,2.0,0.02839298425526627
b2_KO_APP,2.0,0.04953451959466726
b2_KO_APP,2.0,0.017341550205205607
b2_KO_APP,2.0,0.01241309774757018
b2_KO_APP,2.0,0.0163545412428015
b2_KO_APP,2.0,0.006074558389288081
b2_KO_APP,2.0,0.03770874179285589
b2_KO_APP,2.0,0.021400073543539715
b2_KO_APP,2.0,0.03515777044958764
b2_KO_APP,2.0,0.00875993972549132
b2_KO_APP,2.0,0.018615344339996183
b2_KO_APP,2.0,0.015026225172052004
b2_KO_APP,2.0,0.029690270593380034
b2_KO_APP,2.0,0.007690513948210082
b2_KO_APP,2.0,0.02984551924856041
b2_KO_APP,2.0,0.05084282955573217
b2_KO_APP,2.0,0.013818578889166992
b2_KO_APP,2.0,0.005650652186970359
b2_KO_APP,2.0,0.013283321327806737
b2_KO_APP,2.0,0.010892538204355618
b2_KO_APP,2.0,0.019212460210440874
b2_KO_APP,2.0,0.021741303657999988
b2_KO_APP,2.0,0.01766562981992122
b2_KO_APP,2.0,0.01938903612662342
b2_KO_APP,2.0,0.019491930946567305
b2_KO_APP,2.0,0.018615344339996183
b2_KO_APP,2.0,0.00957337197622959
b2_KO_APP,2.0,0.013744836403816931
b2_KO_APP,2.0,0.00938563444519462
b2_KO_APP,2.0,0.020300362725272497
b2_KO_APP,2.0,0.022083702262494072
b2_KO_APP,2.0,0.0255207494346958
b2_KO_APP,2.0,0.026074055578630375
b2_KO_APP,2.0,0.023933554086570052
b2_KO_APP,2.0,0.01214731894470266
b2_KO_APP,2.0,0.021207999177836775
b2_KO_APP,2.0,0.018865208961973023
b2_KO_APP,2.0,0.026179225351768014
b2_KO_APP,2.0,0.02874166706497141
b2_KO_APP,2.0,0.017078563890449216
b2_KO_APP,2.0,0.013614751980327916
b2_KO_APP,2.0,0.00957337197622959
b2_KO_APP,2.0,0.017793887661439068
b2_KO_APP,2.0,0.027667437543021308
b2_KO_APP,2.0,0.006608071385557123
b2_KO_APP,2.0,0.03135252574717903
b2_KO_APP,2.0,0.02387533297389838
b2_KO_APP,2.0,0.017487276976180473
b2_KO_APP,2.0,0.023771665038814786
b2_KO_APP,2.0,0.024231172917497285
b2_KO_APP,2.0,0.02246643656603593
b2_KO_APP,2.0,0.007118512513866485
b2_KO_APP,2.0,0.005602558969467661
b2_KO_APP,2.0,0.020961396508474162
b2_KO_APP,2.0,0.004732859173883189
b2_KO_APP,2.0,0.020924153648898325
b2_KO_APP,2.0,0.02644214738809874
b2_KO_APP,2.0,0.017793887661439068
b2_KO_APP,2.0,0.011452748065127341
b2_KO_APP,2.0,0.013774255670799726
b2_KO_APP,2.0,0.0029492134340745554
b2_KO_APP,2.0,0.019983631935890273
b2_KO_APP,2.0,0.023833150515800938
b2_KO_APP,2.0,0.01502501421760183
b2_KO_APP,2.0,0.03127647756676862
b2_KO_APP,2.0,0.03413411547841956
b2_KO_APP,2.0,0.02157614419582532
b2_KO_APP,2.0,0.03925684976509009
b2_KO_APP,2.0,0.010801326493867629
b2_KO_APP,2.0,0.017721888429680636
b2_KO_APP,2.0,0.02216689686894338
b2_KO_APP,2.0,0.003965360782242688
b2_KO_APP,2.0,0.01887071870181275
b2_KO_APP,2.0,0.011452748065127341
b2_KO_APP,2.0,0.028187427356505496
b2_KO_APP,2.0,0.017970127012009802
b2_KO_APP,2.0,0.03004789680765863
b2_KO_APP,2.0,0.01893816335684686
