condition_key,offset_deg,trial_idx,seed,displacement_rad,pre_amp,post_amp
WT,0.0,0,191664963,0.034910841115021185,0.5182962470159815,0.6108653537830514
WT,0.0,5,1843824992,-0.02289441806779502,0.5454978325723651,0.6033371789163661
WT,0.0,8,432652533,-0.009048117122994803,0.5232250169374014,0.6194661649763625
WT,0.0,9,202244314,-0.0018256262015152736,0.534581412194509,0.587564734092339
WT,0.0,1,1662057957,-0.005713522475465638,0.4750662335451242,0.6100384050999134
WT,0.0,2,1405681631,5.293897572178352e-05,0.5342575407741381,0.6038369263954031
WT,0.0,6,184566854,-0.04609295073563047,0.5254586691083867,0.5842585410630072
WT,0.0,7,1497586438,0.052611689397976225,0.5101725206975773,0.5858956261261101
WT,0.0,4,929893137,0.031854974771622135,0.5236884830692613,0.5957206853436139
WT,0.0,3,942484272,-0.004197766409395509,0.5109077881638422,0.5944389793403245
WT,0.0,12,1580016183,0.01976490589443225,0.515774386730722,0.5824104487411483
WT,0.0,10,1130604997,-0.024243724874831507,0.49203180310810085,0.5713730568904052
WT,0.0,11,2095133045,-0.030246010992837746,0.5353909046444012,0.5918797681837648
WT,0.0,14,1540770719,-0.056015339751291915,0.5334047341698281,0.6049529926996318
WT,0.0,13,1634535062,-0.008703992115685733,0.49581217603929856,0.5902141420145512
WT,0.0,15,1688060240,0.015234140277053054,0.4964368779495777,0.5913212504532062
WT,0.0,16,1102145672,-0.012781142224948638,0.5258279482649704,0.6017281358283357
WT,0.0,18,1803345590,0.018418836087227497,0.5263172604014847,0.5902704581981344
WT,0.0,17,275121930,0.015821491387636222,0.5085797755022634,0.6080054644991804
WT,0.0,19,967196436,-0.013467491006421639,0.5139816181562187,0.6105071816063745
WT,0.0,22,392022359,-0.0004468786875464481,0.5121976200361353,0.6038872108351959
WT,0.0,21,796282693,-0.03520536587909229,0.5112143402106102,0.5922960710570453
WT,0.0,20,1074497555,-0.03603134598111568,0.5389980287788505,0.6046366191667292
WT,0.0,23,1990212658,-0.06148645854149937,0.5150167222113089,0.5898186673090692
WT,0.0,26,864178266,0.0038556609803630515,0.4767868949118742,0.5932088824884091
WT,0.0,25,1382689815,0.04921848536310458,0.5281876341581666,0.5935864555547945
WT,0.0,24,1678403330,-0.0249923933024343,0.5151023695053871,0.5910163446369342
WT,0.0,27,1766867109,0.053681238068858494,0.5023437638332254,0.5803637188382715
WT,0.0,29,952224740,-0.02255684725839524,0.5275582009378268,0.5973822774034675
WT,0.0,28,1171300112,0.0161269985352801,0.5018553499377189,0.580559410924278
WT,0.0,30,967354524,0.035360233242354155,0.5343081410443027,0.5827392421000599
WT,0.0,31,487991438,-0.00021180043012813954,0.5361818775874729,0.586296277881045
WT,0.0,32,197860368,0.011624093965118654,0.5264817324814315,0.5946844732854714
WT,0.0,33,1190961760,-0.01413574746324997,0.4963144185165779,0.5801635277045515
WT,0.0,36,1843166518,-0.00989162107966468,0.473960524329574,0.5818550735507412
WT,0.0,38,594336917,0.014304048754389953,0.5149977331499704,0.5973539455817742
WT,0.0,37,1777324407,0.030653808166474672,0.5175392836876904,0.6145316376887885
WT,0.0,35,137046513,0.02017809987587027,0.5299115967266979,0.5973867134376011
WT,0.0,34,1906728918,0.0067574060042496775,0.5056464305114061,0.58799230369279
WT,0.0,39,1356488967,0.00256141066666693,0.48963847773151264,0.5666570360900339
WT,0.0,41,1627981024,-0.0009698952698480312,0.501811640283299,0.5741757255131621
WT,0.0,42,1504361614,-0.046754161296357566,0.4988135103385483,0.6043606039924354
WT,0.0,40,354826746,0.0031220851604665256,0.5239337526590032,0.6074713961773395
WT,0.0,43,761338718,-0.01281345808692258,0.5040141888351903,0.5887883559435334
WT,0.0,44,145857092,-0.029066999924290737,0.5186553700023712,0.5690452893821616
WT,0.0,45,2084558133,-0.02385462285661344,0.5091069029268691,0.6162013371759126
WT,0.0,47,1917963002,0.028087266768420882,0.5083881462943084,0.5723186822455394
WT,0.0,48,1455819991,0.04049518483020975,0.5085446034404363,0.5760616554851312
WT,0.0,46,957106589,-0.005654708616023019,0.5210535204461739,0.5825154718170567
WT,0.0,49,1671565830,-0.019539096138872836,0.5088999480608863,0.5809627416073123
WT,10.0,0,191664963,0.10848098857407695,0.5182962470159815,0.6089897032688703
WT,10.0,2,1405681631,0.07186308931709195,0.5342575407741381,0.6011285489171344
WT,10.0,1,1662057957,0.0663967495845017,0.4750662335451242,0.6086856292691093
WT,10.0,4,929893137,0.1034883216940683,0.5236884830692613,0.5952747187162467
WT,10.0,6,184566854,0.02728112725127163,0.5254586691083867,0.5809984405132642
WT,10.0,5,1843824992,0.053764039060814284,0.5454978325723651,0.6009153306139798
WT,10.0,3,942484272,0.06949494329429262,0.5109077881638422,0.592159922431197
WT,10.0,8,432652533,0.06080914071698773,0.5232250169374014,0.6161358528245998
WT,10.0,7,1497586438,0.1257412500016759,0.5101725206975773,0.5861391455827621
WT,10.0,9,202244314,0.07139847878906824,0.534581412194509,0.5843101643425271
WT,10.0,10,1130604997,0.05071037363326392,0.49203180310810085,0.5686091329295591
WT,10.0,11,2095133045,0.047572332636971915,0.5353909046444012,0.587427778602037
WT,10.0,13,1634535062,0.06316451450793537,0.49581217603929856,0.5884174019668375
WT,10.0,15,1688060240,0.08913802403849624,0.4964368779495777,0.5881049661868173
WT,10.0,14,1540770719,0.01659211593014609,0.5334047341698281,0.6011884326337231
WT,10.0,12,1580016183,0.09739507587713137,0.515774386730722,0.5797460590944443
WT,10.0,18,1803345590,0.09277189026074284,0.5263172604014847,0.5870944396508053
WT,10.0,16,1102145672,0.06238357220248991,0.5258279482649704,0.6003489258746182
WT,10.0,19,967196436,0.06055394296034988,0.5139816181562187,0.6078436233483396
WT,10.0,17,275121930,0.086352143868349,0.5085797755022634,0.6055955193647711
WT,10.0,21,796282693,0.04101194414639764,0.5112143402106102,0.5887779781324837
WT,10.0,23,1990212658,0.013654248781462375,0.5150167222113089,0.5858473619345382
WT,10.0,20,1074497555,0.034154639004313925,0.5389980287788505,0.6033449280816877
WT,10.0,22,392022359,0.07074101575360414,0.5121976200361353,0.6011268981349212
WT,10.0,24,1678403330,0.05007050753949294,0.5151023695053871,0.587577868272472
WT,10.0,25,1382689815,0.12046676595584138,0.5281876341581666,0.5915360456142075
WT,10.0,28,1171300112,0.09147782645095903,0.5018553499377189,0.5801272505150449
WT,10.0,27,1766867109,0.12685239950804705,0.5023437638332254,0.5785902345405463
WT,10.0,29,952224740,0.04974986640875123,0.5275582009378268,0.595318279618022
WT,10.0,26,864178266,0.07525443510342011,0.4767868949118742,0.5883729572904483
WT,10.0,30,967354524,0.10942541635367631,0.5343081410443027,0.5815148401838992
WT,10.0,34,1906728918,0.0790872626230188,0.5056464305114061,0.5854991772514461
WT,10.0,33,1190961760,0.06159455817664439,0.4963144185165779,0.5778014260857489
WT,10.0,32,197860368,0.08694460793344705,0.5264817324814315,0.5900119440747847
WT,10.0,31,487991438,0.07600710354503892,0.5361818775874729,0.583902915166764
WT,10.0,35,137046513,0.09653332223932276,0.5299115967266979,0.5955822348204588
WT,10.0,37,1777324407,0.10377780488701349,0.5175392836876904,0.613649386458534
WT,10.0,38,594336917,0.08872324543084309,0.5149977331499704,0.5963682566630525
WT,10.0,39,1356488967,0.0796976417110824,0.48963847773151264,0.5645640267055428
WT,10.0,36,1843166518,0.0639790755871621,0.473960524329574,0.5788815439430302
WT,10.0,41,1627981024,0.07501579838375783,0.501811640283299,0.5714525356627043
WT,10.0,40,354826746,0.0764922253760516,0.5239337526590032,0.605114129404914
WT,10.0,42,1504361614,0.02904396309223234,0.4988135103385483,0.6009107741351815
WT,10.0,44,145857092,0.04897025616689499,0.5186553700023712,0.5660781388240472
WT,10.0,43,761338718,0.06446727220182602,0.5040141888351903,0.586098902309283
WT,10.0,45,2084558133,0.04958138459168948,0.5091069029268691,0.614203314476849
WT,10.0,47,1917963002,0.10406086166511797,0.5083881462943084,0.5700231219624289
WT,10.0,46,957106589,0.06764785421299901,0.5210535204461739,0.5821256784650718
WT,10.0,49,1671565830,0.0576135538090603,0.5088999480608863,0.577617977947137
WT,10.0,48,1455819991,0.11710729018081523,0.5085446034404363,0.5744882033835249
WT,20.0,1,1662057957,0.13906434671439039,0.4750662335451242,0.6020238127753532
WT,20.0,0,191664963,0.18067158627219682,0.5182962470159815,0.6029679417375948
WT,20.0,2,1405681631,0.1430759616850832,0.5342575407741381,0.5940374250570732
WT,20.0,4,929893137,0.17559229611553473,0.5236884830692613,0.5895710745808243
WT,20.0,3,942484272,0.14160269596722852,0.5109077881638422,0.5853616307933227
WT,20.0,6,184566854,0.10018022343105182,0.5254586691083867,0.5734392517604455
WT,20.0,7,1497586438,0.19818881176862924,0.5101725206975773,0.5798514437489308
WT,20.0,5,1843824992,0.12929021122770212,0.5454978325723651,0.594124097731683
WT,20.0,8,432652533,0.1294122058473297,0.5232250169374014,0.6079146936898698
WT,20.0,9,202244314,0.1456511323489953,0.534581412194509,0.5757583129420046
WT,20.0,10,1130604997,0.1249594141424919,0.49203180310810085,0.5610948689541332
WT,20.0,13,1634535062,0.1340232791931113,0.49581217603929856,0.5822426201541493
