condition_key,amplitude,w_inter,trial_idx,seed,A_hat_final,peak_pyr_rate,center_final_deg,error_from_cue_deg
WT,5.0,2.0,0,191664963,0.1059655423321291,2.0737083995059793,226.67199599322453,46.67199599322453
WT,5.0,2.0,2,1405681631,0.06644544345202351,1.9777086062587466,224.51775496124662,44.517754961246624
WT,5.0,2.0,1,1662057957,0.027015360922452634,2.028349909563531,114.5510284295094,65.4489715704906
WT,5.0,2.0,3,942484272,0.026798215013447455,2.193207462858321,282.16383354859744,102.16383354859744
WT,5.0,2.0,4,929893137,0.014337661246372865,1.9848996084705472,358.1926900942709,178.19269009427092
WT,5.0,2.0,5,1843824992,0.060142171373566373,1.9060663493664394,182.14177464195376,2.1417746419537593
WT,5.0,2.0,7,1497586438,0.007105261339036683,2.2553021324724347,126.45555543326824,53.544444566731755
WT,5.0,2.0,6,184566854,0.026657826072486603,2.0280237837918147,53.1703543420931,126.8296456579069
WT,5.0,2.0,8,432652533,0.02318860080815686,2.233980893081631,116.14636571963558,63.85363428036442
WT,5.0,2.0,9,202244314,0.04044095448510361,2.240336670363673,176.6693096531245,3.330690346875514
WT,5.0,2.0,11,2095133045,0.04393360346772317,2.0898794655236586,278.2189665233342,98.21896652333419
WT,5.0,2.0,10,1130604997,0.06057780478175853,2.1343676063472135,132.5096383928359,47.49036160716409
WT,5.0,2.0,12,1580016183,0.06162131312718835,2.014571469863859,262.4345712604777,82.4345712604777
WT,5.0,2.0,14,1540770719,0.03623449372425819,2.127349001819835,36.02980548239857,143.97019451760144
WT,5.0,2.0,13,1634535062,0.06893090291299604,2.2580995024019077,147.5645016259077,32.435498374092305
WT,5.0,2.0,15,1688060240,0.0546124275392846,2.0780599601676943,346.5004290034403,166.50042900344027
WT,5.0,2.0,16,1102145672,0.031679770048457304,2.1203964430897884,204.07546348125814,24.07546348125814
WT,5.0,2.0,18,1803345590,0.06321762477331562,2.0431231215168415,198.0198679092263,18.019867909226292
WT,5.0,2.0,17,275121930,0.04206931311197273,2.2911388162538247,285.04901298664805,105.04901298664805
WT,5.0,2.0,19,967196436,0.00576727244576189,2.136393270415751,221.44594386982453,41.44594386982453
WT,5.0,2.0,20,1074497555,0.04932304189265569,2.1496095356075626,294.0285693711462,114.0285693711462
WT,5.0,2.0,21,796282693,0.03425669204771363,1.9832129911837897,157.68897323079204,22.311026769207956
WT,5.0,2.0,22,392022359,0.021282816432005653,2.063421449450365,178.02708873733502,1.9729112626649794
WT,5.0,2.0,23,1990212658,0.020635509691325157,2.0487311009258042,262.6631660639597,82.6631660639597
