condition_key,amplitude,w_inter,success_rate,mean_A_hat,peak_pyr_rate,mean_error_deg,noise_threshold,n_trials,ss_pyr_hz,ss_som_hz,ss_pv_hz,ss_vip_hz
WT,0.1,0.001,0.18,0.021137722950684678,2.5680386015046395,108.68983570246948,0.02974636009,50,nan,nan,nan,nan
WT,0.1,0.002,0.02,0.02118576107054913,2.604810920057136,108.7676454962321,0.04448642615,50,nan,nan,nan,nan
WT,0.1,0.003,0.02,0.02123589678540418,2.6432901357838,108.84398822070389,0.04481795172,50,nan,nan,nan,nan
WT,0.1,0.004,0.02,0.021288267242143076,2.6836040016230096,108.91816935632018,0.04487482308,50,nan,nan,nan,nan
WT,0.1,0.005,0.04,0.02134302467625093,2.7260361572038123,108.99094934415429,0.04365121648,50,nan,nan,nan,nan
WT,0.1,0.006,0.04,0.021400338294376074,2.770816842430537,109.06294151400569,0.04108897868,50,nan,nan,nan,nan
WT,0.1,0.007,0.1,0.021460396658650648,2.818510151473071,109.13466120263129,0.03518371574,50,nan,nan,nan,nan
WT,0.1,0.008,0.1,0.021523410637645724,2.8690173491144573,109.20655863078346,0.03475922399,50,nan,nan,nan,nan
WT,0.1,0.009000000000000001,1.0,0.021589617032708928,2.922580876334805,109.27904189914236,0.0,50,nan,nan,nan,nan
WT,0.1,0.010000000000000002,1.0,0.021659283035088222,2.9794212191091507,109.35249380666423,0.0,50,nan,nan,nan,nan
WT,0.1,0.011,0.12,0.021732711725891914,3.0399146786463813,109.42728460831908,0.03437525335,50,nan,nan,nan,nan
WT,0.1,0.012,0.3,0.021810248904482465,3.1045383361015575,109.50378173896077,0.02729334539,50,nan,nan,nan,nan
WT,0.2,0.001,0.18,0.021137841076735536,4.177405657895389,108.69087815361928,0.02974636009,50,nan,nan,nan,nan
WT,0.2,0.002,0.02,0.021185884426683566,4.270059370457279,108.76871754131331,0.04448642615,50,nan,nan,nan,nan
WT,0.2,0.003,0.02,0.021236025787038062,4.369184479424735,108.84509317495628,0.04481795172,50,nan,nan,nan,nan
WT,0.2,0.004,0.02,0.021288402364212415,4.475593691250682,108.9193111014309,0.04487482308,50,nan,nan,nan,nan
WT,0.2,0.005,0.04,0.021343166464605986,4.5900353978998965,108.99213222587558,0.04365121648,50,nan,nan,nan,nan
WT,0.2,0.006,0.04,0.021400487380503125,4.713627698580351,109.06417043149987,0.04108897868,50,nan,nan,nan,nan
WT,0.2,0.007,0.1,0.02146055377890028,4.848272455350025,109.13594174005578,0.03518371574,50,nan,nan,nan,nan
WT,0.2,0.008,0.1,0.021523576658716796,4.996193128850555,109.20789723759137,0.03475922399,50,nan,nan,nan,nan
WT,0.2,0.009000000000000001,1.0,0.021589792986048403,5.159949574684601,109.28044613503418,0.0,50,nan,nan,nan,nan
WT,0.2,0.010000000000000002,1.0,0.021659470164372623,5.341652512558373,109.35397267924851,0.0,50,nan,nan,nan,nan
WT,0.2,0.011,0.12,0.021732911554344272,5.546189978659126,109.42884905068455,0.03437525335,50,nan,nan,nan,nan
WT,0.2,0.012,0.3,0.021810463333441724,5.77903680384568,109.50544530808511,0.02729334539,50,nan,nan,nan,nan
WT,0.3,0.001,0.18,0.02113800733260956,6.586404775157259,108.69234790933257,0.02974636009,50,nan,nan,nan,nan
WT,0.3,0.002,0.02,0.021186060390276266,6.795000144162582,108.77024928142973,0.04448642615,50,nan,nan,nan,nan
WT,0.3,0.003,0.02,0.02123621257293741,7.0242769299596,108.8466955602671,0.04481795172,50,nan,nan,nan,nan
WT,0.3,0.004,0.02,0.02128860131423551,7.277441868426985,108.920994645115,0.04487482308,50,nan,nan,nan,nan
WT,0.3,0.005,0.04,0.02134337921535738,7.559721870626346,108.9939095741204,0.04365121648,50,nan,nan,nan,nan
WT,0.3,0.006,0.04,0.021400715959884544,7.879582020051514,109.06605705537933,0.04108897868,50,nan,nan,nan,nan
WT,0.3,0.007,0.1,0.021460800748163082,8.246335091193298,109.13795697964991,0.03518371574,50,nan,nan,nan,nan
WT,0.3,0.008,0.1,0.02152384532935317,8.67321067361744,109.2100659087681,0.03475922399,50,nan,nan,nan,nan
WT,0.3,0.009000000000000001,1.0,0.021590087766297415,9.178138924533506,109.28280110415022,0.0,50,nan,nan,nan,nan
WT,0.3,0.010000000000000002,1.0,0.02165979714529114,9.786910180764142,109.35655922719221,0.0,50,nan,nan,nan,nan
WT,0.3,0.011,0.12,0.021733279577009233,10.54439354030982,109.43173283971775,0.03437525335,50,nan,nan,nan,nan
WT,0.3,0.012,0.3,0.021810886135272347,11.528033762881897,109.50872845841042,0.02729334539,50,nan,nan,nan,nan
