condition,w_inter,trial_idx,seed,A_hat,cap_hit,noise_percentile,noise_threshold
WT,0.001,95,547,0.02481220739,0,95,0.02974636009
WT,0.001,96,548,0.01410703686,0,95,0.02974636009
WT,0.001,97,549,0.02627273016,0,95,0.02974636009
WT,0.001,98,550,0.01245672543,0,95,0.02974636009
WT,0.001,99,551,0.01045089853,0,95,0.02974636009
WT,0.0014583333,0,452,0.02639755659,0,95,0.02971417482
WT,0.0014583333,1,453,0.02599698058,0,95,0.02971417482
WT,0.0014583333,2,454,0.01173408305,0,95,0.02971417482
WT,0.0014583333,3,455,0.02577574243,0,95,0.02971417482
WT,0.0014583333,4,456,0.01859727077,0,95,0.02971417482
WT,0.0014583333,5,457,0.004843343524,0,95,0.02971417482
WT,0.0014583333,6,458,0.01614202856,0,95,0.02971417482
WT,0.0014583333,7,459,0.01128213873,0,95,0.02971417482
WT,0.0014583333,8,460,0.01054169552,0,95,0.02971417482
WT,0.0014583333,9,461,0.01125089463,0,95,0.02971417482
WT,0.0014583333,10,462,0.008479200627,0,95,0.02971417482
WT,0.0014583333,11,463,0.006904422143,0,95,0.02971417482
WT,0.0014583333,12,464,0.004729270495,0,95,0.02971417482
WT,0.0014583333,13,465,0.01842073224,0,95,0.02971417482
WT,0.0014583333,14,466,0.01572500962,0,95,0.02971417482
WT,0.0014583333,15,467,0.01324691656,0,95,0.02971417482
WT,0.0014583333,16,468,0.006295945164,0,95,0.02971417482
WT,0.0014583333,17,469,0.01305778561,0,95,0.02971417482
WT,0.0014583333,18,470,0.01459912587,0,95,0.02971417482
WT,0.0014583333,19,471,0.02972224959,0,95,0.02971417482
WT,0.0014583333,20,472,0.01576714436,0,95,0.02971417482
WT,0.0014583333,21,473,0.008899001903,0,95,0.02971417482
WT,0.0014583333,22,474,0.02023260964,0,95,0.02971417482
WT,0.0014583333,23,475,0.02285491179,0,95,0.02971417482
WT,0.0014583333,24,476,0.01051346713,0,95,0.02971417482
WT,0.0014583333,25,477,0.01193664875,0,95,0.02971417482
WT,0.0014583333,26,478,0.01859236828,0,95,0.02971417482
WT,0.0014583333,27,479,0.02348893405,0,95,0.02971417482
WT,0.0014583333,28,480,0.01844872955,0,95,0.02971417482
WT,0.0014583333,29,481,0.02177459523,0,95,0.02971417482
WT,0.0014583333,30,482,0.01228513417,0,95,0.02971417482
WT,0.0014583333,31,483,0.005565750243,0,95,0.02971417482
WT,0.0014583333,32,484,0.01410891915,0,95,0.02971417482
WT,0.0014583333,33,485,0.008157556264,0,95,0.02971417482
WT,0.0014583333,34,486,0.009462361899,0,95,0.02971417482
WT,0.0014583333,35,487,0.02840933733,0,95,0.02971417482
WT,0.0014583333,36,488,0.01122793684,0,95,0.02971417482
WT,0.0014583333,37,489,0.005472509869,0,95,0.02971417482
WT,0.0014583333,38,490,0.03131949873,0,95,0.02971417482
WT,0.0014583333,39,491,0.007082630102,0,95,0.02971417482
WT,0.0014583333,40,492,0.0130751661,0,95,0.02971417482
WT,0.0014583333,41,493,0.01016239732,0,95,0.02971417482
WT,0.0014583333,42,494,0.03258998421,0,95,0.02971417482
WT,0.0014583333,43,495,0.002542666249,0,95,0.02971417482
WT,0.0014583333,44,496,0.00878678869,0,95,0.02971417482
WT,0.0014583333,45,497,0.009425293226,0,95,0.02971417482
WT,0.0014583333,46,498,0.01881510275,0,95,0.02971417482
WT,0.0014583333,47,499,0.004998211666,0,95,0.02971417482
WT,0.0014583333,48,500,0.008969532816,0,95,0.02971417482
WT,0.0014583333,49,501,0.007964416589,0,95,0.02971417482
WT,0.0014583333,50,502,0.006210096573,0,95,0.02971417482
WT,0.0014583333,51,503,0.02066139854,0,95,0.02971417482
WT,0.0014583333,52,504,0.02177034505,0,95,0.02971417482
WT,0.0014583333,53,505,0.002835686695,0,95,0.02971417482
WT,0.0014583333,54,506,0.02971374983,0,95,0.02971417482
WT,0.0014583333,55,507,0.02053937915,0,95,0.02971417482
WT,0.0014583333,56,508,0.01368075658,0,95,0.02971417482
WT,0.0014583333,57,509,0.01573784298,0,95,0.02971417482
WT,0.0014583333,58,510,0.03189905811,0,95,0.02971417482
WT,0.0014583333,59,511,0.004391119643,0,95,0.02971417482
WT,0.0014583333,60,512,0.01196271078,0,95,0.02971417482
WT,0.0014583333,61,513,0.02336442915,0,95,0.02971417482
WT,0.0014583333,62,514,0.008026448989,0,95,0.02971417482
WT,0.0014583333,63,515,0.02726152843,0,95,0.02971417482
WT,0.0014583333,64,516,0.03142577893,0,95,0.02971417482
WT,0.0014583333,65,517,0.006018007316,0,95,0.02971417482
WT,0.0014583333,66,518,0.01152031591,0,95,0.02971417482
WT,0.0014583333,67,519,0.01370578589,0,95,0.02971417482
WT,0.0014583333,68,520,0.005055303766,0,95,0.02971417482
WT,0.0014583333,69,521,0.01143406889,0,95,0.02971417482
WT,0.0014583333,70,522,0.01863310375,0,95,0.02971417482
WT,0.0014583333,71,523,0.01197100858,0,95,0.02971417482
WT,0.0014583333,72,524,0.01349413657,0,95,0.02971417482
WT,0.0014583333,73,525,0.01113527336,0,95,0.02971417482
WT,0.0014583333,74,526,0.01908967651,0,95,0.02971417482
WT,0.0014583333,75,527,0.009745317145,0,95,0.02971417482
WT,0.0014583333,76,528,0.01844026973,0,95,0.02971417482
WT,0.0014583333,77,529,0.00508819742,0,95,0.02971417482
WT,0.0014583333,78,530,0.02852834487,0,95,0.02971417482
WT,0.0014583333,79,531,0.01234474696,0,95,0.02971417482
WT,0.0014583333,80,532,0.01430156978,0,95,0.02971417482
WT,0.0014583333,81,533,0.02312558301,0,95,0.02971417482
WT,0.0014583333,82,534,0.01109323177,0,95,0.02971417482
WT,0.0014583333,83,535,0.02108370264,0,95,0.02971417482
WT,0.0014583333,84,536,0.0238350884,0,95,0.02971417482
WT,0.0014583333,85,537,0.009517114433,0,95,0.02971417482
WT,0.0014583333,86,538,0.01461865801,0,95,0.02971417482
WT,0.0014583333,87,539,0.01498151572,0,95,0.02971417482
WT,0.0014583333,88,540,0.003889358556,0,95,0.02971417482
WT,0.0014583333,89,541,0.01105489259,0,95,0.02971417482
WT,0.0014583333,90,542,0.005275268874,0,95,0.02971417482
WT,0.0014583333,91,543,0.02028754449,0,95,0.02971417482
WT,0.0014583333,92,544,0.02140230561,0,95,0.02971417482
WT,0.0014583333,93,545,0.00711007886,0,95,0.02971417482
WT,0.0014583333,94,546,0.01554194546,0,95,0.02971417482
WT,0.0014583333,95,547,0.02480269966,0,95,0.02971417482
WT,0.0014583333,96,548,0.01404627641,0,95,0.02971417482
WT,0.0014583333,97,549,0.02636642397,0,95,0.02971417482
WT,0.0014583333,98,550,0.01241230874,0,95,0.02971417482
WT,0.0014583333,99,551,0.01040683066,0,95,0.02971417482
WT,0.0019166667,0,462,0.008550023377,0,95,0.02965638812
WT,0.0019166667,1,463,0.006827357389,0,95,0.02965638812
WT,0.0019166667,2,464,0.00465082406,0,95,0.02965638812
WT,0.0019166667,3,465,0.01838070351,0,95,0.02965638812
WT,0.0019166667,4,466,0.01572303918,0,95,0.02965638812
WT,0.0019166667,5,467,0.01336192155,0,95,0.02965638812
WT,0.0019166667,6,468,0.006363457915,0,95,0.02965638812
WT,0.0019166667,7,469,0.013083429,0,95,0.02965638812
WT,0.0019166667,8,470,0.01453176478,0,95,0.02965638812
WT,0.0019166667,9,471,0.02969886329,0,95,0.02965638812
WT,0.0019166667,10,472,0.01577663037,0,95,0.02965638812
WT,0.0019166667,11,473,0.008812962333,0,95,0.02965638812
WT,0.0019166667,12,474,0.02032985568,0,95,0.02965638812
WT,0.0019166667,13,475,0.02293141301,0,95,0.02965638812
WT,0.0019166667,14,476,0.01055123399,0,95,0.02965638812
WT,0.0019166667,15,477,0.01213987503,0,95,0.02965638812
WT,0.0019166667,16,478,0.01863523837,0,95,0.02965638812
WT,0.0019166667,17,479,0.02340041024,0,95,0.02965638812
WT,0.0019166667,18,480,0.01833315213,0,95,0.02965638812
WT,0.0019166667,19,481,0.02186952409,0,95,0.02965638812
WT,0.0019166667,20,482,0.01230667411,0,95,0.02965638812
WT,0.0019166667,21,483,0.005617435877,0,95,0.02965638812
WT,0.0019166667,22,484,0.01401995287,0,95,0.02965638812
