amplitude,metric,cond_a,cond_b,n_a,n_b,u_stat,p_value,q_value
40.0,spec_entropy,WT,WT_APP,500,500,385.0,5.8833654580532775e-164,1.506141557261639e-163
40.0,mean_cue_rate_hz,WT,WT_APP,500,500,62.0,8.495509986186101e-165,2.8616454690311077e-164
45.0,power_median,WT,WT_APP,500,500,88160.0,7.19890459773803e-16,8.227319540272034e-16
45.0,power_sample,WT,WT_APP,500,500,49104.0,5.029771326911031e-62,6.849050317495872e-62
45.0,power_var,WT,WT_APP,500,500,136461.0,0.012086276725158343,0.012680683777215311
45.0,power_dvar,WT,WT_APP,500,500,189708.0,1.4126300330518434e-45,1.7386215791407303e-45
45.0,power_autocorr,WT,WT_APP,500,500,194708.0,1.3179865210623007e-52,1.7214517826119845e-52
45.0,spec_concentration,WT,WT_APP,500,500,242605.0,2.9848383590851865e-146,5.162963648147349e-146
45.0,spec_entropy,WT,WT_APP,500,500,1997.0,8.542126169756822e-160,1.7635357253691503e-159
45.0,mean_cue_rate_hz,WT,WT_APP,500,500,1551.0,6.101956133169056e-161,1.3466385949062745e-160
