condition_key,trial_idx,displacement_deg,valid
WT,2,-3.5538306224212817,1
WT,1,0.013586051932942388,1
WT,0,-3.56260277929927,1
WT,3,0.8294142717748584,1
WT,5,-2.3126463398842136,1
WT,4,3.9071907935656642,1
WT,6,-0.004296437062272177,1
WT,7,0.07713908586470224,1
WT,8,22.024266468669314,1
WT,9,-6.945805130200106,1
WT_APP,0,-0.15918436369451452,1
WT_APP,1,14.430266089710244,1
WT_APP,2,0.013543238439048554,1
WT_APP,3,12.785902807620996,1
WT_APP,4,0.0029266430499319137,1
WT_APP,5,-0.002805237720048318,1
WT_APP,6,0.011423055926214667,1
WT_APP,7,0.037732002902789476,1
WT_APP,8,-43.0210714336867,1
WT_APP,9,-6.811067847433863,1
a7_KO,0,0.02472329704439044,1
a7_KO,1,-0.023234486070139535,1
a7_KO,2,-0.09263218328480141,1
a7_KO,3,-0.020043223866054477,1
a7_KO,4,-0.1288410994023481,1
a7_KO,5,0.03213141588541371,1
a7_KO,7,0.12119048792399893,1
a7_KO,6,-0.0005523549129515164,1
a7_KO,8,0.11389607377999257,1
a7_KO,9,-0.026296265233791388,1
a7_KO_APP,0,0.007618204485387408,1
a7_KO_APP,1,0.21586502579831598,1
a7_KO_APP,3,-0.04846420310091405,1
a7_KO_APP,2,0.24937577243577602,1
a7_KO_APP,4,-0.0768422831672529,1
a7_KO_APP,5,0.11160201096830001,1
a7_KO_APP,6,0.028258991930128208,1
a7_KO_APP,7,-0.017017761617898763,1
a7_KO_APP,8,-1.016775481245463,1
a7_KO_APP,9,-0.03931907430605419,1
b2_KO,0,-0.3170807193782257,1
b2_KO,1,5.108745600779693,1
b2_KO,2,0.16927499273365187,1
b2_KO,3,-9.464177342994706,1
b2_KO,4,-0.46737551128294164,1
b2_KO,6,-0.16018961886258418,1
b2_KO,5,40.61099576365134,1
b2_KO,7,-0.07092249346502073,1
b2_KO,8,-60.98357776013697,1
b2_KO,9,0.07362602696480113,1
b2_KO_APP,0,0.5210695861398893,1
b2_KO_APP,1,0.23464417860109923,1
b2_KO_APP,2,0.03910763831732861,1
b2_KO_APP,3,32.314267996303286,1
b2_KO_APP,4,-0.16402370838519356,1
b2_KO_APP,5,0.7735561668058114,1
b2_KO_APP,6,-0.22642884114568282,1
b2_KO_APP,7,-0.04842042267058696,1
b2_KO_APP,8,-0.2594670968202965,1
b2_KO_APP,9,-17.902785179581038,1
a5_KO,0,-3.5226692938001296,1
a5_KO,1,-0.006065511216622098,1
a5_KO,2,-3.4798497887109736,1
a5_KO,3,0.7207659203078254,1
a5_KO,4,3.8532331689330244,1
a5_KO,5,-2.2513167843565647,1
a5_KO,6,-0.0006410525802839555,1
a5_KO,7,-0.0022902920534631846,1
a5_KO,8,21.993908530915682,1
a5_KO,9,-6.799280529521172,1
a5_KO_APP,0,-0.4326673802495711,1
a5_KO_APP,1,14.308070096608207,1
a5_KO_APP,2,-0.5975944985522172,1
a5_KO_APP,3,12.541044355540915,1
a5_KO_APP,4,0.24088095522006275,1
a5_KO_APP,5,-0.031783611357417106,1
a5_KO_APP,6,-0.002416446165270369,1
a5_KO_APP,7,0.017542993639886515,1
a5_KO_APP,8,-42.84000810856316,1
a5_KO_APP,9,-6.7338410362875445,1
