condition,amplitude,distractor_factor,offset_deg,trial_idx,seed,cue_freq_median_hz,cue_power_median,dist_freq_median_hz,dist_power_median,plv_median_delay2
WT_APP,25.0,0.75,120.0,0,1168784116,6.163495359885413,9.291398030398575,5.063421449569335,2.67983570478984,0.4436290421336785
WT_APP,25.0,0.75,120.0,1,921289450,6.298526391213696,13.180956162291267,4.633093542189122,1.3495672677822887,0.6066774242528569
WT_APP,25.0,0.75,120.0,2,1293255992,6.05434729195554,14.104118101557152,4.599453046898576,2.322670957681203,0.37317214120620734
WT_APP,25.0,0.75,120.0,3,1702858716,6.414157014480668,13.518971899116885,4.435671086324681,1.4799936707979926,0.32611178648906225
WT_APP,25.0,0.75,120.0,4,1895310323,5.797239278412999,16.095487391206827,5.055851437382842,1.6600759865110524,0.3947499286612894
WT_APP,25.0,0.75,120.0,5,211694680,5.991272839876842,14.363037356618031,4.9020585650651896,1.3501675629284258,0.424875404378968
WT_APP,25.0,0.75,120.0,6,280584697,5.879699040439456,10.323057274310795,5.412442606638081,2.0155733145936074,0.3745470770851546
WT_APP,25.0,0.75,120.0,7,617447500,6.213859506134637,11.108266263654876,5.1981418354435345,1.2530533458788395,0.3592906727746323
WT_APP,25.0,0.75,120.0,8,1249765968,6.356871270693658,13.454438597952404,5.022377468025846,1.3866359221997142,0.42683072334900096
WT_APP,25.0,0.75,120.0,9,1504658074,6.180646503039709,9.13421930582803,4.92908358672202,1.1808377064232412,0.40112806545070184
WT_APP,25.0,0.75,120.0,10,1008898872,6.020995210412055,11.114359218293714,4.729957250896379,1.9837598538205667,0.5371893744021499
WT_APP,25.0,0.75,120.0,11,794319243,6.12446558952422,10.737466816947855,5.076946945666865,0.8987902054245482,0.49556491181499285
WT_APP,25.0,0.75,120.0,12,204008863,5.363517846195518,9.006623430999475,4.959586067172385,1.1950612908514118,0.5421259506888014
WT_APP,25.0,0.75,120.0,13,1880439445,5.850666501695055,11.315337687113688,5.015220427402556,1.4596259460006311,0.41136790259323963
WT_APP,25.0,0.75,120.0,14,1306372712,6.057077737038039,12.093074726684511,4.8430616177546195,1.5560251162207526,0.3122898283513995
