cond_key,w_pv,w_pyr,amp,trial_idx,seed,resting_hz,cue_peak_hz,cue_saturated,delay_rest_frac,delay_bump_frac,delay_sat_frac,delay_mean_peak_hz,bump_lo_hz
WT,0.03,0.001,0.3,6,280584697,0.00014382276037832695,3.0818656604919785,False,1.0,0.0,0.0,0.017679975550158957,10.0
WT,0.03,0.001,0.3,17,784548992,0.00014382276037832695,2.3964873424412763,False,1.0,0.0,0.0,0.02022095850296945,10.0
WT,0.03,0.001,0.35,6,280584697,0.00014382276037832695,5.434512071836563,False,1.0,0.0,0.0,0.021845811154457134,10.0
WT,0.03,0.001,0.3,11,794319243,0.00014382276037832695,2.49062695716627,False,1.0,0.0,0.0,0.01967719092285864,10.0
WT,0.03,0.001,0.3,5,211694680,0.00014382276037832695,1.7315452150465775,False,1.0,0.0,0.0,0.01709411825607874,10.0
WT,0.03,0.001,0.35,11,794319243,0.00014382276037832695,5.350910573873117,False,1.0,0.0,0.0,0.023809413466385314,10.0
WT,0.03,0.001,0.35,5,211694680,0.00014382276037832695,5.157339706999866,False,1.0,0.0,0.0,0.022559186022506617,10.0
WT,0.03,0.001,0.35,2,1293255992,0.00014382276037832695,200.0,True,0.757,0.185,0.058,18.736582801327806,10.0
WT,0.03,0.001,0.4,1,921289450,0.00014382276037832695,200.0,True,0.669,0.227,0.104,27.859115086673338,10.0
WT,0.03,0.001,0.4,4,1895310323,0.00014382276037832695,200.0,True,0.684,0.219,0.097,26.195582179181088,10.0
WT,0.03,0.001,0.4,5,211694680,0.00014382276037832695,200.0,True,0.692,0.228,0.08,24.559325555769842,10.0
WT,0.03,0.001,0.4,6,280584697,0.00014382276037832695,200.0,True,0.698,0.204,0.098,25.904668064621585,10.0
WT,0.03,0.001,0.3,16,1976297044,0.00014382276037832695,4.437880074840028,False,1.0,0.0,0.0,0.022100287821883193,10.0
WT,0.03,0.001,0.3,10,1008898872,0.00014382276037832695,1.9407732003405944,False,1.0,0.0,0.0,0.019405931376899353,10.0
WT,0.03,0.001,0.3,1,921289450,0.00014382276037832695,4.061910686662833,False,1.0,0.0,0.0,0.02310838746504441,10.0
WT,0.03,0.001,0.35,1,921289450,0.00014382276037832695,200.0,True,0.768,0.186,0.046,17.15883458363633,10.0
WT,0.03,0.001,0.3,15,2122084012,0.00014382276037832695,4.424095751800041,False,1.0,0.0,0.0,0.023457597536022133,10.0
WT,0.03,0.001,0.3,9,1504658074,0.00014382276037832695,1.919689368091643,False,1.0,0.0,0.0,0.01814968547161758,10.0
WT,0.03,0.001,0.35,18,2121403537,0.00014382276037832695,200.0,True,0.747,0.201,0.052,18.878640760517445,10.0
WT,0.03,0.001,0.4,0,1168784116,0.00014382276037832695,200.0,True,0.692,0.215,0.093,25.619752551186057,10.0
WT,0.03,0.001,0.35,4,1895310323,0.00014382276037832695,200.0,True,0.734,0.204,0.062,20.60690448847953,10.0
WT,0.03,0.001,0.35,0,1168784116,0.00014382276037832695,5.269796857203335,False,1.0,0.0,0.0,0.03156218514099796,10.0
WT,0.03,0.001,0.3,14,1306372712,0.00014382276037832695,4.816313171568434,False,1.0,0.0,0.0,0.018891599837983594,10.0
WT,0.03,0.001,0.3,8,1249765968,0.00014382276037832695,2.3677106435473982,False,1.0,0.0,0.0,0.02483976497237548,10.0
WT,0.03,0.001,0.3,0,1168784116,0.00014382276037832695,2.376258899841299,False,1.0,0.0,0.0,0.022141722117667652,10.0
WT,0.03,0.001,0.35,17,784548992,0.00014382276037832695,200.0,True,0.731,0.231,0.038,19.4944162061587,10.0
WT,0.03,0.001,0.3,19,347016859,0.00014382276037832695,3.9838009113702024,False,1.0,0.0,0.0,0.019084155035854103,10.0
WT,0.03,0.001,0.3,13,1880439445,0.00014382276037832695,1.6800558916271457,False,1.0,0.0,0.0,0.02336521474318146,10.0
WT,0.03,0.001,0.3,3,1702858716,0.00014382276037832695,5.858917293179521,False,1.0,0.0,0.0,0.01677561414090136,10.0
WT,0.03,0.001,0.3,7,617447500,0.00014382276037832695,5.631320186951676,False,1.0,0.0,0.0,0.03697073484633955,10.0
WT,0.03,0.001,0.35,15,2122084012,0.00014382276037832695,200.0,True,0.751,0.204,0.045,18.30132484469856,10.0
WT,0.03,0.001,0.35,9,1504658074,0.00014382276037832695,6.221327842412017,False,1.0,0.0,0.0,0.025748156191818482,10.0
WT,0.03,0.001,0.4,2,1293255992,0.00014382276037832695,200.0,True,0.689,0.215,0.096,26.64139858010305,10.0
WT,0.03,0.001,0.35,12,204008863,0.00014382276037832695,200.0,True,0.7,0.224,0.076,23.662015290050444,10.0
WT,0.03,0.001,0.35,14,1306372712,0.00014382276037832695,200.0,True,0.719,0.197,0.084,22.85527050119199,10.0
WT,0.03,0.001,0.4,3,1702858716,0.00014382276037832695,200.0,True,0.708,0.202,0.09,24.43852239851285,10.0
WT,0.03,0.001,0.35,8,1249765968,0.00014382276037832695,4.375623927366884,False,1.0,0.0,0.0,0.03188314746381717,10.0
WT,0.03,0.001,0.35,3,1702858716,0.00014382276037832695,200.0,True,0.698,0.214,0.088,24.3081987576706,10.0
WT,0.03,0.001,0.3,4,1895310323,0.00014382276037832695,3.2092590249926336,False,1.0,0.0,0.0,0.01906729253403121,10.0
WT,0.03,0.001,0.35,16,1976297044,0.00014382276037832695,200.0,True,0.737,0.2,0.063,20.444656176767822,10.0
WT,0.03,0.001,0.3,18,2121403537,0.00014382276037832695,2.569616643327647,False,1.0,0.0,0.0,0.021104890849035777,10.0
WT,0.03,0.001,0.35,19,347016859,0.00014382276037832695,200.0,True,0.747,0.187,0.066,20.091922605374574,10.0
WT,0.03,0.001,0.3,12,204008863,0.00014382276037832695,3.6846568379207865,False,1.0,0.0,0.0,0.01721905902941652,10.0
WT,0.03,0.001,0.35,10,1008898872,0.00014382276037832695,200.0,True,0.729,0.205,0.066,20.9470900221209,10.0
WT,0.03,0.001,0.3,2,1293255992,0.00014382276037832695,1.7912104610405506,False,1.0,0.0,0.0,0.02000027292509663,10.0
WT,0.03,0.001,0.35,13,1880439445,0.00014382276037832695,5.715305189113851,False,1.0,0.0,0.0,0.03398943360685796,10.0
WT,0.03,0.001,0.35,7,617447500,0.00014382276037832695,11.770412230641375,False,1.0,0.0,0.0,0.05986338175258457,10.0
WT,0.03,0.001,0.4,7,617447500,0.00014382276037832695,200.0,True,0.703,0.198,0.099,25.48584742489364,10.0
WT,0.03,0.001,0.4,11,794319243,0.00014382276037832695,200.0,True,0.714,0.209,0.077,22.916176373266616,10.0
WT,0.03,0.001,0.4,9,1504658074,0.00014382276037832695,200.0,True,0.68,0.236,0.084,25.99743676946413,10.0
WT,0.03,0.001,0.4,12,204008863,0.00014382276037832695,200.0,True,0.683,0.219,0.098,26.511271237939443,10.0
WT,0.03,0.001,0.4,15,2122084012,0.00014382276037832695,200.0,True,0.709,0.202,0.089,24.464349649941244,10.0
WT,0.03,0.001,0.4,13,1880439445,0.00014382276037832695,200.0,True,0.692,0.233,0.075,24.333632132570624,10.0
WT,0.03,0.001,0.4,14,1306372712,0.00014382276037832695,200.0,True,0.702,0.207,0.091,24.763740487410807,10.0
WT,0.03,0.001,0.4,10,1008898872,0.00014382276037832695,200.0,True,0.67,0.233,0.097,27.30798443536312,10.0
WT,0.03,0.001,0.4,16,1976297044,0.00014382276037832695,200.0,True,0.69,0.217,0.093,25.51472524824777,10.0
WT,0.03,0.001,0.4,8,1249765968,0.00014382276037832695,200.0,True,0.681,0.209,0.11,27.3312201147065,10.0
WT,0.03,0.001,0.4,17,784548992,0.00014382276037832695,200.0,True,0.68,0.247,0.073,24.748678705246125,10.0
WT,0.03,0.001,0.45,0,1168784116,0.00014382276037832695,200.0,True,0.686,0.227,0.087,25.594849150991607,10.0
WT,0.03,0.001,0.4,18,2121403537,0.00014382276037832695,200.0,True,0.699,0.228,0.073,23.80831721402708,10.0
WT,0.03,0.001,0.45,3,1702858716,0.00014382276037832695,200.0,True,0.712,0.214,0.074,22.913357605066786,10.0
WT,0.03,0.001,0.4,19,347016859,0.00014382276037832695,200.0,True,0.702,0.211,0.087,24.98127995850364,10.0
WT,0.03,0.001,0.45,2,1293255992,0.00014382276037832695,200.0,True,0.702,0.21,0.088,24.812246924729653,10.0
WT,0.03,0.001,0.45,4,1895310323,0.00014382276037832695,200.0,True,0.685,0.214,0.101,26.643272138781906,10.0
WT,0.03,0.001,0.45,1,921289450,0.00014382276037832695,200.0,True,0.674,0.237,0.089,26.397347284157558,10.0
WT,0.03,0.001,0.45,5,211694680,0.00014382276037832695,200.0,True,0.678,0.225,0.097,26.80627298667766,10.0
WT,0.03,0.001,0.45,6,280584697,0.00014382276037832695,200.0,True,0.703,0.213,0.084,24.497309828718645,10.0
WT,0.03,0.001,0.45,7,617447500,0.00014382276037832695,200.0,True,0.714,0.199,0.087,23.93662695561414,10.0
