Rank    L_total   L_bistab     L_rate  L_rate_hi   L_margin    r_low   r_high   SOM_hi    PV_hi   VIP_hi      regime
--------------------------------------------------------------------------------------------------------------------
   1     4.5995     0.0000     0.5311     1.0091     0.0000     0.60    55.87     0.00    34.29    72.62    BISTABLE
   2     4.5998     0.0000     0.5300     1.0091     0.0000     0.60    55.87     0.00    34.28    72.63    BISTABLE
   3     4.6109     0.0000     0.5682     1.0094     0.0000     0.56    55.87     0.00    34.12    72.62    BISTABLE
   4     4.6129     0.0000     0.5643     1.0095     0.0000     0.57    55.87     0.00    34.05    72.63    BISTABLE
   5     4.6150     0.0000     0.5292     1.0128     0.0000     0.60    55.93     0.00    32.90    72.67    BISTABLE
   6     4.6239     0.0000     0.5857     1.0094     0.0000     0.54    55.88     0.00    34.12    72.63    BISTABLE
   7     4.6271     0.0000     0.5283     1.0157     0.0000     0.60    55.97     0.00    32.23    72.70    BISTABLE
   8     4.6331     0.0000     0.5957     1.0094     0.0000     0.53    55.88     0.00    34.12    72.63    BISTABLE
   9     4.6430     0.0000     0.6024     1.0101     0.0000     0.52    55.90     0.00    33.75    72.65    BISTABLE
  10     4.6568     0.0000     0.5573     1.0247     0.0000     0.56    52.74     0.00    35.05    75.44    BISTABLE
