condition_key,trial_idx,displacement_deg,valid
WT,6,-0.20108704611754488,1
WT,1,-0.15478124326461257,1
WT,4,0.528859367633354,1
WT,8,-0.21573707573259468,1
WT,9,0.25574591645681044,1
WT,5,-0.5311778928180746,1
WT,3,0.1464193213758185,1
WT,0,0.4631771372894971,1
WT,2,-0.36397938207986713,1
WT,7,-0.032751018128638176,1
WT,11,0.4075664186949804,1
WT,12,-0.00205196318695929,1
WT,10,0.04860603265112281,1
WT,15,0.6127328650549224,1
WT,13,-0.15694415475878631,1
WT,18,0.16873365439039054,1
WT,16,0.4212667385876628,1
WT,19,0.05676394711806198,1
WT,14,-0.23248614822417238,1
WT,17,-0.580999365850066,1
WT,20,0.3210427466118571,1
WT,23,-0.13472499135873664,1
WT,27,0.09000640724055499,1
WT,26,0.23047445993179638,1
WT,25,0.15311882935981444,1
WT,21,0.15360148374962498,1
WT,22,-0.06060488728991708,1
WT,24,-0.2949237642262567,1
WT,28,0.27374222775689583,1
WT,29,0.14839946960255904,1
WT,31,-0.6877993097551182,1
WT,30,-1.7931722723017272,1
WT,32,0.7691132915122197,1
WT,37,0.5246982607199342,1
WT,36,-0.6328274270629436,1
WT,38,-1.728087889766622,1
WT,34,-0.040894928265260394,1
WT,33,0.346452084786051,1
WT,35,-0.0981412195003803,1
WT,39,0.640207270131369,1
WT,45,1.0760795816916977,1
WT,40,-0.2713165649775724,1
WT,41,-0.16279053537585292,1
WT,42,-0.12828693137916344,1
WT,48,-0.7709922860527338,1
WT,44,-0.5982095731495973,1
WT,47,-0.515771768164451,1
WT,46,1.0500599692105452,1
WT,43,-0.3613745229287768,1
WT,49,0.058510158940874676,1
WT_APP,0,0.44551199756149357,1
WT_APP,1,-0.6239312143440009,1
WT_APP,3,-1.1361613407011866,1
WT_APP,2,-0.11817067309298417,1
WT_APP,5,-0.01475758203616851,1
WT_APP,4,1.652402058844822,1
WT_APP,8,-0.49504105446048924,1
WT_APP,9,-0.3850260998421431,1
WT_APP,7,-0.4439467667176185,1
WT_APP,6,0.27203697926807296,1
WT_APP,11,-0.5377161991476771,1
WT_APP,10,-0.1880254280158596,1
WT_APP,13,-0.6227837685718267,1
WT_APP,12,1.5288386055062573,1
WT_APP,14,-0.5482296400743768,1
WT_APP,16,-0.27773453119479796,1
WT_APP,15,1.4361383294280716,1
WT_APP,18,-0.5695140190422628,1
WT_APP,17,0.7486256921084816,1
WT_APP,19,0.1377320977030831,1
WT_APP,21,0.6096536158959308,1
WT_APP,20,0.9209955785162403,1
WT_APP,22,-0.13234617401268195,1
WT_APP,23,0.16750998951741705,1
WT_APP,24,1.1113883043219344,1
WT_APP,25,0.6159156765788557,1
WT_APP,26,0.007123047327694256,1
WT_APP,27,0.5368685521995828,1
WT_APP,28,1.8682223111903078,1
WT_APP,29,0.13074363627281743,1
WT_APP,30,1.8710039023720457,1
WT_APP,32,0.37986457701890036,1
WT_APP,31,-0.7118688328021513,1
WT_APP,34,0.5808648062478605,1
WT_APP,33,-0.8018909969195158,1
WT_APP,35,0.06063802041262176,1
WT_APP,36,-1.0685892446335112,1
WT_APP,37,-0.13911887537565806,1
WT_APP,38,0.8443072020564723,1
WT_APP,39,1.3084808402430474,1
WT_APP,40,-1.319171729804122,1
WT_APP,42,-1.149136115842695,1
WT_APP,41,-0.3242784790787842,1
WT_APP,43,0.6775801477927498,1
WT_APP,45,0.6726929115424857,1
WT_APP,44,-0.40866478336093354,1
WT_APP,47,-0.029870373548125342,1
WT_APP,46,-0.5021585928064661,1
WT_APP,48,-0.2577338760504568,1
WT_APP,49,-0.7701343559850824,1
a7_KO_APP,0,1.650576236492191,1
a7_KO_APP,1,-63.48841533637387,1
a7_KO_APP,2,-2.126880313186216,1
a7_KO_APP,3,-0.15829750832484857,1
a7_KO_APP,6,-0.09087231111446191,1
a7_KO_APP,7,-2.721973710801733,1
a7_KO_APP,5,-67.86844443401213,1
a7_KO_APP,8,-0.14125213378161605,1
a7_KO_APP,4,0.8588773204089357,1
a7_KO_APP,9,-0.5074281439607868,1
a7_KO_APP,10,-0.1740736918021312,1
a7_KO_APP,11,2.434218696160153,1
a7_KO_APP,12,0.755211385425289,1
a7_KO_APP,14,-3.0875848212178703,1
a7_KO_APP,13,0.0450477964956017,1
a7_KO_APP,15,-0.8425831627239034,1
a7_KO_APP,18,-0.4336867526648751,1
a7_KO_APP,16,0.0638255213326374,1
a7_KO_APP,17,-6.81550769817837,1
a7_KO_APP,19,2.1120863607701392,1
a7_KO_APP,22,-0.024777253885036706,1
a7_KO_APP,20,2.5962370301232593,1
a7_KO_APP,21,-2.63430458969785,1
a7_KO_APP,23,0.9471737282912318,1
a7_KO_APP,24,-0.7457493638697699,1
a7_KO_APP,25,-2.6002642791334853,1
a7_KO_APP,28,-0.809076348486721,1
a7_KO_APP,26,0.47463735322416983,1
a7_KO_APP,27,-0.055781507331733454,1
a7_KO_APP,29,-0.14895386319505816,1
a7_KO_APP,32,-0.29392684297923505,1
a7_KO_APP,30,-0.23115263084293156,1
a7_KO_APP,31,-0.0906849301633453,1
a7_KO_APP,34,0.20803606251434387,1
a7_KO_APP,35,1.2292506004241064,1
a7_KO_APP,33,-3.1509205294687512,1
a7_KO_APP,36,2.339333860670555,1
a7_KO_APP,38,-0.045989854494374656,1
a7_KO_APP,39,-0.3585791448690064,1
a7_KO_APP,37,-0.850215184553246,1
a7_KO_APP,40,-1.3679087891760606,1
a7_KO_APP,41,-1.7629800220637568,1
a7_KO_APP,42,-0.28685465408792526,1
a7_KO_APP,43,0.2315500989593281,1
a7_KO_APP,44,-2.3604223529258945,1
a7_KO_APP,45,0.2995983973156744,1
a7_KO_APP,46,1.1620619332871174,1
a7_KO_APP,49,-2.1849216823848616,1
a7_KO_APP,47,-2.326840367373537,1
a7_KO_APP,48,-5.2105723852913295,1
