condition_key,mean_deg,std_deg,abs_mean_deg,n_valid,n_total,delay_ms,amplitude_factor,seed,n_trials
WT,-0.00035417260779998274,0.012483398056123536,0.00757988808648746,300,300,5000.0,30.0,1133266401,300
WT_APP,0.00041042053623502903,0.0157874116553029,0.009877278638673026,300,300,5000.0,30.0,1133266401,300
