condition_key,mean_deg,std_deg,abs_mean_deg,n_valid,n_total,delay_ms,amplitude_factor,seed,n_trials
WT,-0.0006239918180287155,0.00808195398052843,0.005187240300500105,300,300,5000.0,45.0,1054132992,300
WT_APP,0.0011145876238136503,0.03484423495021215,0.022272595901658802,300,300,5000.0,45.0,1054132992,300
