condition_key,amplitude,trial_idx,seed,eval_time_ms,center_mean_deg,center_std_deg,amplitude_mean,width_mean_deg,drift_rate_deg_per_s,diffusion_deg2_per_s,error_from_cue_deg
WT,8.0,2,1405681631,10950.0,191.6557428177354,69.4289237946058,0.03540640459314246,54.51132612230164,-219.20864037499996,81859.39783764075,11.655742817735387
WT,8.0,2,1405681631,11150.0,186.19801421264862,43.261344180985795,0.032402048302312636,54.395174770290964,130.15842707628892,11371.615096526179,6.198014212648616
WT,8.0,2,1405681631,11350.0,220.52974773061604,34.525817120553505,0.030620492104380857,54.57112276586931,-1947.0010805984634,555652.4428280157,40.52974773061604
WT,8.0,2,1405681631,11550.0,204.81346833048264,70.9440042989646,0.02626824680734322,54.83926054357479,-2913.1125526391434,605195.1312069271,24.813468330482635
WT,8.0,2,1405681631,11750.0,355.3836164148701,87.79106322809696,0.03465327738114053,54.43682498350828,-1430.0009175199673,241608.23976161316,175.38361641487012
WT,8.0,2,1405681631,11950.0,163.42718810012505,91.45609430315172,0.038139186686326286,54.218648850826355,-938.5674595641575,206406.73061895368,16.57281189987495
WT,8.0,2,1405681631,12150.0,228.78843313122314,68.8132996574857,0.02341034065672826,54.11648179512675,633.7772922869808,85362.21859136407,48.788433131223144
WT,8.0,2,1405681631,12350.0,283.1213090210438,104.58865395852999,0.028090822243935554,54.76258996200297,1110.1659535152014,201934.3983580317,103.12130902104383
WT,8.0,2,1405681631,12550.0,249.18879136636275,62.33043069470824,0.027703736470537216,54.38074476921069,-881.4100702456685,249223.44668627527,69.18879136636275
WT,8.0,2,1405681631,12750.0,228.93138861356857,111.33397260020062,0.027268737254173635,54.59129842020478,-723.5483376256894,140942.20195964872,48.93138861356857
WT,8.0,2,1405681631,12950.0,216.91841586948843,53.57906536942328,0.03106179749259053,54.85202905178649,-186.52699992898292,31090.917790513253,36.91841586948843
WT,8.0,2,1405681631,13150.0,231.7094984450824,101.35185221929082,0.033840440972829976,54.48185345756608,-1968.207369849511,176113.30308789972,51.7094984450824
WT,8.0,2,1405681631,13350.0,220.08831010277433,28.27716361677189,0.037667922597160654,54.265677170473566,13.306081149473385,11081.92062980705,40.08831010277433
WT,8.0,2,1405681631,13550.0,71.95642002311587,48.5063999038427,0.03028283050417048,54.82961453928557,-436.28181216735163,36072.868391227734,108.04357997688413
WT,8.0,2,1405681631,13750.0,339.20996777823996,70.15981355082008,0.043290135196186456,54.3670062724968,-2103.5757945383707,221251.5561683869,159.20996777823996
WT,8.0,2,1405681631,full_delay,215.0842670350851,87.61131776676629,0.031581698062127024,54.36043492163943,-745.3962333624261,152377.13621424988,35.084267035085105
WT,8.0,0,191664963,10950.0,190.33067892007819,57.49558927217764,0.04174181350467759,54.30186487145854,-273.78800396435463,52943.90526524727,10.330678920078185
WT,8.0,0,191664963,11150.0,197.84610283037807,61.5812691113268,0.02266421921390901,54.83629569889323,-1758.8464275544598,406558.52251145657,17.846102830378072
WT,8.0,0,191664963,11350.0,217.27141896132673,64.16510541011763,0.02405299308618545,54.500591642074234,2112.4147561203713,803248.7647279259,37.27141896132673
WT,8.0,0,191664963,11550.0,216.84412385040508,59.46967640202841,0.02661687125949464,54.34696686805105,-2350.35784166528,355538.07869472686,36.84412385040508
WT,8.0,0,191664963,11750.0,142.7873741369275,54.942225374838046,0.025763924022984126,54.123826016607765,3444.6579403898418,938460.5764843425,37.2126258630725
WT,8.0,0,191664963,11950.0,188.2633759014491,43.14276050835889,0.037083340397819915,54.203210146567564,36.701638039675686,23141.999103758244,8.263375901449109
WT,8.0,0,191664963,12150.0,59.19060501033787,86.82395069883165,0.02203464569831526,54.23187811587254,2512.26313083252,179174.95367742458,120.80939498966214
WT,8.0,0,191664963,12350.0,309.2265280194875,124.5312038672195,0.0219353516994648,54.2861206479266,753.1133740757303,191316.12903507668,129.2265280194875
WT,8.0,0,191664963,12550.0,173.16471173471845,109.58745746350289,0.032437759012280465,54.672080921789174,1614.2521699679828,149886.06158069716,6.835288265281548
WT,8.0,0,191664963,12750.0,45.840959068571614,75.05769071314744,0.020991304987429224,54.475753000773594,-899.3528697083419,110792.7904459606,134.1590409314284
WT,8.0,0,191664963,12950.0,248.08405177949157,71.22771285935242,0.03423379932152257,54.427646230226,-184.8889778248163,160449.54464016663,68.08405177949157
WT,8.0,0,191664963,13150.0,263.37636605099857,66.75762478508953,0.02937478530477581,54.04132184696763,1683.3762801434602,143380.89940722878,83.37636605099857
WT,8.0,0,191664963,13350.0,152.2126868118118,98.73736146827322,0.0306642812439803,54.37613853092646,-2095.3643991503327,363169.10434131866,27.787313188188193
WT,8.0,0,191664963,13550.0,230.47506714659013,57.47497876811489,0.029303770393711404,54.20497247894842,156.07335103187827,60556.03554326812,50.475067146590135
WT,8.0,0,191664963,13750.0,232.50357940695102,121.18995193024963,0.04377875185846367,53.37946267048867,-2757.288709907914,380132.05148928234,52.50357940695102
WT,8.0,0,191664963,full_delay,201.87713662027318,91.63860145125018,0.029031007937938474,54.16972796164955,232.52481143309782,270970.9105969655,21.877136620273177
WT,8.0,3,942484272,10950.0,196.21233439182888,39.43492923397037,0.03914076751812613,54.76969792022023,274.56175516354403,11547.360361741059,16.212334391828875
WT,8.0,3,942484272,11150.0,227.83569136593084,68.27182967180353,0.021793098941237803,54.477954229977776,-1658.5311671100492,161826.64529398893,47.83569136593084
