condition_key,amplitude,w_inter,success_rate,mean_A_hat,peak_pyr_rate,mean_error_deg,noise_threshold,n_trials,ss_pyr_hz,ss_som_hz,ss_pv_hz,ss_vip_hz
WT,0.1,0.001,0.1,0.09576561250186495,0.23582389982679583,89.11991638124488,0.1579364036,100,0.02242515465281736,3.8894904258600165,4.076925148698108,5.4283832651002815
WT,0.1,0.0014583333333333334,1.0,0.0957674398824066,0.23584449307503708,89.12163473758534,0.0,100,0.022429210400223307,3.8894905805377866,4.076925135868219,5.428383601646345
WT,0.1,0.0019166666666666668,1.0,0.09576926975651479,0.23586510005228079,89.12335681346408,0.0,100,0.02243326849563501,3.889490735305634,4.076925123030881,5.428383938388421
WT,0.1,0.002375,0.1,0.09577110212769281,0.23588572077743555,89.12508262112519,0.16272169524499996,100,0.022437328941489837,3.88949089016365,4.076925110186084,5.428384275326714
WT,0.1,0.0028333333333333335,1.0,0.09577293699945268,0.23590635526945147,89.12681217284407,0.0,100,0.022441391740228953,3.88949104511193,4.076925097333821,5.428384612461427
WT,0.1,0.0032916666666666667,1.0,0.09577477437531462,0.23592700354732,89.12854548092801,0.0,100,0.02244545689429716,3.8894912001505655,4.076925084474086,5.4283849497927665
WT,0.1,0.00375,0.1,0.0957766142588074,0.2359476656300744,89.1302825577154,0.16126652756,100,0.022449524406143118,3.8894913552796515,4.076925071606867,5.42838528732093
WT,0.1,0.004208333333333333,1.0,0.09577845665346821,0.23596834153678978,89.13202341557577,0.0,100,0.022453594278219156,3.8894915104992833,4.0769250587321615,5.428385625046131
WT,0.1,0.004666666666666666,1.0,0.09578030156284291,0.23598903128658313,89.13376806690964,0.0,100,0.022457666512981478,3.889491665809553,4.076925045849959,5.428385962968567
WT,0.1,0.005125,0.1,0.09578214899048582,0.23600973489861338,89.13551652414827,0.16275808905,100,0.02246174111288992,3.8894918212105556,4.076925032960252,5.428386301088445
WT,0.1,0.005583333333333333,1.0,0.09578399893995987,0.23603045239208206,89.1372687997534,0.0,100,0.022465818080408217,3.8894919767023852,4.076925020063033,5.428386639405973
WT,0.1,0.0060416666666666665,1.0,0.09578585141483656,0.23605118378623247,89.13902490621687,0.0,100,0.022469897418003898,3.8894921322851372,4.076925007158293,5.428386977921355
WT,0.1,0.0065,0.1,0.0957877064186961,0.23607192910035077,89.1407848560609,0.16277633284999998,100,0.022473979128148247,3.889492287958906,4.076924994246026,5.4283873166347965
WT,0.1,0.006958333333333333,1.0,0.09578956395512744,0.2360926883537655,89.14254866183732,0.0,100,0.02247806321331633,3.8894924437237863,4.076924981326224,5.428387655546506
WT,0.1,0.007416666666666667,1.0,0.09579142402772803,0.2361134615658481,89.14431633612769,0.0,100,0.022482149675987093,3.889492599579872,4.0769249683988775,5.4283879946566875
WT,0.1,0.007875,0.1,0.09579328664010424,0.23613424875601274,89.14608789154273,0.161264654475,100,0.022486238518643255,3.88949275552726,4.07692495546398,5.428388333965549
WT,0.1,0.008333333333333333,1.0,0.09579515179587116,0.23615504994371656,89.14786334072254,0.0,100,0.022490329743771367,3.8894929115660446,4.076924942521524,5.4283886734732985
WT,0.1,0.008791666666666666,1.0,0.0957970194986526,0.23617586514845987,89.14964269633575,0.0,100,0.02249442335386188,3.889493067696322,4.076924929571501,5.428389013180143
WT,0.1,0.009250000000000001,1.0,0.09579888975208134,0.2361966943897861,89.15142597107985,0.0,100,0.022498519351409056,3.8894932239181865,4.076924916613903,5.42838935308629
WT,0.1,0.009708333333333333,1.0,0.09580076255979886,0.23621753768728238,89.15321317768051,0.0,100,0.022502617738910997,3.8894933802317344,4.076924903648722,5.428389693191949
WT,0.1,0.010166666666666668,1.0,0.09580263792545564,0.236238395060579,89.15500432889152,0.0,100,0.022506718518869654,3.8894935366370627,4.076924890675949,5.4283900334973305
WT,0.1,0.010624999999999999,1.0,0.09580451585271103,0.23625926652935017,89.15679943749444,0.0,100,0.02251082169379086,3.8894936931342654,4.076924877695579,5.428390374002639
WT,0.1,0.011083333333333334,1.0,0.09580639634523337,0.23628015211331374,89.15859851629817,0.0,100,0.022514927266184342,3.8894938497234404,4.076924864707603,5.428390714708086
WT,0.1,0.011541666666666665,1.0,0.09580827940669988,0.23630105183223152,89.16040157813897,0.0,100,0.02251903523856369,3.889494006404684,4.076924851712012,5.428391055613879
WT,0.1,0.012,0.06,0.09581016504079694,0.2363219657059095,89.16220863587989,0.17968126953999997,100,0.0225231456134464,3.889494163178091,4.076924838708798,5.428391396720231
