condition,w_inter,trial_idx,seed,A_hat,cap_hit,noise_percentile,noise_threshold
WT,0.001,0,452,0.09278557497,0,95,0.1579364036
WT,0.001,1,453,0.08523170259,0,95,0.1579364036
WT,0.001,2,454,0.1361735562,0,95,0.1579364036
WT,0.001,3,455,0.05615250227,0,95,0.1579364036
WT,0.001,4,456,0.1344923891,0,95,0.1579364036
WT,0.001,5,457,0.05147647569,0,95,0.1579364036
WT,0.001,6,458,0.08440788984,0,95,0.1579364036
WT,0.001,7,459,0.05776202264,0,95,0.1579364036
WT,0.001,8,460,0.1547269312,0,95,0.1579364036
WT,0.001,9,461,0.08495516662,0,95,0.1579364036
WT,0.001,10,462,0.09071991443,0,95,0.1579364036
WT,0.001,11,463,0.05497306671,0,95,0.1579364036
WT,0.001,12,464,0.0381772159,0,95,0.1579364036
WT,0.001,13,465,0.08440148233,0,95,0.1579364036
WT,0.001,14,466,0.05641302243,0,95,0.1579364036
WT,0.001,15,467,0.1318628484,0,95,0.1579364036
WT,0.001,16,468,0.0628629142,0,95,0.1579364036
WT,0.001,17,469,0.06354478003,0,95,0.1579364036
WT,0.001,18,470,0.2239914859,0,95,0.1579364036
WT,0.001,19,471,0.07444120148,0,95,0.1579364036
WT,0.001,20,472,0.09779534087,0,95,0.1579364036
WT,0.001,21,473,0.02042645657,0,95,0.1579364036
WT,0.001,22,474,0.1081436803,0,95,0.1579364036
WT,0.001,23,475,0.05292084247,0,95,0.1579364036
WT,0.001,24,476,0.1392211764,0,95,0.1579364036
WT,0.001,25,477,0.01682026302,0,95,0.1579364036
WT,0.001,26,478,0.1153972618,0,95,0.1579364036
WT,0.001,27,479,0.1179499649,0,95,0.1579364036
WT,0.001,28,480,0.1434782328,0,95,0.1579364036
WT,0.001,29,481,0.06997796855,0,95,0.1579364036
WT,0.001,30,482,0.1525955754,0,95,0.1579364036
WT,0.001,31,483,0.09346244637,0,95,0.1579364036
WT,0.001,32,484,0.09295927834,0,95,0.1579364036
WT,0.001,33,485,0.03491282277,0,95,0.1579364036
WT,0.001,34,486,0.1451240086,0,95,0.1579364036
WT,0.001,35,487,0.06443151605,0,95,0.1579364036
WT,0.001,36,488,0.08791430197,0,95,0.1579364036
WT,0.001,37,489,0.1190721686,0,95,0.1579364036
WT,0.001,38,490,0.0635140272,0,95,0.1579364036
WT,0.001,39,491,0.1577644236,0,95,0.1579364036
WT,0.001,40,492,0.146625763,0,95,0.1579364036
WT,0.001,41,493,0.1426784571,0,95,0.1579364036
WT,0.001,42,494,0.09046166487,0,95,0.1579364036
WT,0.001,43,495,0.1394378629,0,95,0.1579364036
WT,0.001,44,496,0.06031082197,0,95,0.1579364036
WT,0.001,45,497,0.1042447169,0,95,0.1579364036
WT,0.001,46,498,0.06368847871,0,95,0.1579364036
WT,0.001,47,499,0.09675736096,0,95,0.1579364036
WT,0.001,48,500,0.0638819309,0,95,0.1579364036
WT,0.001,49,501,0.07929577041,0,95,0.1579364036
WT,0.001,50,502,0.04670051166,0,95,0.1579364036
WT,0.001,51,503,0.1318037778,0,95,0.1579364036
WT,0.001,52,504,0.0443902469,0,95,0.1579364036
WT,0.001,53,505,0.0720156559,0,95,0.1579364036
WT,0.001,54,506,0.05341896549,0,95,0.1579364036
WT,0.001,55,507,0.03338440935,0,95,0.1579364036
WT,0.001,56,508,0.006342123044,0,95,0.1579364036
WT,0.001,57,509,0.09603713539,0,95,0.1579364036
WT,0.001,58,510,0.2647798947,0,95,0.1579364036
WT,0.001,59,511,0.1477982549,0,95,0.1579364036
WT,0.001,60,512,0.01390880787,0,95,0.1579364036
WT,0.001,61,513,0.166912002,0,95,0.1579364036
WT,0.001,62,514,0.123634885,0,95,0.1579364036
WT,0.001,63,515,0.1460661508,0,95,0.1579364036
WT,0.001,64,516,0.1277210628,0,95,0.1579364036
WT,0.001,65,517,0.1299245801,0,95,0.1579364036
WT,0.001,66,518,0.06633098577,0,95,0.1579364036
WT,0.001,67,519,0.122502524,0,95,0.1579364036
WT,0.001,68,520,0.02960663568,0,95,0.1579364036
WT,0.001,69,521,0.1030387743,0,95,0.1579364036
WT,0.001,70,522,0.1201988475,0,95,0.1579364036
WT,0.001,71,523,0.1014075439,0,95,0.1579364036
WT,0.001,72,524,0.08451843324,0,95,0.1579364036
WT,0.001,73,525,0.1251481487,0,95,0.1579364036
WT,0.001,74,526,0.09207054082,0,95,0.1579364036
WT,0.001,75,527,0.1612040236,0,95,0.1579364036
WT,0.001,76,528,0.1073428851,0,95,0.1579364036
WT,0.001,77,529,0.1624820475,0,95,0.1579364036
WT,0.001,78,530,0.09836139765,0,95,0.1579364036
WT,0.001,79,531,0.03804317587,0,95,0.1579364036
WT,0.001,80,532,0.08792792277,0,95,0.1579364036
WT,0.001,81,533,0.07087414793,0,95,0.1579364036
WT,0.001,82,534,0.05113920822,0,95,0.1579364036
WT,0.001,83,535,0.1028294497,0,95,0.1579364036
WT,0.001,84,536,0.0611648734,0,95,0.1579364036
WT,0.001,85,537,0.05827410997,0,95,0.1579364036
WT,0.001,86,538,0.06389100594,0,95,0.1579364036
WT,0.001,87,539,0.04527785838,0,95,0.1579364036
WT,0.001,88,540,0.09821611142,0,95,0.1579364036
WT,0.001,89,541,0.05668227244,0,95,0.1579364036
WT,0.001,90,542,0.1292517142,0,95,0.1579364036
WT,0.001,91,543,0.09548052544,0,95,0.1579364036
WT,0.001,92,544,0.0885678339,0,95,0.1579364036
WT,0.001,93,545,0.03750557558,0,95,0.1579364036
WT,0.001,94,546,0.101643396,0,95,0.1579364036
WT,0.001,95,547,0.07854362625,0,95,0.1579364036
WT,0.001,96,548,0.01593820473,0,95,0.1579364036
WT,0.001,97,549,0.1357571349,0,95,0.1579364036
WT,0.001,98,550,0.08376946991,0,95,0.1579364036
WT,0.001,99,551,0.09399270279,0,95,0.1579364036
WT,0.0014583333,0,452,0.09278469596,0,95,0.1579395284
WT,0.0014583333,1,453,0.08525785825,0,95,0.1579395284
WT,0.0014583333,2,454,0.1361645236,0,95,0.1579395284
WT,0.0014583333,3,455,0.05617125186,0,95,0.1579395284
WT,0.0014583333,4,456,0.1344939835,0,95,0.1579395284
WT,0.0014583333,5,457,0.05147849726,0,95,0.1579395284
WT,0.0014583333,6,458,0.08440889721,0,95,0.1579395284
WT,0.0014583333,7,459,0.05776413229,0,95,0.1579395284
WT,0.0014583333,8,460,0.1547265254,0,95,0.1579395284
WT,0.0014583333,9,461,0.08495780643,0,95,0.1579395284
WT,0.0014583333,10,462,0.09072821324,0,95,0.1579395284
WT,0.0014583333,11,463,0.05497286939,0,95,0.1579395284
WT,0.0014583333,12,464,0.0381816003,0,95,0.1579395284
WT,0.0014583333,13,465,0.08440079555,0,95,0.1579395284
WT,0.0014583333,14,466,0.05642259029,0,95,0.1579395284
WT,0.0014583333,15,467,0.1318848711,0,95,0.1579395284
WT,0.0014583333,16,468,0.06286327065,0,95,0.1579395284
WT,0.0014583333,17,469,0.06356021937,0,95,0.1579395284
WT,0.0014583333,18,470,0.2240027633,0,95,0.1579395284
WT,0.0014583333,19,471,0.07442965153,0,95,0.1579395284
WT,0.0014583333,20,472,0.09781123963,0,95,0.1579395284
WT,0.0014583333,21,473,0.02042205049,0,95,0.1579395284
WT,0.0014583333,22,474,0.1081306807,0,95,0.1579395284
WT,0.0014583333,23,475,0.05290229762,0,95,0.1579395284
WT,0.0014583333,24,476,0.1392200668,0,95,0.1579395284
WT,0.0014583333,25,477,0.01681698619,0,95,0.1579395284
WT,0.0014583333,26,478,0.1154022947,0,95,0.1579395284
WT,0.0014583333,27,479,0.1179668101,0,95,0.1579395284
WT,0.0014583333,28,480,0.1434779017,0,95,0.1579395284
WT,0.0014583333,29,481,0.06997707794,0,95,0.1579395284
WT,0.0014583333,30,482,0.1526021491,0,95,0.1579395284
WT,0.0014583333,31,483,0.09347083891,0,95,0.1579395284
WT,0.0014583333,32,484,0.0929623378,0,95,0.1579395284
WT,0.0014583333,33,485,0.03489967874,0,95,0.1579395284
WT,0.0014583333,34,486,0.1451132413,0,95,0.1579395284
WT,0.0014583333,35,487,0.06444578033,0,95,0.1579395284
WT,0.0014583333,36,488,0.08791646961,0,95,0.1579395284
WT,0.0014583333,37,489,0.1190885152,0,95,0.1579395284
WT,0.0014583333,38,490,0.06351148716,0,95,0.1579395284
WT,0.0014583333,39,491,0.1577677428,0,95,0.1579395284
WT,0.0014583333,40,492,0.1466417177,0,95,0.1579395284
WT,0.0014583333,41,493,0.142690415,0,95,0.1579395284
WT,0.0014583333,42,494,0.09047747086,0,95,0.1579395284
WT,0.0014583333,43,495,0.1394371195,0,95,0.1579395284
WT,0.0014583333,44,496,0.06030601083,0,95,0.1579395284
WT,0.0014583333,45,497,0.1042419548,0,95,0.1579395284
WT,0.0014583333,46,498,0.0636942268,0,95,0.1579395284
WT,0.0014583333,47,499,0.09676000952,0,95,0.1579395284
WT,0.0014583333,48,500,0.0638895482,0,95,0.1579395284
WT,0.0014583333,49,501,0.07928489998,0,95,0.1579395284
WT,0.0014583333,50,502,0.04669281052,0,95,0.1579395284
WT,0.0014583333,51,503,0.1318026912,0,95,0.1579395284
WT,0.0014583333,52,504,0.04437974557,0,95,0.1579395284
WT,0.0014583333,53,505,0.07202683177,0,95,0.1579395284
WT,0.0014583333,54,506,0.05343426786,0,95,0.1579395284
WT,0.0014583333,55,507,0.03336985555,0,95,0.1579395284
WT,0.0014583333,56,508,0.006338260985,0,95,0.1579395284
WT,0.0014583333,57,509,0.0960334756,0,95,0.1579395284
WT,0.0014583333,58,510,0.2647918115,0,95,0.1579395284
WT,0.0014583333,59,511,0.1478031717,0,95,0.1579395284
WT,0.0014583333,60,512,0.0138954252,0,95,0.1579395284
WT,0.0014583333,61,513,0.1669190993,0,95,0.1579395284
WT,0.0014583333,62,514,0.1236298988,0,95,0.1579395284
WT,0.0014583333,63,515,0.1460620774,0,95,0.1579395284
WT,0.0014583333,64,516,0.1277119093,0,95,0.1579395284
WT,0.0014583333,65,517,0.1299325244,0,95,0.1579395284
WT,0.0014583333,66,518,0.06633032512,0,95,0.1579395284
WT,0.0014583333,67,519,0.1225089339,0,95,0.1579395284
WT,0.0014583333,68,520,0.02960849436,0,95,0.1579395284
WT,0.0014583333,69,521,0.103030842,0,95,0.1579395284
WT,0.0014583333,70,522,0.1201993505,0,95,0.1579395284
WT,0.0014583333,71,523,0.1014072246,0,95,0.1579395284
WT,0.0014583333,72,524,0.08451033542,0,95,0.1579395284
WT,0.0014583333,73,525,0.1251389033,0,95,0.1579395284
WT,0.0014583333,74,526,0.09207095334,0,95,0.1579395284
WT,0.0014583333,75,527,0.1612034545,0,95,0.1579395284
WT,0.0014583333,76,528,0.1073400421,0,95,0.1579395284
WT,0.0014583333,77,529,0.1624880387,0,95,0.1579395284
WT,0.0014583333,78,530,0.09835824221,0,95,0.1579395284
WT,0.0014583333,79,531,0.03805267636,0,95,0.1579395284
WT,0.0014583333,80,532,0.08792896401,0,95,0.1579395284
WT,0.0014583333,81,533,0.07087389224,0,95,0.1579395284
WT,0.0014583333,82,534,0.05112709388,0,95,0.1579395284
WT,0.0014583333,83,535,0.1028251744,0,95,0.1579395284
WT,0.0014583333,84,536,0.06115579707,0,95,0.1579395284
WT,0.0014583333,85,537,0.05827136473,0,95,0.1579395284
WT,0.0014583333,86,538,0.06389375882,0,95,0.1579395284
WT,0.0014583333,87,539,0.04527828434,0,95,0.1579395284
WT,0.0014583333,88,540,0.09821870977,0,95,0.1579395284
WT,0.0014583333,89,541,0.05668417576,0,95,0.1579395284
WT,0.0014583333,90,542,0.1292492471,0,95,0.1579395284
WT,0.0014583333,91,543,0.09549059816,0,95,0.1579395284
WT,0.0014583333,92,544,0.08858100503,0,95,0.1579395284
WT,0.0014583333,93,545,0.03751037473,0,95,0.1579395284
WT,0.0014583333,94,546,0.1016422042,0,95,0.1579395284
WT,0.0014583333,95,547,0.07854698294,0,95,0.1579395284
WT,0.0014583333,96,548,0.01594257809,0,95,0.1579395284
WT,0.0014583333,97,549,0.1357705278,0,95,0.1579395284
WT,0.0014583333,98,550,0.08376732022,0,95,0.1579395284
WT,0.0014583333,99,551,0.09398847791,0,95,0.1579395284
WT,0.0019166667,0,462,0.09073651477,0,95,0.1627156418
WT,0.0019166667,1,463,0.05497266583,0,95,0.1627156418
WT,0.0019166667,2,464,0.03818599007,0,95,0.1627156418
WT,0.0019166667,3,465,0.08440010864,0,95,0.1627156418
WT,0.0019166667,4,466,0.05643216348,0,95,0.1627156418
WT,0.0019166667,5,467,0.1319069061,0,95,0.1627156418
WT,0.0019166667,6,468,0.06286362709,0,95,0.1627156418
WT,0.0019166667,7,469,0.06357567261,0,95,0.1627156418
WT,0.0019166667,8,470,0.2240140472,0,95,0.1627156418
WT,0.0019166667,9,471,0.07441809705,0,95,0.1627156418
WT,0.0019166667,10,472,0.0978271502,0,95,0.1627156418
WT,0.0019166667,11,473,0.02041764279,0,95,0.1627156418
WT,0.0019166667,12,474,0.1081176796,0,95,0.1627156418
WT,0.0019166667,13,475,0.05288374343,0,95,0.1627156418
WT,0.0019166667,14,476,0.1392189575,0,95,0.1627156418
WT,0.0019166667,15,477,0.01681370771,0,95,0.1627156418
WT,0.0019166667,16,478,0.115407334,0,95,0.1627156418
WT,0.0019166667,17,479,0.1179836667,0,95,0.1627156418
WT,0.0019166667,18,480,0.1434775702,0,95,0.1627156418
WT,0.0019166667,19,481,0.06997618938,0,95,0.1627156418
WT,0.0019166667,20,482,0.1526087266,0,95,0.1627156418
WT,0.0019166667,21,483,0.09347923953,0,95,0.1627156418
WT,0.0019166667,22,484,0.09296539768,0,95,0.1627156418
WT,0.0019166667,23,485,0.03488652818,0,95,0.1627156418
WT,0.0019166667,24,486,0.1451024696,0,95,0.1627156418
WT,0.0019166667,25,487,0.06446006403,0,95,0.1627156418
WT,0.0019166667,26,488,0.08791863983,0,95,0.1627156418
WT,0.0019166667,27,489,0.1191048731,0,95,0.1627156418
WT,0.0019166667,28,490,0.06350894505,0,95,0.1627156418
WT,0.0019166667,29,491,0.1577710645,0,95,0.1627156418
WT,0.0019166667,30,492,0.1466576808,0,95,0.1627156418
WT,0.0019166667,31,493,0.1427023794,0,95,0.1627156418
WT,0.0019166667,32,494,0.09049328652,0,95,0.1627156418
WT,0.0019166667,33,495,0.139436373,0,95,0.1627156418
WT,0.0019166667,34,496,0.06030119923,0,95,0.1627156418
WT,0.0019166667,35,497,0.104239196,0,95,0.1627156418
WT,0.0019166667,36,498,0.06369997991,0,95,0.1627156418
WT,0.0019166667,37,499,0.0967626596,0,95,0.1627156418
WT,0.0019166667,38,500,0.0638971711,0,95,0.1627156418
WT,0.0019166667,39,501,0.07927402567,0,95,0.1627156418
WT,0.0019166667,40,502,0.04668510416,0,95,0.1627156418
WT,0.0019166667,41,503,0.1318016048,0,95,0.1627156418
WT,0.0019166667,42,504,0.04436923936,0,95,0.1627156418
WT,0.0019166667,43,505,0.07203801498,0,95,0.1627156418
WT,0.0019166667,44,506,0.05344958064,0,95,0.1627156418
WT,0.0019166667,45,507,0.03335529753,0,95,0.1627156418
WT,0.0019166667,46,508,0.006334403084,0,95,0.1627156418
WT,0.0019166667,47,509,0.09602981522,0,95,0.1627156418
WT,0.0019166667,48,510,0.2648037394,0,95,0.1627156418
WT,0.0019166667,49,511,0.1478080923,0,95,0.1627156418
WT,0.0019166667,50,512,0.01388203596,0,95,0.1627156418
WT,0.0019166667,51,513,0.166926202,0,95,0.1627156418
WT,0.0019166667,52,514,0.1236249107,0,95,0.1627156418
WT,0.0019166667,53,515,0.1460580014,0,95,0.1627156418
WT,0.0019166667,54,516,0.1277027534,0,95,0.1627156418
WT,0.0019166667,55,517,0.1299404671,0,95,0.1627156418
WT,0.0019166667,56,518,0.06632966577,0,95,0.1627156418
WT,0.0019166667,57,519,0.1225153505,0,95,0.1627156418
WT,0.0019166667,58,520,0.02961035673,0,95,0.1627156418
WT,0.0019166667,59,521,0.1030229011,0,95,0.1627156418
WT,0.0019166667,60,522,0.1201998594,0,95,0.1627156418
WT,0.0019166667,61,523,0.1014069091,0,95,0.1627156418
WT,0.0019166667,62,524,0.0845022343,0,95,0.1627156418
WT,0.0019166667,63,525,0.1251296569,0,95,0.1627156418
WT,0.0019166667,64,526,0.09207136391,0,95,0.1627156418
WT,0.0019166667,65,527,0.1612028887,0,95,0.1627156418
WT,0.0019166667,66,528,0.1073372001,0,95,0.1627156418
WT,0.0019166667,67,529,0.1624940334,0,95,0.1627156418
WT,0.0019166667,68,530,0.09835508375,0,95,0.1627156418
WT,0.0019166667,69,531,0.03806218313,0,95,0.1627156418
WT,0.0019166667,70,532,0.08793000369,0,95,0.1627156418
WT,0.0019166667,71,533,0.07087363449,0,95,0.1627156418
WT,0.0019166667,72,534,0.0511149725,0,95,0.1627156418
WT,0.0019166667,73,535,0.1028208991,0,95,0.1627156418
WT,0.0019166667,74,536,0.06114671742,0,95,0.1627156418
WT,0.0019166667,75,537,0.05826862224,0,95,0.1627156418
WT,0.0019166667,76,538,0.06389651413,0,95,0.1627156418
WT,0.0019166667,77,539,0.04527871245,0,95,0.1627156418
WT,0.0019166667,78,540,0.0982213103,0,95,0.1627156418
WT,0.0019166667,79,541,0.05668608332,0,95,0.1627156418
WT,0.0019166667,80,542,0.129246782,0,95,0.1627156418
WT,0.0019166667,81,543,0.09550067806,0,95,0.1627156418
WT,0.0019166667,82,544,0.08859418305,0,95,0.1627156418
WT,0.0019166667,83,545,0.03751517662,0,95,0.1627156418
WT,0.0019166667,84,546,0.1016410141,0,95,0.1627156418
WT,0.0019166667,85,547,0.07855034403,0,95,0.1627156418
WT,0.0019166667,86,548,0.01594695427,0,95,0.1627156418
