condition_key,amplitude,w_inter,trial_idx,seed,A_hat_final,a_hat_timecourse,peak_pyr_rate,center_final_deg,error_from_cue_deg
WT,0.1,0.001,19,347016859,0.06529104542383414,0.075769 0.104124 0.030186 0.139456 0.138155 0.083688 0.135576 0.096115 0.089898 0.089043 0.116050 0.070362 0.014000 0.108923 0.164104 0.102374 0.124833 0.099633 0.101811 0.029089 0.106944 0.185370 0.174017 0.095005 0.065291,0.2382168720099209,53.44207794568564,126.55792205431436
WT,0.1,0.001,4,1895310323,0.18037726717116712,0.049987 0.063464 0.112009 0.127761 0.129295 0.086920 0.165575 0.074441 0.078009 0.113788 0.027536 0.156578 0.093594 0.101996 0.183206 0.088066 0.019043 0.089936 0.098280 0.021450 0.081299 0.159711 0.094712 0.014806 0.180377,0.24166549432898712,136.46116444838313,43.53883555161687
WT,0.1,0.001,6,280584697,0.004259036987065904,0.136513 0.074007 0.074752 0.125729 0.068673 0.061439 0.059624 0.072932 0.121056 0.078268 0.047461 0.161709 0.153462 0.072093 0.114694 0.130879 0.125849 0.052022 0.175309 0.133110 0.045861 0.156702 0.073403 0.123073 0.004259,0.2211448247667612,180.67031771998728,0.6703177199872812
WT,0.1,0.001,9,1504658074,0.026006980637087097,0.132498 0.073513 0.060070 0.052766 0.055509 0.067238 0.159150 0.021834 0.028954 0.057095 0.053544 0.091581 0.123744 0.090341 0.024433 0.065063 0.065797 0.123209 0.145346 0.194457 0.100222 0.120353 0.030479 0.056435 0.026007,0.2029531597490481,78.63425949459479,101.36574050540521
WT,0.1,0.001,41,1312343691,0.07831153749565721,0.044632 0.183485 0.113220 0.119607 0.098200 0.139841 0.144893 0.114844 0.093606 0.081404 0.168228 0.043384 0.083772 0.024852 0.045898 0.157410 0.092108 0.044172 0.067622 0.183167 0.055560 0.022363 0.063134 0.088731 0.078312,0.31013180407161245,335.7067839850597,155.7067839850597
WT,0.1,0.001,43,1700607009,0.07498325608675308,0.064865 0.076132 0.082683 0.052090 0.045100 0.016299 0.125322 0.150753 0.099002 0.132335 0.071365 0.249580 0.127282 0.029137 0.116553 0.116457 0.048610 0.118965 0.025336 0.063352 0.029391 0.069217 0.216369 0.107921 0.074983,0.25695041165968285,91.06379299197964,88.93620700802036
WT,0.1,0.001,42,1762120781,0.029929981108062966,0.171883 0.002784 0.096703 0.018147 0.099511 0.083701 0.180675 0.170679 0.228929 0.146642 0.046002 0.088101 0.153156 0.107440 0.083849 0.037376 0.113928 0.081367 0.164320 0.133321 0.067428 0.183997 0.086656 0.069376 0.029930,0.23286141988223164,106.11100455393236,73.88899544606764
WT,0.1,0.001,18,2121403537,0.07965915694425917,0.086144 0.163972 0.072926 0.136626 0.104656 0.060052 0.035953 0.148546 0.080382 0.022131 0.075924 0.114313 0.062270 0.143894 0.047202 0.007527 0.053158 0.172839 0.033568 0.141079 0.142035 0.012940 0.012035 0.077331 0.079659,0.25480668074681945,267.40665490438437,87.40665490438437
WT,0.1,0.001,13,1880439445,0.10651395512252074,0.156490 0.087276 0.047309 0.084409 0.051696 0.025635 0.047982 0.090399 0.100452 0.089322 0.035457 0.130211 0.094987 0.081972 0.032337 0.099352 0.166572 0.128462 0.070505 0.075727 0.103936 0.022712 0.012381 0.066986 0.106514,0.254184603758876,342.19597356458024,162.19597356458024
WT,0.1,0.001,8,1249765968,0.08424457737500513,0.083755 0.067864 0.103059 0.057979 0.121638 0.116329 0.153431 0.065348 0.126342 0.050034 0.058174 0.129415 0.120061 0.072276 0.100020 0.065334 0.084290 0.152396 0.075433 0.168530 0.030016 0.064593 0.024475 0.002881 0.084245,0.2317642982123751,173.9450673912971,6.054932608702899
WT,0.1,0.001,3,1702858716,0.07926396761871113,0.105132 0.076152 0.078667 0.045993 0.078594 0.056424 0.082342 0.060924 0.080432 0.124849 0.055227 0.175404 0.088024 0.108569 0.084079 0.038910 0.149544 0.088099 0.114713 0.090928 0.049624 0.121969 0.096944 0.089012 0.079264,0.24206197351830783,318.4337984098111,138.43379840981112
WT,0.1,0.001,37,928832081,0.09163057294328585,0.013100 0.059222 0.075234 0.050791 0.201828 0.080289 0.069141 0.085351 0.030102 0.159151 0.031474 0.065732 0.140043 0.133401 0.090801 0.079070 0.070255 0.043373 0.168962 0.052414 0.107698 0.040069 0.196849 0.039583 0.091631,0.22562854510838204,245.25616415656233,65.25616415656233
WT,0.1,0.001,26,1395966768,0.07789528668459142,0.074650 0.096017 0.142043 0.086985 0.056024 0.109917 0.133996 0.101458 0.143274 0.066000 0.200209 0.068031 0.150188 0.060746 0.049480 0.130087 0.041685 0.078011 0.120775 0.100691 0.104320 0.019307 0.150507 0.053624 0.077895,0.2647466104285979,343.87706532038953,163.87706532038953
WT,0.1,0.001,25,199233221,0.07898176460264188,0.086176 0.055749 0.045719 0.095109 0.078219 0.098892 0.052839 0.081445 0.148555 0.098633 0.133418 0.092702 0.146686 0.170816 0.038796 0.007438 0.045279 0.036244 0.107277 0.144284 0.117218 0.157134 0.137165 0.050537 0.078982,0.22831824752054775,275.062791608879,95.06279160887902
WT,0.1,0.001,45,1036024353,0.08313487147544377,0.144676 0.061994 0.033002 0.060483 0.115187 0.132097 0.064878 0.076200 0.039546 0.069722 0.051920 0.058947 0.077097 0.155807 0.062151 0.177411 0.121688 0.025509 0.136451 0.034811 0.097580 0.098237 0.193198 0.029821 0.083135,0.23779360266866148,85.04081343060227,94.95918656939773
WT,0.1,0.001,47,2001682155,0.09405491350200575,0.045736 0.029881 0.125654 0.028267 0.117636 0.046635 0.116872 0.111020 0.143811 0.186904 0.193584 0.032585 0.088174 0.059913 0.094544 0.017936 0.064897 0.139263 0.110981 0.018514 0.117659 0.036954 0.066445 0.025045 0.094055,0.24725260883548839,180.51062232886025,0.5106223288602507
WT,0.1,0.001,46,261494503,0.06417108915490477,0.142352 0.071167 0.115150 0.003669 0.184583 0.027173 0.175251 0.159498 0.129243 0.151023 0.181813 0.045160 0.070919 0.135394 0.084978 0.129296 0.104502 0.068860 0.075287 0.085391 0.010757 0.034209 0.037025 0.098709 0.064171,0.2014901122512397,286.2968160332623,106.2968160332623
WT,0.1,0.001,44,1634649145,0.12266744916376233,0.159098 0.221402 0.020245 0.098876 0.102213 0.130088 0.135329 0.144727 0.158857 0.070360 0.028504 0.089807 0.060967 0.088657 0.134072 0.103903 0.038728 0.144194 0.038085 0.104664 0.112226 0.197120 0.085740 0.040686 0.122667,0.23685341742175378,309.84581467201303,129.84581467201303
WT,0.1,0.001,48,1311960750,0.15764186576895406,0.031220 0.132379 0.099802 0.106010 0.105178 0.071057 0.152777 0.020658 0.096514 0.102800 0.031063 0.051657 0.116388 0.140143 0.116298 0.079804 0.014843 0.032364 0.055808 0.128231 0.113298 0.106666 0.079392 0.078720 0.157642,0.2086976434407349,288.78971628841373,108.78971628841373
WT,0.1,0.001,51,1524829245,0.048439172864510355,0.059548 0.197182 0.055271 0.111325 0.129406 0.114958 0.013913 0.057643 0.123738 0.131358 0.088609 0.067121 0.077911 0.108844 0.080813 0.091085 0.027822 0.040876 0.097579 0.093145 0.152371 0.051176 0.180110 0.055746 0.048439,0.23359357422897292,103.64519167955125,76.35480832044875
WT,0.1,0.001,49,295114914,0.15586830188437595,0.067049 0.070366 0.101872 0.180529 0.099981 0.065172 0.068531 0.104626 0.116918 0.036472 0.103520 0.178197 0.069493 0.092859 0.031245 0.081817 0.082140 0.075317 0.180338 0.080219 0.158368 0.066228 0.117690 0.046398 0.155868,0.20985267613538625,14.852435014224683,165.14756498577532
