condition,trial_idx,seed,pre_cue_asym,delay_asym,delay_ms,amplitude
WT,0,191664963,0.006660778554006114,0.0027158892308261143,5000.0,45.0
WT,1,1662057957,0.003919613509199414,0.0031476183604834144,5000.0,45.0
WT,2,1405681631,0.010651208436424814,0.0025576325284523142,5000.0,45.0
WT,3,942484272,0.00046490717467911435,-0.00040468006336908573,5000.0,45.0
WT,4,929893137,-0.009749875898745885,0.004564982692100214,5000.0,45.0
WT,5,1843824992,0.003079521869520014,0.003163262657240714,5000.0,45.0
WT,6,184566854,-0.013792094626094684,0.004168412751607514,5000.0,45.0
WT,7,1497586438,-0.0032799252741043854,0.0036472569611873144,5000.0,45.0
WT,8,432652533,0.011134842899580114,-0.0007947867474307857,5000.0,45.0
WT,9,202244314,0.005052439379594214,3.737739564201427e-05,5000.0,45.0
WT,10,1130604997,0.010871954648765215,0.0009799536612709143,5000.0,45.0
WT,11,2095133045,0.017362122456123716,0.0028996430699563145,5000.0,45.0
WT,12,1580016183,0.011204263777482314,0.0019370581687662175,5000.0,45.0
WT,13,1634535062,0.007060850608254615,0.0016250938384061143,5000.0,45.0
WT,14,1540770719,0.007379911869580614,0.0026533149057141143,5000.0,45.0
WT,15,1688060240,-0.003678670415015386,0.0005557283996393144,5000.0,45.0
WT,16,1102145672,0.010117217557415414,0.0010696162347104145,5000.0,45.0
WT,17,275121930,-0.002762793039761186,0.0017852102851742143,5000.0,45.0
WT,18,1803345590,-0.011683564034626285,0.0035229731722744143,5000.0,45.0
WT,19,967196436,-0.008475329475844886,0.0002779863233623144,5000.0,45.0
WT,20,1074497555,-0.003328797685073286,0.0038356721828149143,5000.0,45.0
WT,21,796282693,0.012094333513970114,-0.0016259647249081857,5000.0,45.0
WT,22,392022359,-0.004534506111826485,0.0027383756284947145,5000.0,45.0
WT,23,1990212658,0.007236195201331414,0.0028626533734540144,5000.0,45.0
WT,24,1678403330,0.0024699476324175143,0.0015831641956779144,5000.0,45.0
WT,25,1382689815,-0.0025161799157472856,0.002485845468794114,5000.0,45.0
WT,26,864178266,0.004159434428277315,0.0006118463456728145,5000.0,45.0
WT,27,1766867109,0.0018809718312087988,0.005544566801390314,5000.0,45.0
WT,28,1171300112,-0.006385561123656586,0.003183591921708314,5000.0,45.0
