Rank    L_total   L_bistab     L_rate  L_rate_hi   L_margin    r_low   r_high   SOM_hi    PV_hi   VIP_hi      regime
--------------------------------------------------------------------------------------------------------------------
   1    15.0013     0.0000     0.0013     0.0000    30.0000     1.80      nan      nan      nan      nan  monostable
   2    15.0013     0.0000     0.0013     0.0000    30.0000     1.80      nan      nan      nan      nan  monostable
   3    15.0015     0.0000     0.0015     0.0000    30.0000     1.81      nan      nan      nan      nan  monostable
   4    15.0016     0.0000     0.0016     0.0000    30.0000     1.78      nan      nan      nan      nan  monostable
   5    15.0016     0.0000     0.0016     0.0000    30.0000     1.78      nan      nan      nan      nan  monostable
   6    15.0017     0.0000     0.0017     0.0000    30.0000     1.78      nan      nan      nan      nan  monostable
   7    15.0023     0.0000     0.0023     0.0000    30.0000     1.81      nan      nan      nan      nan  monostable
   8    15.0023     0.0000     0.0023     0.0000    30.0000     1.81      nan      nan      nan      nan  monostable
   9    15.0023     0.0000     0.0010     0.0000    30.0000     1.76      nan      nan      nan      nan  monostable
  10    15.0024     0.0000     0.0011     0.0000    30.0000     1.78      nan      nan      nan      nan  monostable
