condition_key,w_inter,a_hat_value
a7_KO_APP,2.0,0.019976236770125406
a7_KO_APP,2.0,0.027607515757874155
a7_KO_APP,2.0,0.013403744685471494
a7_KO_APP,2.0,0.026168366154186877
a7_KO_APP,2.0,0.025146679016571635
a7_KO_APP,2.0,0.019454816915213714
a7_KO_APP,2.0,0.0253802481749969
a7_KO_APP,2.0,0.007039154174572384
a7_KO_APP,2.0,0.020133144629584158
a7_KO_APP,2.0,0.008854724090333298
a7_KO_APP,2.0,0.009447306684872139
a7_KO_APP,2.0,0.03123404893030094
a7_KO_APP,2.0,0.016653046416829402
a7_KO_APP,2.0,0.02691683704165148
a7_KO_APP,2.0,0.03803314788930824
a7_KO_APP,2.0,0.019976236770125406
a7_KO_APP,2.0,0.03353441795752541
a7_KO_APP,2.0,0.005930986421979392
a7_KO_APP,2.0,0.00999466264819251
a7_KO_APP,2.0,0.013837236985471651
a7_KO_APP,2.0,0.035236482746472814
a7_KO_APP,2.0,0.02529049604373397
a7_KO_APP,2.0,0.010767644706719358
a7_KO_APP,2.0,0.006966817736450423
a7_KO_APP,2.0,0.024313551210180924
a7_KO_APP,2.0,0.007175246571153264
a7_KO_APP,2.0,0.01492998080117224
a7_KO_APP,2.0,0.019780712803909452
a7_KO_APP,2.0,0.025451892602578637
a7_KO_APP,2.0,0.016258268684931264
a7_KO_APP,2.0,0.021829557120874882
a7_KO_APP,2.0,0.03353441795752541
a7_KO_APP,2.0,0.006147705299819813
a7_KO_APP,2.0,0.008164867778254929
a7_KO_APP,2.0,0.030481786448474425
a7_KO_APP,2.0,0.02353626101636746
a7_KO_APP,2.0,0.0306808655398244
a7_KO_APP,2.0,0.0084602298218539
a7_KO_APP,2.0,0.02593295758217735
a7_KO_APP,2.0,0.04676787314623364
a7_KO_APP,2.0,0.016355271861396112
a7_KO_APP,2.0,0.012768601494560588
a7_KO_APP,2.0,0.015373565698672981
a7_KO_APP,2.0,0.0035728788683960042
a7_KO_APP,2.0,0.036134240853842065
a7_KO_APP,2.0,0.01918915585429876
a7_KO_APP,2.0,0.029179773561741826
a7_KO_APP,2.0,0.006147705299819813
