condition_key,w_inter,a_hat_value
a5_KO,2.0,0.03530674576373526
a5_KO,2.0,0.041456141824420235
a5_KO,2.0,0.021702565550085658
a5_KO,2.0,0.036819598144130196
a5_KO,2.0,0.0540260017040961
a5_KO,2.0,0.02814593466865839
a5_KO,2.0,0.032458522589686505
a5_KO,2.0,0.01394963127326292
a5_KO,2.0,0.04123826364808945
a5_KO,2.0,0.007378579597604911
a5_KO,2.0,0.023398267176726207
a5_KO,2.0,0.04916695397049029
a5_KO,2.0,0.03303200931116692
a5_KO,2.0,0.057332231870280005
a5_KO,2.0,0.059415713225287346
a5_KO,2.0,0.03530674576373526
a5_KO,2.0,0.05988439763527661
a5_KO,2.0,0.003704831623875974
a5_KO,2.0,0.019041716003768187
a5_KO,2.0,0.024853474859624403
a5_KO,2.0,0.03933471812292982
a5_KO,2.0,0.04652136337129698
a5_KO,2.0,0.017951534300936822
a5_KO,2.0,0.01817578640802516
a5_KO,2.0,0.04619566997311335
a5_KO,2.0,0.011188784590049171
a5_KO,2.0,0.02315129604963848
a5_KO,2.0,0.032756067362777024
a5_KO,2.0,0.02929380300199043
a5_KO,2.0,0.028503474899615584
a5_KO,2.0,0.02489445132036018
a5_KO,2.0,0.05988439763527661
a5_KO,2.0,0.012055071029590211
a5_KO,2.0,0.019641019493380846
a5_KO,2.0,0.04857127191654937
a5_KO,2.0,0.0452671130293718
a5_KO,2.0,0.04021818813163453
a5_KO,2.0,0.0262081361229779
a5_KO,2.0,0.03817078580974934
a5_KO,2.0,0.06776371082359127
a5_KO,2.0,0.03709485582504939
a5_KO,2.0,0.02797010958451029
a5_KO,2.0,0.017619863424208095
a5_KO,2.0,0.005566349093105778
a5_KO,2.0,0.0629922080558918
a5_KO,2.0,0.03443423969567247
a5_KO,2.0,0.05425229630661013
a5_KO,2.0,0.012055071029590211
a5_KO,2.0,0.012545505814940034
a5_KO,2.0,0.028522908417084273
a5_KO,2.0,0.04395450196870055
a5_KO,2.0,0.012186790530554686
a5_KO,2.0,0.028976108900808935
a5_KO,2.0,0.07752125903774881
