condition_key,lag_s,msd_mean,msd_sem,msd_sd,fit_line
WT,0.0,0.0,0.0,0.0,0.007418897240670831
WT,0.01092964824120603,0.002268480054800727,0.00037924160649522253,0.002681643116608521,0.007429773889850793
WT,0.02185929648241206,0.004981310599871991,0.0004571658212027231,0.0032326505229916223,0.007440650539030754
WT,0.03278894472361809,0.007662590566663848,0.0004982462603910001,0.003523133094233145,0.0074515271882107156
WT,0.04371859296482412,0.009638833689858612,0.0005239356989083536,0.0037047848560381002,0.007462403837390677
WT,0.054648241206030145,0.010611929401482279,0.0005474777347134904,0.003871252187645588,0.0074732804865706385
WT,0.06557788944723618,0.010552563336564551,0.0005532782276374882,0.0039122678664534226,0.0074841571357506
WT,0.0765075376884422,0.009739002735824542,0.0005505687022369827,0.0038931086286084758,0.007495033784930562
WT,0.08743718592964823,0.008694818445008483,0.0005520334688895099,0.0039034660929370547,0.007505910434110524
WT,0.09836683417085426,0.007671390291281772,0.0005721621505927573,0.004045797366224173,0.007516787083290485
WT,0.10929648241206029,0.007025327736249005,0.00058681841024632,0.004149432772102823,0.007527663732470447
WT,0.12022613065326632,0.006817658586244756,0.0005700040877241191,0.0040305375573377634,0.007538540381650408
WT,0.13115577889447236,0.0069698924661650286,0.0005518997247985996,0.0039025203794007916,0.00754941703083037
WT,0.14208542713567837,0.007326682269071958,0.0005560794420042419,0.00393207544319631,0.007560293680010331
WT,0.1530150753768844,0.007672460420129273,0.0005635769322441084,0.003985090705101205,0.0075711703291902925
WT,0.16394472361809043,0.00790922723950651,0.0005624568948356618,0.003977170844634253,0.007582046978370254
WT,0.17487437185929647,0.008015437078769679,0.0005506637447365432,0.003893780680567877,0.0075929236275502155
WT,0.1858040201005025,0.008014125374659082,0.0005329874814631821,0.0037687906243015538,0.007603800276730177
WT,0.19673366834170852,0.007948526483045466,0.0005203067801437942,0.0036791245253701495,0.007614676925910139
WT,0.20766331658291456,0.00788773230533329,0.0005211792143009901,0.0036852935664570697,0.007625553575090101
WT,0.21859296482412058,0.007869766515347817,0.0005399433985441913,0.0038179763856750837,0.007636430224270062
WT,0.22952261306532662,0.007848270910224777,0.0005529589913834623,0.003910010525253199,0.007647306873450024
WT,0.24045226130653263,0.007808604744064849,0.0005594852298708907,0.003956158000154212,0.007658183522629985
WT,0.25138190954773865,0.00774363084798276,0.0005598825668201631,0.003958967596666677,0.007669060171809947
WT,0.2623115577889447,0.0076872418692276725,0.000553976241300794,0.003917203568400266,0.007679936820989908
WT,0.27324120603015073,0.007658770577393895,0.0005354034527841084,0.0037858741213433462,0.0076908134701698695
WT,0.28417085427135674,0.0076557768003053485,0.0005134341953848857,0.003630528012497115,0.007701690119349831
WT,0.2951005025125628,0.007689392724535923,0.000505027454181288,0.0035710833753696716,0.0077125667685297924
WT,0.3060301507537688,0.007731000718879689,0.0005149778165075022,0.0036414430621309643,0.007723443417709754
WT,0.31695979899497484,0.0077889300183313125,0.0005291756717857233,0.0037418370595863177,0.007734320066889715
WT,0.32788944723618085,0.00788129107488336,0.000558657361476313,0.003950304086596853,0.007745196716069677
WT,0.3388190954773869,0.007957428178926263,0.0005876997654243946,0.004155664894333327,0.007756073365249639
WT,0.34974874371859294,0.008012090262002034,0.000603449795413665,0.004267034424426373,0.007766950014429601
WT,0.36067839195979895,0.008014333004474027,0.0005991068697505635,0.004236325302560692,0.007777826663609562
WT,0.371608040201005,0.007980339673876137,0.0005985195090557752,0.004232172035257819,0.007788703312789524
WT,0.38253768844221103,0.00789561074314196,0.0005925098442787032,0.004189677288092564,0.007799579961969485
WT,0.39346733668341705,0.007804846290028751,0.0005909416975259383,0.004178588816064806,0.0078104566111494465
WT,0.40439698492462306,0.007718283136836531,0.0005914068403286273,0.004181877872364821,0.007821333260329409
WT,0.41532663316582913,0.007677924246628498,0.0005927912776417376,0.004191667322487101,0.00783220990950937
WT,0.42625628140703514,0.007673203851707321,0.0005879920252859721,0.004157731483633228,0.007843086558689332
WT,0.43718592964824116,0.0076944653109636985,0.0005791229329215649,0.004095017530094807,0.007853963207869293
WT,0.4481155778894472,0.007731216828258995,0.000569594319766206,0.0040276400603202304,0.007864839857049255
WT,0.45904522613065324,0.007770238640345213,0.0005641139663115552,0.003988888109409403,0.007875716506229216
WT,0.46997487437185925,0.007851738714787233,0.0005792138826935647,0.004095660642100091,0.007886593155409178
WT,0.48090452261306527,0.007949172316625803,0.0005999602124638451,0.004242359346753067,0.007897469804589139
WT,0.49183417085427134,0.008056483363708615,0.0006196910856164988,0.004381877688802797,0.0079083464537691
WT,0.5027638190954773,0.008123154239349095,0.0006426009742164611,0.004543875064655414,0.007919223102949062
WT,0.5136934673366834,0.008112274701153593,0.0006582061180746531,0.004654220095090606,0.007930099752129023
WT,0.5246231155778894,0.008064429773324323,0.0006623000402316749,0.004683168496279405,0.007940976401308985
WT,0.5355527638190954,0.00799137478894423,0.0006500308425839451,0.0045964121677151285,0.007951853050488946
WT,0.5464824120603015,0.007921861766254432,0.0006315526783915371,0.0044657518156718265,0.007962729699668908
WT,0.5574120603015075,0.007867398029319411,0.0006147455757033001,0.004346907652842316,0.00797360634884887
WT,0.5683417085427135,0.007858144941190392,0.0006020993485428839,0.004257485323026758,0.00798448299802883
WT,0.5792713567839195,0.007909998053262358,0.000607883879437735,0.004298388133244082,0.007995359647208792
WT,0.5902010050251256,0.008000497103247114,0.0006247824930844289,0.004417879376266369,0.008006236296388754
WT,0.6011306532663316,0.00806793603312096,0.0006293218576177342,0.004449977530704148,0.008017112945568715
WT,0.6120603015075377,0.008085446477622956,0.0006239707545239479,0.004412139517859702,0.008027989594748677
WT,0.6229899497487437,0.008050384845714015,0.0006144807969676786,0.004345035384447597,0.008038866243928638
WT,0.6339195979899497,0.007970476638498753,0.0006148448368231185,0.004347609534951634,0.0080497428931086
WT,0.6448492462311557,0.007872172710582909,0.0006171669045325474,0.004364029033188749,0.008060619542288561
WT,0.6557788944723617,0.007834380302989328,0.0006280360495789016,0.0044408854948685215,0.008071496191468523
WT,0.6667085427135678,0.007857470527471416,0.0006332215419781364,0.004477552463261423,0.008082372840648486
WT,0.6776381909547738,0.00797839640869952,0.0006504092292551625,0.004599087765526412,0.008093249489828447
WT,0.6885678391959799,0.00812773492447958,0.0006666904788908964,0.0047142135857625965,0.008104126139008409
WT,0.6994974874371859,0.008245134628168378,0.0006763740129860375,0.004782686512007851,0.00811500278818837
WT,0.7104271356783919,0.008283073485358313,0.0006773400397230797,0.004789517352573551,0.008125879437368332
WT,0.7213567839195979,0.008237924841567455,0.0006821732455336845,0.004823693278609041,0.008136756086548293
WT,0.7322864321608039,0.008132306999070676,0.0006714347164674072,0.004747760411381705,0.008147632735728254
WT,0.74321608040201,0.008044835880309787,0.000647532945994078,0.00457874937154115,0.008158509384908216
WT,0.754145728643216,0.007996364832458995,0.0006337722739135214,0.004481446726122691,0.008169386034088177
WT,0.7650753768844221,0.007996384499442158,0.0006349362279525121,0.004489677124062288,0.008180262683268139
WT,0.7760050251256281,0.008073810027256384,0.0006511147815078056,0.004604076773349666,0.0081911393324481
WT,0.7869346733668341,0.008184181215125184,0.000671665620610666,0.004749393150236729,0.008202015981628062
WT,0.7978643216080401,0.00828883495538098,0.0006926428929113504,0.004897724865182835,0.008212892630808023
WT,0.8087939698492461,0.008338959791880773,0.0007097251321684096,0.0050185145373480115,0.008223769279987985
WT,0.8197236180904522,0.008286144896784614,0.0007207418882412525,0.005096414766605864,0.008234645929167946
WT,0.8306532663316583,0.008183618481958133,0.0007202518505736972,0.005092949677028212,0.008245522578347908
WT,0.8415829145728643,0.008105424188640721,0.0007117667827526481,0.005032951187077297,0.00825639922752787
WT,0.8525125628140703,0.008046876412667173,0.0006854273107992568,0.004846702994766138,0.00826727587670783
WT,0.8634422110552763,0.008002277822209395,0.000665732311788441,0.004707438321206036,0.008278152525887792
WT,0.8743718592964823,0.008006794613478635,0.0006578724167257971,0.004651860470223934,0.008289029175067754
WT,0.8853015075376883,0.008036194792919189,0.000658518180119313,0.004656426706969905,0.008299905824247715
WT,0.8962311557788945,0.008084491513246129,0.0006673039139889443,0.004718551226939071,0.008310782473427676
WT,0.9071608040201005,0.008167130380384231,0.000685782494766127,0.004849214524681564,0.008321659122607638
WT,0.9180904522613065,0.00830472564870601,0.0007258087571562333,0.005132242940297527,0.008332535771787601
WT,0.9290201005025125,0.008391562318712525,0.0007522479777591545,0.005319196462073654,0.008343412420967563
WT,0.9399497487437185,0.008395401784564433,0.0007691264202000172,0.005438545073131662,0.008354289070147524
WT,0.9508793969849245,0.008375065845023642,0.0007657853881490152,0.00541492040893741,0.008365165719327486
