condition_key,B_hat_rad2_per_s,r_squared,n_trials,delay_ms,amplitude_factor
WT,0.000995150890488435,0.6806147461418408,50,3000.0,15.0
WT_APP,0.006654019445016688,0.4724035537608583,50,3000.0,15.0
a7_KO,17.138806159837788,0.9800916567902985,50,3000.0,15.0
a7_KO_APP,4.462183173938651,0.9944430135291433,50,3000.0,15.0
b2_KO,0.018839739321272503,0.5600191204180733,50,3000.0,15.0
b2_KO_APP,63.42155826623057,0.998907400551856,50,3000.0,15.0
a5_KO,0.0009842224210175488,0.6790620163816707,50,3000.0,15.0
a5_KO_APP,0.006610196706426253,0.4725877218811597,50,3000.0,15.0
