condition_key,amplitude,trial_idx,seed,eval_time_ms,center_mean_deg,center_std_deg,amplitude_mean,width_mean_deg,drift_rate_deg_per_s,diffusion_deg2_per_s,error_from_cue_deg
WT,15.0,1,1662057957,10950.0,178.40475936287342,4.385082631082629,0.23800822990284962,57.34734756683986,-123.95724214950874,300.1449158541227,1.5952406371265795
WT,15.0,1,1662057957,11150.0,179.99774722413542,3.570593319770931,0.2564575268429156,58.136423489575215,12.875177399523068,120.50261374522617,0.002252775864576506
WT,15.0,1,1662057957,11350.0,178.29580686575844,2.3794835235772904,0.2846850774498152,57.81666247310484,-1.7130270441798245,38.01238614021477,1.7041931342415637
WT,15.0,1,1662057957,11550.0,180.75423570061932,3.0920029900699224,0.279188183252917,58.29074092678322,28.395085679337768,53.33077226206813,0.7542357006193185
WT,15.0,1,1662057957,11750.0,178.77456722290583,2.3711160110646903,0.2781639554460597,58.25557487025662,-38.76439155009564,85.17815040078872,1.22543277709417
WT,15.0,1,1662057957,11950.0,179.78609803121958,1.984664395564756,0.2736230856630439,58.17205224327688,15.3859140861546,28.74751421920257,0.21390196878041934
WT,15.0,1,1662057957,12150.0,179.5295205679929,2.2003020085969562,0.2717343533119189,58.15403570451569,6.391990221123507,25.37595401153742,0.47047943200709597
WT,15.0,1,1662057957,12350.0,179.16061497630693,3.35069150799332,0.2709258317078651,58.08947673984725,-15.559282839256241,52.918136332421255,0.8393850236930689
WT,15.0,1,1662057957,12550.0,179.33971870324217,1.782676563899503,0.2615019017451888,58.18704142631665,1.828508395713584,31.197416177375235,0.6602812967578302
WT,15.0,1,1662057957,12750.0,182.08247372093817,4.556642556470889,0.2509674454082422,58.19830896190996,35.68823886029918,255.43345589905863,2.082473720938168
WT,15.0,1,1662057957,12950.0,178.97551441558502,3.0808749490112013,0.24931680107608212,58.18797578894087,-45.40374407918634,125.34778976188252,1.0244855844149754
WT,15.0,1,1662057957,13150.0,180.23417133819797,2.826076286510719,0.2351140051978594,58.309816163743804,12.599264075416272,131.42278574547413,0.23417133819796732
WT,15.0,1,1662057957,13350.0,180.7144536832914,3.8257886999651682,0.23821731910588242,58.222168197528376,34.927635525719865,233.76645722052206,0.7144536832913957
WT,15.0,1,1662057957,13550.0,179.37670924724236,3.6790947530852565,0.23075487011706705,58.45503124685698,-35.99268679771072,123.99575661350302,0.6232907527576401
WT,15.0,1,1662057957,13750.0,181.25204417736464,4.03922881790386,0.22472486349150558,58.32304042427135,-41.07588643334026,84.36142231423332,1.2520441773646382
WT,15.0,1,1662057957,full_delay,179.73450477015777,3.378653798901301,0.257347177143561,57.86536987355343,-9.230103685056537,113.76936654055218,0.2654952298422302
WT,15.0,0,191664963,10950.0,182.72655673467554,7.161154784849357,0.2559771409402867,56.87846560502451,-118.52969315061628,870.4633503531094,2.7265567346755404
WT,15.0,0,191664963,11150.0,180.22597080396113,2.4092051210662735,0.2761253496638688,58.077084862704325,-21.368520453358855,43.08246800947188,0.22597080396113256
WT,15.0,0,191664963,11350.0,180.68930788292946,1.1051034273321467,0.2869972927571276,57.60727203647271,10.618816941790357,7.316329066628835,0.6893078829294552
WT,15.0,0,191664963,11550.0,180.87722864748656,3.181345691400755,0.2870744651573585,57.52431549569212,-36.10915687106342,112.71984518590045,0.8772286474865609
WT,15.0,0,191664963,11750.0,179.5826529198825,2.011212282814044,0.28269183718271473,57.49588647709625,10.632045896989553,43.73028535641805,0.41734708011750854
WT,15.0,0,191664963,11950.0,180.48201222072882,2.5876081159145583,0.27939780186208657,57.26728498030709,1.3913417423835028,101.03833483898626,0.48201222072881933
WT,15.0,0,191664963,12150.0,179.63242051517108,2.904746565080298,0.27241521275607344,58.13327988584196,9.517910671875569,84.9645471628448,0.3675794848289229
WT,15.0,0,191664963,12350.0,179.25830267106454,2.452812656524778,0.27209668595661746,58.029160819490315,-24.081567431180275,17.276225412567733,0.7416973289354587
WT,15.0,0,191664963,12550.0,179.62635208184065,4.467402205185419,0.2647893356246301,57.84307388306097,34.63486971207985,252.88150699683442,0.3736479181593495
WT,15.0,0,191664963,12750.0,179.6368092075134,1.8730887750360943,0.25260475916334013,57.81249760072221,-0.8945142188292721,40.919869016995364,0.36319079248659136
