condition_key,trial_idx,displacement_deg,valid
WT,2,0.0059807850446400865,1
WT,1,-0.020774244866076305,1
WT,8,0.004037525334922497,1
WT,9,-0.07504032442240512,1
WT,4,0.003574181854381412,1
WT,0,0.050672585285349465,1
WT,6,-0.0779217858727409,1
WT,3,-0.11680478418687702,1
WT,5,0.08839571788392249,1
WT,7,0.0688866768716202,1
WT,15,0.07508427269798164,1
WT,17,0.006835234192107148,1
WT,10,-0.012442123320676055,1
WT,12,-0.005608383849121233,1
WT,14,-0.08387296577551817,1
WT,11,-0.010362848787585572,1
WT,19,0.051649122379706966,1
WT,16,0.02571258261196036,1
WT,13,-0.048920262326680806,1
WT,18,0.07976767749989122,1
WT,20,0.007879993584503985,1
WT,22,-0.03746163038800772,1
WT,24,-0.014909356574525258,1
WT,25,-0.03235859984313116,1
WT,23,5.218083112546709e-05,1
WT,21,0.003480897484410841,1
WT,27,0.0050256574903926226,1
WT,28,-0.007371880824453007,1
WT,26,-0.05265549336849352,1
WT,29,0.04206577090991211,1
WT,30,-0.017408844704133276,1
WT,31,0.007424806830355571,1
WT,34,0.0070857596115181404,1
WT,33,-0.08686749991159323,1
WT,32,0.020042190122451797,1
WT,35,0.015212428391095918,1
WT,36,-0.010357885778281858,1
WT,37,-0.02671344127705538,1
WT,38,-0.029710806222162014,1
WT,39,0.007060977447940201,1
WT,40,-0.004599920630653011,1
WT,41,-0.014685958360462286,1
WT,42,0.00074997938513428,1
WT,46,-0.07719997849389561,1
WT,43,0.017124689886966776,1
WT,45,0.011085667698362752,1
WT,48,-0.0978947686146633,1
WT,44,0.0012125875385316728,1
WT,47,-0.10739654233457344,1
WT,49,-0.011310200437882927,1
WT_APP,0,-0.0211367172006914,1
WT_APP,1,0.0009596640304311767,1
WT_APP,2,-0.083325523479849,1
WT_APP,3,-0.1023403354124773,1
WT_APP,7,0.04885386562374764,1
WT_APP,5,-0.02158471737726608,1
WT_APP,4,0.0036871197507068374,1
WT_APP,6,0.004512878934483916,1
WT_APP,8,0.054146025567007275,1
WT_APP,9,-0.0008918001668845575,1
WT_APP,10,-0.0008931020812706494,1
WT_APP,11,-0.013322109714002318,1
WT_APP,12,-0.002311280775273874,1
WT_APP,13,0.058009271986951765,1
WT_APP,14,0.008958443547282298,1
WT_APP,16,-0.046688250296758216,1
WT_APP,17,-0.025278076571221393,1
WT_APP,15,0.04822718647534486,1
WT_APP,18,0.02337280263673774,1
WT_APP,19,0.015350676103494271,1
WT_APP,20,0.010199986020038687,1
WT_APP,21,0.010691398621700711,1
WT_APP,22,0.02544572112963335,1
