condition_key,t_s,amp_mean,amp_sem,survival_frac,noise_threshold
WT,0.0,0.6870769698013036,0.0032027316715750793,1.0,
WT,0.005,0.6645643040212784,0.0034923820947064827,1.0,
WT,0.01,0.6401953720824817,0.0036929883867171305,1.0,
WT,0.015,0.6140577483635155,0.0038386633959341656,1.0,
WT,0.02,0.589178382993962,0.003852493177205509,1.0,
WT,0.025,0.5636616734836333,0.00378280829014451,1.0,
WT,0.03,0.5385716983024996,0.0036958623815785867,1.0,
WT,0.035,0.5152597267888311,0.003500800667912592,1.0,
WT,0.04,0.4953822095258068,0.003230217222964344,1.0,
WT,0.045,0.4784330894039597,0.00301433744342975,1.0,
WT,0.05,0.46495385567952346,0.0027683440707952484,1.0,
WT,0.055,0.4569034668645065,0.0027157537786626188,1.0,
WT,0.06,0.45482817761837824,0.002891859376902648,1.0,
WT,0.065,0.45792739544002076,0.003266392577426256,1.0,
WT,0.07,0.46670104696528286,0.003835223412473675,1.0,
WT,0.075,0.4817415708879453,0.0045854481205303,1.0,
WT,0.08,0.5024461114422256,0.005247427831749066,1.0,
WT,0.085,0.5279541371417971,0.005873268088704618,1.0,
WT,0.09,0.558918504294843,0.006321143173455618,1.0,
WT,0.095,0.5914826377778656,0.006538937218788448,1.0,
WT,0.1,0.6257603333307284,0.006473301344922755,1.0,
WT,0.105,0.658626788776002,0.006136273266578141,1.0,
WT,0.11,0.6879417558329486,0.005622525805989099,1.0,
WT,0.115,0.7134160215733856,0.004917659402146685,1.0,
WT,0.12,0.7321172033058254,0.004136036560336371,1.0,
WT,0.125,0.7444803883933472,0.00334801298683858,1.0,
WT,0.13,0.7495634172018033,0.0027002469711059486,1.0,
WT,0.135,0.7487164497998753,0.0024460402699955884,1.0,
WT,0.14,0.7422065726967793,0.002532595157736556,1.0,
WT,0.145,0.7305721114099927,0.002812890954732314,1.0,
WT,0.15,0.7159202305015191,0.003140024881877279,1.0,
WT,0.155,0.6980163404856318,0.0034740825062814663,1.0,
