offset_deg,amp_factor,trial_idx,cue_peak_amp_pre,cue_peak_amp_post,dist_peak_amp_pre,dist_peak_amp_post,merged_fraction_pre,merged_fraction_post,trough_depth_pre,trough_depth_post,osc_freq_pre_hz,osc_freq_post_hz
30.0,0.75,2,11.830242485726554,15.78169036004317,11.736466338820879,15.78169036004317,1.0,1.0,nan,nan,5.97014925373041,5.970149253732531
30.0,0.75,9,12.081110217009854,15.985509229414694,12.032851760377584,15.985509229414694,1.0,1.0,11.901712068712616,nan,5.97014925373041,5.970149253732531
30.0,0.75,3,11.940534131149846,15.023098481447922,11.940534131149846,15.023098481447922,1.0,1.0,nan,nan,5.97014925373041,5.970149253732531
30.0,0.75,7,11.711316312480331,16.102708875076697,11.711316312480331,16.102708875076697,1.0,1.0,nan,nan,5.97014925373041,5.970149253732531
30.0,0.75,4,11.776757892053622,15.148822932290113,11.765459151874904,15.148822932290113,1.0,1.0,11.609620702579074,nan,5.97014925373041,5.970149253732531
30.0,0.75,0,12.052523846543782,14.93745118499271,12.052523846543782,14.93745118499271,1.0,1.0,nan,nan,5.97014925373041,5.970149253732531
30.0,0.75,5,11.752879706525977,14.749966848074367,11.752879706525977,14.749966848074367,1.0,1.0,nan,nan,5.97014925373041,5.970149253732531
30.0,0.75,1,11.747782614698952,14.77609467389852,11.721838554374404,14.77609467389852,1.0,1.0,nan,nan,5.97014925373041,5.970149253732531
30.0,0.75,8,11.981747571105549,15.061487007309013,11.963889964478597,15.061487007309013,1.0,1.0,12.595390782429117,nan,5.97014925373041,5.970149253732531
30.0,0.75,6,11.754295271303581,14.896809199416262,11.71011160071559,14.896809199416262,1.0,1.0,11.395838062278827,nan,5.97014925373041,5.970149253732531
30.0,1.0,1,11.747782614698952,16.829931018775493,11.721838554374404,16.829931018775493,1.0,1.0,nan,nan,5.97014925373041,5.970149253732531
30.0,1.0,7,11.711316312480331,17.59886815147535,11.711316312480331,17.59886815147535,1.0,1.0,nan,nan,5.97014925373041,5.970149253732531
30.0,1.0,2,11.830242485726554,17.63718424809986,11.736466338820879,17.63718424809986,1.0,1.0,nan,nan,5.97014925373041,5.970149253732531
30.0,1.0,4,11.776757892053622,17.3513360953615,11.765459151874904,17.3513360953615,1.0,1.0,11.609620702579074,nan,5.97014925373041,5.970149253732531
30.0,1.0,0,12.052523846543782,17.918191091440693,12.052523846543782,17.918191091440693,1.0,1.0,nan,nan,5.97014925373041,5.970149253732531
30.0,1.0,8,11.981747571105549,17.35614359039275,11.963889964478597,17.35614359039275,1.0,1.0,12.595390782429117,nan,5.97014925373041,5.970149253732531
30.0,1.0,3,11.940534131149846,17.47745978486787,11.940534131149846,17.47745978486787,1.0,1.0,nan,nan,5.97014925373041,5.970149253732531
30.0,1.0,6,11.754295271303581,16.743113712474717,11.71011160071559,16.743113712474717,1.0,1.0,11.395838062278827,nan,5.97014925373041,5.970149253732531
30.0,1.0,5,11.752879706525977,16.95968926093221,11.752879706525977,16.95968926093221,1.0,1.0,nan,nan,5.97014925373041,5.970149253732531
30.0,1.0,9,12.081110217009854,17.85476001305196,12.032851760377584,17.85476001305196,1.0,1.0,11.901712068712616,nan,5.97014925373041,5.970149253732531
90.0,0.75,2,11.830242485726554,8.493038263524193,1.2641465630564164,7.5254314387843335,0.8,0.5714285714285714,1.1125257840555531,6.283718617849989,5.97014925373041,6.96517412935462
90.0,0.75,0,12.052523846543782,8.572553816773434,1.2813143683205852,7.377082896148848,0.4,0.5714285714285714,0.9159811726595493,5.653176178483546,5.97014925373041,6.96517412935462
90.0,0.75,3,11.940534131149846,9.00902558743673,1.4325573490162946,8.089158984287836,1.0,0.7142857142857143,1.3915933338333586,6.505145607618566,5.97014925373041,6.96517412935462
90.0,0.75,4,11.776757892053622,8.02292240636429,1.2149590689628373,6.654893891883481,0.6,0.5,1.028881592143004,4.853687412367316,5.97014925373041,7.960199004976708
90.0,0.75,1,11.747782614698952,8.103850599552953,1.461006543099754,7.191160967703721,0.4,0.42857142857142855,1.2111083678524608,5.102977483857941,5.97014925373041,6.96517412935462
90.0,0.75,5,11.752879706525977,7.8462080897740885,1.249622982776448,7.238441836845561,0.8,0.14285714285714285,1.0825511035054367,5.072142731962249,5.97014925373041,6.96517412935462
90.0,0.75,7,11.711316312480331,8.980257958331359,1.3761287295682112,7.9950921249607765,0.8,0.2857142857142857,1.3934871311188985,6.336909079819037,5.97014925373041,6.96517412935462
90.0,0.75,6,11.754295271303581,8.374334476627691,1.2653708989803436,7.140827601259313,0.5,0.5714285714285714,1.0480354310687254,5.660678291585542,5.97014925373041,7.960199004976708
90.0,0.75,8,11.981747571105549,8.65107585094388,1.3856427359372046,7.838138418236642,0.4,0.7142857142857143,1.4054039057599756,6.193419563717471,5.97014925373041,6.96517412935462
90.0,0.75,9,12.081110217009854,9.257473365868409,1.4428774994250024,7.892408685708283,0.6,0.7142857142857143,1.4428639044983826,6.383201290412528,5.97014925373041,6.96517412935462
90.0,1.0,1,11.747782614698952,7.0297922253762914,1.461006543099754,9.317621528662402,0.4,0.8571428571428571,1.2111083678524608,5.729215490288476,5.97014925373041,5.970149253732531
90.0,1.0,3,11.940534131149846,8.42124803974702,1.4325573490162946,10.12288869351753,1.0,0.6666666666666666,1.3915933338333586,6.884822786341384,5.97014925373041,6.96517412935462
90.0,1.0,2,11.830242485726554,8.917408027833153,1.2641465630564164,9.559411611846889,0.8,0.8333333333333334,1.1125257840555531,7.1676189927356795,5.97014925373041,6.96517412935462
90.0,1.0,0,12.052523846543782,7.310100865459466,1.2813143683205852,8.530553446851508,0.4,0.25,0.9159811726595493,5.175861712365155,5.97014925373041,7.960199004976708
90.0,1.0,6,11.754295271303581,8.60394660686869,1.2653708989803436,9.289670481715163,0.5,0.75,1.0480354310687254,6.431085088788533,5.97014925373041,6.96517412935462
90.0,1.0,4,11.776757892053622,8.08822457498243,1.2149590689628373,9.345842134571463,0.6,0.375,1.028881592143004,6.101691568981627,5.97014925373041,6.96517412935462
90.0,1.0,7,11.711316312480331,7.973811368468538,1.3761287295682112,9.426212572480578,0.8,0.5714285714285714,1.3934871311188985,6.235239625315748,5.97014925373041,6.96517412935462
90.0,1.0,5,11.752879706525977,8.652191569242275,1.249622982776448,9.607259822529945,0.8,0.5,1.0825511035054367,6.861721766317429,5.97014925373041,5.970149253732531
90.0,1.0,8,11.981747571105549,9.022902248898344,1.3856427359372046,9.8412622899947,0.4,0.5714285714285714,1.4054039057599756,6.977408348979944,5.97014925373041,5.970149253732531
90.0,1.0,9,12.081110217009854,9.214832870547092,1.4428774994250024,10.558593422495173,0.6,0.8333333333333334,1.4428639044983826,7.651672406765496,5.97014925373041,5.970149253732531
120.0,0.75,0,12.052523846543782,8.321148214114318,0.6715871855766838,3.6739239476211147,0.0,0.0,0.0503844663068145,1.4792883286160958,5.97014925373041,6.96517412935462
120.0,0.75,1,11.747782614698952,7.760062741591604,0.6844451900538253,4.372706867322622,0.0,0.0,0.03335047706424821,1.86439563905381,5.97014925373041,6.96517412935462
120.0,0.75,2,11.830242485726554,7.044451276520819,0.6087393945106878,3.76258819299877,0.0,0.0,0.025009086331490637,1.3982281270490655,5.97014925373041,6.96517412935462
120.0,0.75,3,11.940534131149846,6.511441407072342,0.7182398387050001,4.170933889284596,0.0,0.0,0.04844929219576902,1.1845513778108483,5.97014925373041,6.96517412935462
120.0,0.75,5,11.752879706525977,6.494747187287856,0.7237097595344468,4.372386219431666,0.0,0.0,0.03233889645889041,1.1877339985514361,5.97014925373041,12.935323383087152
120.0,0.75,4,11.776757892053622,6.612223503149296,0.6639113248862378,5.011170245393734,0.0,0.0,0.03255270543386296,1.6158981659593155,5.97014925373041,6.96517412935462
120.0,0.75,6,11.754295271303581,7.255494310045561,0.6302995120659395,4.061908918000669,0.0,0.0,0.0883963323352986,1.3117401144559666,5.97014925373041,6.96517412935462
120.0,0.75,7,11.711316312480331,7.852989105598621,0.6416238501634106,4.312716172933147,0.0,0.0,0.08651445583444548,1.917606172374348,5.97014925373041,6.96517412935462
120.0,0.75,8,11.981747571105549,6.750618810503718,0.60511155934606,4.650361249959756,0.0,0.0,0.045434951800973,1.7454680371544906,5.97014925373041,6.96517412935462
120.0,0.75,9,12.081110217009854,8.07100526700757,0.5893451450826744,4.317838513940553,0.0,0.0,0.0651396613058995,1.7539658313193331,5.97014925373041,6.96517412935462
120.0,1.0,0,12.052523846543782,4.949090177771049,0.6715871855766838,6.915436057638624,0.0,0.0,0.0503844663068145,1.587967335105627,5.97014925373041,3.980099502488354
120.0,1.0,2,11.830242485726554,6.215447371066305,0.6087393945106878,6.332592878206483,0.0,0.0,0.025009086331490637,1.9628510450936103,5.97014925373041,6.96517412935462
120.0,1.0,1,11.747782614698952,5.10144535207426,0.6844451900538253,6.674281065992866,0.0,0.0,0.03335047706424821,1.3387872049495748,5.97014925373041,8.955223880598798
120.0,1.0,3,11.940534131149846,5.543504358406527,0.7182398387050001,6.661122807137046,0.0,0.0,0.04844929219576902,1.7547686525849813,5.97014925373041,3.980099502488354
120.0,1.0,6,11.754295271303581,7.098259946238982,0.6302995120659395,8.617797185778992,0.0,0.0,0.0883963323352986,3.3493479218074342,5.97014925373041,6.96517412935462
120.0,1.0,5,11.752879706525977,5.584710686406562,0.7237097595344468,7.387945161632554,0.0,0.0,0.03233889645889041,1.9262868394721515,5.97014925373041,6.96517412935462
120.0,1.0,4,11.776757892053622,7.132389015914856,0.6639113248862378,7.673385585538156,0.0,0.0,0.03255270543386296,2.9753299382008342,5.97014925373041,6.96517412935462
