condition_key,offset_deg,amp_factor,n_trials,cue_peak_amp_pre_mean,cue_peak_amp_pre_sd,cue_peak_amp_pre_sem,cue_peak_amp_post_mean,cue_peak_amp_post_sd,cue_peak_amp_post_sem,dist_peak_amp_pre_mean,dist_peak_amp_pre_sd,dist_peak_amp_pre_sem,dist_peak_amp_post_mean,dist_peak_amp_post_sd,dist_peak_amp_post_sem,merged_fraction_pre_mean,merged_fraction_pre_sd,merged_fraction_pre_sem,merged_fraction_post_mean,merged_fraction_post_sd,merged_fraction_post_sem,trough_depth_pre_mean,trough_depth_pre_sd,trough_depth_pre_sem,trough_depth_post_mean,trough_depth_post_sd,trough_depth_post_sem,osc_freq_pre_hz_mean,osc_freq_pre_hz_sd,osc_freq_pre_hz_sem,osc_freq_post_hz_mean,osc_freq_post_hz_sd,osc_freq_post_hz_sem,distractor_duration_ms,delay1_ms,delay2_ms,cue_amp_factor,window_ms,window_deg
WT,30,0.75,10,11.862919004859805,0.1383798141359455,0.04375953948603529,15.246363879196347,0.510441730103883,0.16141584799252065,11.83878713673419,0.14105059328248254,0.04460411400906906,15.246363879196347,0.510441730103883,0.16141584799252065,1.0,0.0,0.0,1.0,0.0,0.0,11.87564040399991,0.5227163372279285,0.16529741958209193,nan,nan,nan,5.97014925373041,0.0,0.0,5.970149253732531,0.0,0.0,250.0,1000.0,2500.0,20.0,1000.0,30.0
WT,30,1.0,10,11.862919004859805,0.1383798141359455,0.04375953948603529,17.372667696687238,0.41154268058330484,0.13014122250143959,11.838787136734188,0.14105059328248254,0.04460411400906906,17.372667696687238,0.41154268058330484,0.13014122250143959,1.0,0.0,0.0,1.0,0.0,0.0,11.87564040399991,0.5227163372279285,0.16529741958209193,nan,nan,nan,5.97014925373041,0.0,0.0,5.970149253732531,0.0,0.0,250.0,1000.0,2500.0,20.0,1000.0,30.0
WT,90,0.75,10,11.862919004859805,0.1383798141359455,0.04375953948603529,8.531074041519703,0.4606485998566338,0.1456698776514476,1.3373626739143096,0.09170163298599117,0.02899860253925596,7.494263684581878,0.4574052875125056,0.14464425223436908,0.6300000000000001,0.2110818693198342,0.06674994798166928,0.5214285714285715,0.19062494191664853,0.060280899529391245,1.2032431726495345,0.19143451040916384,0.060536907565216985,5.804505625767419,0.6205980053291054,0.19625032081972865,5.97014925373041,0.0,0.0,7.164179104479038,0.4195393247322068,0.13266998341627848,250.0,1000.0,2500.0,20.0,1000.0,30.0
WT,90,1.0,10,11.862919004859803,0.1383798141359455,0.04375953948603529,8.32344583974233,0.7234870735996048,0.22878670102646262,1.3373626739143096,0.09170163298599117,0.02899860253925596,9.559931600466536,0.5427013722988323,0.17161724257633199,0.6300000000000001,0.2110818693198342,0.06674994798166928,0.6208333333333333,0.20612109644477655,0.06518121385767288,1.2032431726495345,0.19143451040916384,0.060536907565216985,6.521633778687947,0.734482590774445,0.23226378885886212,5.97014925373041,0.0,0.0,6.666666666667993,0.6715906046872508,0.21237559659814664,250.0,1000.0,2500.0,20.0,1000.0,30.0
WT,120,0.75,10,11.862919004859803,0.1383798141359455,0.04375953948603529,7.26741818228917,0.6877039560065886,0.2174710856889053,0.6537012759924966,0.0467303169046661,0.014777423720021436,4.270653421688662,0.392292120704787,0.12405366095648251,0.0,0.0,0.0,0.0,0.0,0.0,0.05075703250676924,0.022540160218349144,0.0071278245115101516,1.5458875792344708,0.2723466223121921,0.086123563956016,5.97014925373041,0.0,0.0,7.562189054727874,1.8879269612949308,0.5970149253732532,250.0,1000.0,2500.0,20.0,1000.0,30.0
WT,120,1.0,10,11.862919004859803,0.1383798141359455,0.04375953948603529,6.119947730435152,0.8806168916719532,0.27847551237011353,0.6537012759924966,0.0467303169046661,0.014777423720021436,7.387624551362265,0.7224017448105868,0.2284434899281177,0.0,0.0,0.0,0.0,0.0,0.0,0.05075703250676923,0.02254016021834914,0.007127824511510151,2.405946983317814,0.8137305727553905,0.25732420116203913,5.97014925373041,0.0,0.0,6.567164179105785,1.498055030267126,0.47372659559165975,250.0,1000.0,2500.0,20.0,1000.0,30.0
WT,170,0.75,10,11.862919004859805,0.1383798141359455,0.04375953948603529,6.012636443742794,0.41256795348222475,0.13046544225982262,0.636332220918326,0.037603330516509,0.011891217204028429,3.947440342582978,0.2953313629996027,0.0933919771560722,0.0,0.0,0.0,0.0,0.0,0.0,0.012051370210329853,0.00661710611622059,0.0020925126846287915,0.04990441432632483,0.01691532261422872,0.005349094681751647,5.97014925373041,0.0,0.0,7.363184079603455,2.0010750419902297,0.6327954901606204,250.0,1000.0,2500.0,20.0,1000.0,30.0
WT,170,1.0,10,11.862919004859803,0.1383798141359455,0.04375953948603529,4.887084249171496,0.17348418072039784,0.05486051490847279,0.636332220918326,0.037603330516509,0.011891217204028429,5.912999869773565,0.32260729065835997,0.10201738282563788,0.0,0.0,0.0,0.0,0.0,0.0,0.012051370210329853,0.00661710611622059,0.0020925126846287915,0.050715775439464775,0.01700575222579357,0.005377691035798569,5.97014925373041,0.0,0.0,8.855721393036587,2.501893487980081,0.7911681885160156,250.0,1000.0,2500.0,20.0,1000.0,30.0
