condition_key,mean_deg,std_deg,abs_mean_deg,n_valid,n_total,delay_ms,amplitude_factor,seed,n_trials
WT,-0.009491011646049251,0.046758805094638804,0.03373500960081668,50,50,5000.0,30.0,42,50
WT_APP,-0.004294828572521159,0.03951168725050379,0.02844434475286166,50,50,5000.0,30.0,42,50
a7_KO_APP,0.018699407188607787,0.17906884164812634,0.125748561058454,50,50,5000.0,30.0,42,50
