condition_key,offset_deg,A_hat_rad_per_s,A_hat_sem,A_hat_sd,n_trials,distractor_amplitude_factor,distractor_duration_ms,distractor_onset_ms
WT,0.0,-0.13672940827621094,0.07676437409770646,0.5428060947802921,50,15.0,200.0,1500.0
WT,10.0,-0.6444697741807598,0.06738155768383651,0.47645956365153314,50,15.0,200.0,1500.0
WT,20.0,-0.6334049918905822,0.0612017660848005,0.43276183819155295,50,15.0,200.0,1500.0
WT,30.0,-0.3372034219497758,0.05973209419488765,0.42236968859678664,50,15.0,200.0,1500.0
WT,40.0,-0.0011479685890451118,0.06106866782701476,0.43182069138510887,50,15.0,200.0,1500.0
WT,50.0,0.36306240760810604,0.05607308034632032,0.39649655354901214,50,15.0,200.0,1500.0
WT,60.0,0.5367241459243435,0.05784826871723336,0.40904903089857325,50,15.0,200.0,1500.0
WT,70.0,0.5455073278290157,0.06198136038225993,0.4382744023346322,50,15.0,200.0,1500.0
WT,80.0,0.5097423633421027,0.06501548499631754,0.45972890323028376,50,15.0,200.0,1500.0
WT,90.0,0.4224053976252426,0.06316742003293752,0.44666111055349084,50,15.0,200.0,1500.0
WT,100.0,0.3431677701517465,0.062300405489642316,0.44053039192397697,50,15.0,200.0,1500.0
WT,110.0,0.30707049371498035,0.06336137078318928,0.44803254946068327,50,15.0,200.0,1500.0
WT,120.0,0.28358162367497614,0.06509206262158403,0.4602703888114147,50,15.0,200.0,1500.0
WT,130.0,0.2298061274886078,0.06557850780646242,0.4637100757004452,50,15.0,200.0,1500.0
WT,140.0,0.1575002573041224,0.06277076054883501,0.44385630444318247,50,15.0,200.0,1500.0
WT,150.0,0.12089456689095716,0.05879264637628029,0.41572678936570495,50,15.0,200.0,1500.0
WT,160.0,0.08603873959020775,0.055882479857511214,0.3951488045676683,50,15.0,200.0,1500.0
WT,170.0,0.03908950494731664,0.053632991256620285,0.37924251812875015,50,15.0,200.0,1500.0
WT,180.0,-0.013505043556298847,0.05335105343263161,0.3772489166565964,50,15.0,200.0,1500.0
WT_APP,0.0,-0.3161787342453212,0.19623553517349393,1.3875947763094882,50,15.0,200.0,1500.0
WT_APP,10.0,-0.7077583177028175,0.18845833084289754,1.3326016371011074,50,15.0,200.0,1500.0
WT_APP,20.0,-1.064950900454886,0.21445187724954423,1.5164037664133783,50,15.0,200.0,1500.0
WT_APP,30.0,-0.9476684822063186,0.1992602320892079,1.408982613310842,50,15.0,200.0,1500.0
WT_APP,40.0,-0.6969876161819771,0.16532079739402414,1.168994569084818,50,15.0,200.0,1500.0
WT_APP,50.0,-0.5127174411899552,0.1356042942064912,0.9588671599142559,50,15.0,200.0,1500.0
WT_APP,60.0,-0.28023871373536124,0.09958554883094511,0.7041761688654535,50,15.0,200.0,1500.0
WT_APP,70.0,-0.27374594342346287,0.09930665501897466,0.7022040918087008,50,15.0,200.0,1500.0
WT_APP,80.0,-0.3591982714006426,0.10040079560014016,0.709940834053836,50,15.0,200.0,1500.0
WT_APP,90.0,-0.47136660839724287,0.08997223914122311,0.6361998041529657,50,15.0,200.0,1500.0
WT_APP,100.0,-0.5035051112388709,0.092907150648791,0.6569527624448026,50,15.0,200.0,1500.0
WT_APP,110.0,-0.4978235526751886,0.10545279769319398,0.7456638834395057,50,15.0,200.0,1500.0
WT_APP,120.0,-0.464478213074009,0.10790514705365073,0.7630046120656804,50,15.0,200.0,1500.0
WT_APP,130.0,-0.4609959049826715,0.1071338882994788,0.7575509891144357,50,15.0,200.0,1500.0
WT_APP,140.0,-0.46709238938976944,0.10644870514379091,0.7527060125570187,50,15.0,200.0,1500.0
WT_APP,150.0,-0.368975432463084,0.10208440572883479,0.7218457554425792,50,15.0,200.0,1500.0
WT_APP,160.0,-0.24498073894336414,0.1033924046346803,0.7310947044036588,50,15.0,200.0,1500.0
WT_APP,170.0,-0.18700505355694627,0.10566321743874503,0.7471517757292528,50,15.0,200.0,1500.0
WT_APP,180.0,-0.10290195274124433,0.1059177077007415,0.7489512936292892,50,15.0,200.0,1500.0
a7_KO,0.0,1.2898451706280025,1.4568229316832182,10.3012937398127,50,15.0,200.0,1500.0
a7_KO,10.0,-2.6054324406876908,1.3735706875441847,9.712611476015613,50,15.0,200.0,1500.0
a7_KO,20.0,-4.111834136133452,1.0754681618245585,7.6047083017637656,50,15.0,200.0,1500.0
a7_KO,30.0,-4.183954305598658,0.6539473544136396,4.624106088448872,50,15.0,200.0,1500.0
a7_KO,40.0,-2.3834245649812402,0.4746747088865059,3.356457055113987,50,15.0,200.0,1500.0
a7_KO,50.0,-1.5939192020282085,0.40727986449177284,2.8799035402287076,50,15.0,200.0,1500.0
a7_KO,60.0,-1.1875785497233142,0.43335756702157013,3.06430074319456,50,15.0,200.0,1500.0
a7_KO,70.0,-1.2743950486771964,0.5079121856087765,3.5914815069124626,50,15.0,200.0,1500.0
a7_KO,80.0,-1.4453102706943521,0.5043298364294612,3.5661504729397433,50,15.0,200.0,1500.0
a7_KO,90.0,-1.6047831079080548,0.4838702357892939,3.421479249409434,50,15.0,200.0,1500.0
a7_KO,100.0,-1.5865056330951501,0.45612266712813776,3.225274309792006,50,15.0,200.0,1500.0
a7_KO,110.0,-1.3559719185513586,0.4418058181866544,3.124038900074542,50,15.0,200.0,1500.0
a7_KO,120.0,-1.054517843807434,0.42412727560700525,2.999032726678892,50,15.0,200.0,1500.0
a7_KO,130.0,-0.7536068256678938,0.40508309351288935,2.8643700236698844,50,15.0,200.0,1500.0
a7_KO,140.0,-0.4558700295612043,0.390505257360633,2.7612891556870154,50,15.0,200.0,1500.0
a7_KO,150.0,-0.22509524751138876,0.39137786613488695,2.7674594315029943,50,15.0,200.0,1500.0
a7_KO,160.0,0.04882892681759215,0.38069520458312733,2.6919216072592937,50,15.0,200.0,1500.0
a7_KO,170.0,0.3497231358969567,0.4035422466533535,2.853474591038406,50,15.0,200.0,1500.0
a7_KO,180.0,0.5898499518403777,0.39425636199701647,2.787813470940286,50,15.0,200.0,1500.0
a7_KO_APP,0.0,0.29570025982692344,1.628602713730037,11.51596022737323,50,15.0,200.0,1500.0
a7_KO_APP,10.0,-1.1542622169474275,1.3969400599610986,9.877857893096351,50,15.0,200.0,1500.0
a7_KO_APP,20.0,-3.211078320242829,1.0406507793800683,7.358512229467122,50,15.0,200.0,1500.0
a7_KO_APP,30.0,-3.407535272993697,0.7275268911757918,5.144391982459698,50,15.0,200.0,1500.0
a7_KO_APP,40.0,-2.6411852999270926,0.5240325312162022,3.7054695638532773,50,15.0,200.0,1500.0
a7_KO_APP,50.0,-2.3705583014028586,0.3740496170332892,2.644930207044699,50,15.0,200.0,1500.0
a7_KO_APP,60.0,-1.6826711684457807,0.4129806245140908,2.9202140009256894,50,15.0,200.0,1500.0
a7_KO_APP,70.0,-1.8787364762933627,0.35025973398047755,2.476710330741919,50,15.0,200.0,1500.0
a7_KO_APP,80.0,-1.8429351326895256,0.32043655394482967,2.26582860234438,50,15.0,200.0,1500.0
a7_KO_APP,90.0,-2.0007945480315805,0.3202561520789481,2.2645529685173447,50,15.0,200.0,1500.0
a7_KO_APP,100.0,-2.0616442263650887,0.3562224160863393,2.5188728602530643,50,15.0,200.0,1500.0
a7_KO_APP,110.0,-1.881900678208926,0.3399387624164555,2.4037300409283837,50,15.0,200.0,1500.0
a7_KO_APP,120.0,-1.5782013231558063,0.31430354555371676,2.222461684120081,50,15.0,200.0,1500.0
a7_KO_APP,130.0,-1.2703862349095785,0.2708491790245004,1.9151929116703343,50,15.0,200.0,1500.0
a7_KO_APP,140.0,-0.9933793882809041,0.2539112704705114,1.7954238116939019,50,15.0,200.0,1500.0
a7_KO_APP,150.0,-0.7434604348246798,0.2550872735793287,1.803739409423314,50,15.0,200.0,1500.0
a7_KO_APP,160.0,-0.41096653073843303,0.24266357926113638,1.7158906244254881,50,15.0,200.0,1500.0
a7_KO_APP,170.0,-0.11701220987305834,0.23825135246598475,1.6846914695556408,50,15.0,200.0,1500.0
a7_KO_APP,180.0,0.17376266823092387,0.24135234218763263,1.706618778161311,50,15.0,200.0,1500.0
b2_KO,0.0,0.14208310278939446,0.45586715366876973,3.22346755679397,50,15.0,200.0,1500.0
b2_KO,10.0,-0.9613030357665454,0.4302026514954842,3.0419921215688994,50,15.0,200.0,1500.0
b2_KO,20.0,-1.6422898736230045,0.34932145555447636,2.470075700365254,50,15.0,200.0,1500.0
b2_KO,30.0,-1.6631221492670951,0.29253160554656893,2.0685108199336715,50,15.0,200.0,1500.0
b2_KO,40.0,-1.3409655787596322,0.23143679598951297,1.6365052786027219,50,15.0,200.0,1500.0
b2_KO,50.0,-1.0379344466150182,0.18740303976660602,1.3251396023393935,50,15.0,200.0,1500.0
b2_KO,60.0,-0.668349413745911,0.13805588359783819,0.9762025147473204,50,15.0,200.0,1500.0
b2_KO,70.0,-0.7195680790286004,0.14469303209777282,1.0231342418677796,50,15.0,200.0,1500.0
b2_KO,80.0,-0.8511931036686315,0.14423996666223168,1.0199305854498557,50,15.0,200.0,1500.0
b2_KO,90.0,-1.0575301621489293,0.141621380743983,1.0014143868507233,50,15.0,200.0,1500.0
b2_KO,100.0,-1.089384557382252,0.153997434896088,1.0889263050035771,50,15.0,200.0,1500.0
b2_KO,110.0,-1.0059964962392556,0.1534282546253205,1.084901592711804,50,15.0,200.0,1500.0
b2_KO,120.0,-0.8986544453227113,0.15082332863423803,1.066481984383969,50,15.0,200.0,1500.0
b2_KO,130.0,-0.819990420477863,0.1518028641164757,1.073408346203,50,15.0,200.0,1500.0
b2_KO,140.0,-0.7682536220649677,0.1496800520597975,1.0583977981983828,50,15.0,200.0,1500.0
b2_KO,150.0,-0.6097655181809941,0.14424456786636392,1.0199631208762912,50,15.0,200.0,1500.0
b2_KO,160.0,-0.3979081255588597,0.14260245708210958,1.0083516441662328,50,15.0,200.0,1500.0
b2_KO,170.0,-0.2563013929449103,0.14168843335828393,1.0018885204334078,50,15.0,200.0,1500.0
b2_KO,180.0,-0.09962806875846679,0.1434000662464683,1.013991592654779,50,15.0,200.0,1500.0
b2_KO_APP,0.0,-0.786917741727709,1.008544975955813,7.131489916299789,50,15.0,200.0,1500.0
b2_KO_APP,10.0,-2.3895375704286295,0.9807964612509237,6.93527828714297,50,15.0,200.0,1500.0
b2_KO_APP,20.0,-2.752101957561773,0.8105376962651548,5.731367014364133,50,15.0,200.0,1500.0
b2_KO_APP,30.0,-3.6481900644958833,0.4433727383762189,3.135118698990734,50,15.0,200.0,1500.0
b2_KO_APP,40.0,-2.811680574943037,0.477597494954055,3.377124273597202,50,15.0,200.0,1500.0
b2_KO_APP,50.0,-2.7380249614087346,0.2703627490241967,1.9117533321524616,50,15.0,200.0,1500.0
b2_KO_APP,60.0,-2.179722697977063,0.2714887683161353,1.9197154909232277,50,15.0,200.0,1500.0
b2_KO_APP,70.0,-1.9745812720604152,0.2986082823846979,2.1114794139268733,50,15.0,200.0,1500.0
b2_KO_APP,80.0,-2.203807792492586,0.27973701261427747,1.978039385684224,50,15.0,200.0,1500.0
b2_KO_APP,90.0,-2.4468688007247406,0.32126293238951914,2.2716719803650434,50,15.0,200.0,1500.0
b2_KO_APP,100.0,-2.256925513966846,0.3147775678014945,2.22581352757845,50,15.0,200.0,1500.0
b2_KO_APP,110.0,-1.9236661967258655,0.3116449148261702,2.2036623259588897,50,15.0,200.0,1500.0
b2_KO_APP,120.0,-1.5619245084945337,0.31143470329370326,2.20217590595798,50,15.0,200.0,1500.0
b2_KO_APP,130.0,-1.3813185473727263,0.30298090781419146,2.1423985448547103,50,15.0,200.0,1500.0
b2_KO_APP,140.0,-1.1759232476688335,0.2818609449284093,1.9930578551052627,50,15.0,200.0,1500.0
b2_KO_APP,150.0,-0.8872081978535653,0.2512488043621128,1.7765973332946217,50,15.0,200.0,1500.0
b2_KO_APP,160.0,-0.6233619223822459,0.23825706887276546,1.6847318906556275,50,15.0,200.0,1500.0
b2_KO_APP,170.0,-0.412166986522527,0.23008566557131466,1.6269513437929675,50,15.0,200.0,1500.0
b2_KO_APP,180.0,-0.13456317354022715,0.2376088827244567,1.6801485224462245,50,15.0,200.0,1500.0
a5_KO,0.0,-0.13625318372941753,0.07662913763029476,0.5418498285485868,50,15.0,200.0,1500.0
a5_KO,10.0,-0.6428496205414697,0.0672524237623239,0.4755464489357054,50,15.0,200.0,1500.0
a5_KO,20.0,-0.6319451617055485,0.06107443147562375,0.43186144653526676,50,15.0,200.0,1500.0
a5_KO,30.0,-0.33534138816647113,0.05955392377506643,0.4211098334761623,50,15.0,200.0,1500.0
a5_KO,40.0,0.001399524745154812,0.060859162698063414,0.4303392664113602,50,15.0,200.0,1500.0
a5_KO,50.0,0.3656478038462389,0.05595611109516803,0.3956694560422112,50,15.0,200.0,1500.0
a5_KO,60.0,0.5391461168747297,0.057764899839843446,0.4084595239131501,50,15.0,200.0,1500.0
a5_KO,70.0,0.5484100816524393,0.061902973555286615,0.4377201237655469,50,15.0,200.0,1500.0
a5_KO,80.0,0.5129685415488175,0.06495553806819344,0.45930501443640526,50,15.0,200.0,1500.0
a5_KO,90.0,0.42584452767727643,0.06312876338124845,0.4463877667480179,50,15.0,200.0,1500.0
a5_KO,100.0,0.34697016446297807,0.062257646386220056,0.4402280394041036,50,15.0,200.0,1500.0
a5_KO,110.0,0.31103097589895784,0.06331299787014495,0.4476905013122894,50,15.0,200.0,1500.0
a5_KO,120.0,0.28736001721371207,0.06505534866955569,0.46001078196698075,50,15.0,200.0,1500.0
a5_KO,130.0,0.2332117254918919,0.0655454840173585,0.46347656224828676,50,15.0,200.0,1500.0
a5_KO,140.0,0.1604898797944202,0.06272721892215168,0.44354841864826566,50,15.0,200.0,1500.0
a5_KO,150.0,0.12330807876463269,0.05875530850746055,0.41546277076333005,50,15.0,200.0,1500.0
a5_KO,160.0,0.08773689620164377,0.055857416890740606,0.3949715826300668,50,15.0,200.0,1500.0
a5_KO,170.0,0.04013465608527551,0.053597850706327915,0.3789940369146866,50,15.0,200.0,1500.0
a5_KO,180.0,-0.013239780959704682,0.053285334826432634,0.37678421593566225,50,15.0,200.0,1500.0
a5_KO_APP,0.0,-0.3152933089704484,0.1949783925625153,1.378705435658073,50,15.0,200.0,1500.0
a5_KO_APP,10.0,-0.7074408333044555,0.18729767971233868,1.3243945942510074,50,15.0,200.0,1500.0
a5_KO_APP,20.0,-1.0600689640512289,0.2135632205655199,1.510120014739175,50,15.0,200.0,1500.0
a5_KO_APP,30.0,-0.9440191589181015,0.19851774831244065,1.4037324601761108,50,15.0,200.0,1500.0
a5_KO_APP,40.0,-0.6949673939439375,0.1649310947609474,1.1662389553398695,50,15.0,200.0,1500.0
a5_KO_APP,50.0,-0.5095969223233218,0.13552212205742112,0.9582861150759348,50,15.0,200.0,1500.0
a5_KO_APP,60.0,-0.2767960669670486,0.09958149759836714,0.7041475223251731,50,15.0,200.0,1500.0
a5_KO_APP,70.0,-0.27096142605042084,0.09903329443888624,0.7002711406098047,50,15.0,200.0,1500.0
a5_KO_APP,80.0,-0.35591488142504324,0.10005794395797754,0.7075165068426945,50,15.0,200.0,1500.0
a5_KO_APP,90.0,-0.46739997483730755,0.08973579120150393,0.6345278647372355,50,15.0,200.0,1500.0
a5_KO_APP,100.0,-0.5001362827124995,0.09270660263720576,0.6555346738553487,50,15.0,200.0,1500.0
a5_KO_APP,110.0,-0.4951456580626113,0.10524705736557263,0.7442090796312598,50,15.0,200.0,1500.0
a5_KO_APP,120.0,-0.46231074289652074,0.10765722703780195,0.7612515528216949,50,15.0,200.0,1500.0
a5_KO_APP,130.0,-0.4591282074008683,0.10686697637977745,0.7556636368304324,50,15.0,200.0,1500.0
a5_KO_APP,140.0,-0.4653001828727652,0.10618768565135435,0.7508603260257812,50,15.0,200.0,1500.0
a5_KO_APP,150.0,-0.3674685887408971,0.10182782676381322,0.7200314681818134,50,15.0,200.0,1500.0
a5_KO_APP,160.0,-0.24396623316449376,0.10308986298906264,0.7289554119115829,50,15.0,200.0,1500.0
a5_KO_APP,170.0,-0.18628809721660047,0.10534553897055508,0.7449054497383121,50,15.0,200.0,1500.0
a5_KO_APP,180.0,-0.10251626019950728,0.1055782479039075,0.746550950386474,50,15.0,200.0,1500.0
