condition_key,offset_deg,amp_factor,n_trials,drift_mean_deg,drift_sd_deg,drift_sem_deg,collapse_prob,pre_amp_mean,post_amp_mean,distractor_duration_ms,delay1_ms,delay2_ms,cue_amp_factor
WT,0,0.5,10,-0.10890414455997643,2.9550172148958,0.9344584924077971,0.0,0.2422131581814754,0.2226409307500957,250.0,1000.0,1000.0,15.0
WT,0,0.75,10,-0.06276192419360539,4.8151620257706185,1.5226879304185543,0.0,0.2422131581814754,0.14353816977798892,250.0,1000.0,1000.0,15.0
WT,0,1.0,10,-0.16313548017682816,7.586139535019504,2.3989479578512314,0.0,0.24221315818147543,0.09869314702566241,250.0,1000.0,1000.0,15.0
WT,0,1.25,10,-0.48751242865412403,11.123496467846868,3.5175584383234026,0.1,0.2422131581814754,0.07111810520696409,250.0,1000.0,1000.0,15.0
WT,0,1.5,10,-1.1185176930486087,15.606078367297282,4.935075298374121,0.2,0.2422131581814754,0.05351827478484135,250.0,1000.0,1000.0,15.0
WT,5,0.5,10,-0.006596421408338093,3.1572995786937676,0.9984257924162336,0.0,0.2422131581814754,0.22548412736331525,250.0,1000.0,1000.0,15.0
WT,5,0.75,10,-2.3449104116235087,5.0278553056006,1.5899474511459835,0.0,0.24221315818147543,0.1461867400296418,250.0,1000.0,1000.0,15.0
WT,5,1.0,10,-4.82274519349629,7.553087331860793,2.388495933484417,0.0,0.2422131581814754,0.10115117394643207,250.0,1000.0,1000.0,15.0
WT,5,1.25,10,-7.7609068984879555,10.778036311064227,3.408314344696201,0.0,0.24221315818147543,0.07325199745021775,250.0,1000.0,1000.0,15.0
WT,5,1.5,10,-11.45912236103932,15.087915824531438,4.771217915041674,0.2,0.2422131581814754,0.05556269554198558,250.0,1000.0,1000.0,15.0
WT,10,0.5,10,0.3202512733126087,3.2493979017178276,1.0275498393600293,0.0,0.2422131581814754,0.23171738314541507,250.0,1000.0,1000.0,15.0
WT,10,0.75,10,-3.9702051917761545,4.976611301321215,1.5737426741509566,0.0,0.2422131581814754,0.15338690645458913,250.0,1000.0,1000.0,15.0
WT,10,1.0,10,-8.602120959653764,7.066312487308154,2.2345642118383426,0.0,0.2422131581814754,0.1088418378102541,250.0,1000.0,1000.0,15.0
WT,10,1.25,10,-13.848885788695998,9.969497165582938,3.15263181698349,0.0,0.2422131581814754,0.0811727323829329,250.0,1000.0,1000.0,15.0
