offset_deg,amp_factor,trial_idx,displacement_deg,pre_amp,post_amp
0.0,0.5,3,5.211063059892503,0.22573188741568967,0.2267033936302974
0.0,0.5,0,0.46170535845578536,0.2269320265889766,0.20731560855326878
0.0,0.5,1,-0.3059370307992412,0.2462902270194026,0.24146498084251358
0.0,0.5,2,0.749503518318405,0.2339444668260971,0.2629105486114256
0.0,0.5,5,-3.0194007238244356,0.22638025736000467,0.1966041529999424
0.0,0.5,4,0.5465243581314111,0.276026769432952,0.2198426405456802
0.0,0.5,6,-3.7031675876714725,0.23648980744937792,0.19608748662193565
0.0,0.5,7,3.881377516257547,0.22207843917679418,0.23071686545393205
0.0,0.5,8,-1.9903325897834023,0.25993563534385666,0.21692564797597466
0.0,0.5,9,-2.9203773245768634,0.2683220652016028,0.22783798226598662
0.0,0.75,0,2.358099979664347,0.2269320265889766,0.1306035996760384
0.0,0.75,1,-2.1272948853591824,0.2462902270194026,0.16005766860783177
0.0,0.75,2,-1.0369526163622567,0.2339444668260971,0.1661449159928882
0.0,0.75,3,9.560927173772217,0.22573188741568967,0.15653526348272226
0.0,0.75,4,2.715747755062522,0.276026769432952,0.1469074724394509
0.0,0.75,5,-5.911305604046526,0.22638025736000467,0.12774433634583127
0.0,0.75,6,-7.328577407416739,0.23648980744937792,0.11486734997109402
0.0,0.75,7,2.865917656276302,0.22207843917679418,0.15539339192179394
0.0,0.75,8,-0.40816928910184747,0.25993563534385666,0.1428806051080132
0.0,0.75,9,-1.3160120044248906,0.2683220652016028,0.1342470942342254
0.0,1.0,0,4.883211257057672,0.2269320265889766,0.08818134016704421
0.0,1.0,1,-3.5490604080456563,0.2462902270194026,0.11217744871342748
0.0,1.0,2,-3.436166523808802,0.2339444668260971,0.11276420652642502
0.0,1.0,3,13.18389765576896,0.22573188741568967,0.11584073333351402
0.0,1.0,5,-10.903461330167382,0.22638025736000467,0.09160425395528576
0.0,1.0,4,5.905257257769695,0.276026769432952,0.10731021291484327
0.0,1.0,6,-11.590243032383782,0.23648980744937792,0.06841617087979068
0.0,1.0,7,2.2646750534535713,0.22207843917679418,0.10954944777278179
0.0,1.0,9,-0.09773809155117866,0.2683220652016028,0.08529558589516249
0.0,1.25,0,8.110507346389833,0.2269320265889766,0.062424620600635854
0.0,1.0,8,1.70827336013862,0.25993563534385666,0.09579207009834927
0.0,1.25,1,-4.325380990983856,0.2462902270194026,0.08369277927444396
0.0,1.25,3,16.30909770953587,0.22573188741568967,0.08858225184343765
0.0,1.25,4,9.88575653049686,0.276026769432952,0.08315752777033555
0.0,1.25,5,-16.887509550625733,0.22638025736000467,0.07120121350930757
0.0,1.25,2,-5.982468204643603,0.2339444668260971,0.08106451269868419
0.0,1.25,6,-18.018145578757537,0.23648980744937792,0.04004151720722391
0.0,1.25,7,1.8380368852570232,0.22207843917679418,0.07882170748076796
0.0,1.25,8,4.328337797032932,0.25993563534385666,0.06582161514432852
0.0,1.25,9,-0.13335623024303006,0.2683220652016028,0.056373306540475725
0.0,1.5,0,12.796802628662986,0.2269320265889766,0.045581400330318246
0.0,1.5,2,-8.499840783636623,0.2339444668260971,0.06103699356714115
0.0,1.5,1,-3.854695895955719,0.2462902270194026,0.06647980344830227
0.0,1.5,3,18.984134573417826,0.22573188741568967,0.06962696463139234
0.0,1.5,4,14.590344074453522,0.276026769432952,0.06799688701409544
0.0,1.5,6,-28.539476802767823,0.23648980744937792,0.02365429919453906
0.0,1.5,5,-22.189216635180152,0.22638025736000467,0.05931638288324734
0.0,1.5,7,1.2275693087122763,0.22207843917679418,0.05793889076272238
