condition,w_inter,trial_idx,seed,A_hat,cap_hit,noise_percentile,noise_threshold
WT,0.001,0,452,0.009512092069,0,95,0.01436998416
WT,0.001,1,453,0.01338863523,0,95,0.01436998416
WT,0.001,2,454,0.003021824503,0,95,0.01436998416
WT,0.001,3,455,0.01786912163,0,95,0.01436998416
WT,0.001,4,456,0.008676302908,0,95,0.01436998416
WT,0.001,5,457,0.005488729686,0,95,0.01436998416
WT,0.001,6,458,0.009338409239,0,95,0.01436998416
WT,0.001,7,459,0.003130933452,0,95,0.01436998416
WT,0.001,8,460,0.004306099783,0,95,0.01436998416
WT,0.001,9,461,0.005878016254,0,95,0.01436998416
WT,0.001,10,462,0.00513943286,0,95,0.01436998416
WT,0.001,11,463,0.004219965442,0,95,0.01436998416
WT,0.001,12,464,0.001248644197,0,95,0.01436998416
WT,0.001,13,465,0.005300049694,0,95,0.01436998416
WT,0.001,14,466,0.006036164581,0,95,0.01436998416
WT,0.001,15,467,0.008323605575,0,95,0.01436998416
WT,0.001,16,468,0.005212299953,0,95,0.01436998416
WT,0.001,17,469,0.005116002836,0,95,0.01436998416
WT,0.001,18,470,0.004762972171,0,95,0.01436998416
WT,0.001,19,471,0.006926340104,0,95,0.01436998416
WT,0.001,20,472,0.005757668769,0,95,0.01436998416
WT,0.001,21,473,0.002177242563,0,95,0.01436998416
WT,0.001,22,474,0.01215535832,0,95,0.01436998416
WT,0.001,23,475,0.008961077435,0,95,0.01436998416
WT,0.001,24,476,0.005158845389,0,95,0.01436998416
WT,0.001,25,477,0.00826235336,0,95,0.01436998416
WT,0.001,26,478,0.0115323426,0,95,0.01436998416
WT,0.001,27,479,0.005242065328,0,95,0.01436998416
WT,0.001,28,480,0.005815654889,0,95,0.01436998416
WT,0.001,29,481,0.01606455492,0,95,0.01436998416
WT,0.001,30,482,0.007107515955,0,95,0.01436998416
WT,0.001,31,483,0.005399650172,0,95,0.01436998416
WT,0.001,32,484,0.003180519307,0,95,0.01436998416
WT,0.001,33,485,0.005122159821,0,95,0.01436998416
WT,0.001,34,486,0.003236073242,0,95,0.01436998416
WT,0.001,35,487,0.01186183718,0,95,0.01436998416
WT,0.001,36,488,0.001698688461,0,95,0.01436998416
WT,0.001,37,489,0.004282382041,0,95,0.01436998416
WT,0.001,38,490,0.007524393854,0,95,0.01436998416
WT,0.001,39,491,0.003135697916,0,95,0.01436998416
WT,0.001,40,492,0.007432591866,0,95,0.01436998416
WT,0.001,41,493,0.007324938616,0,95,0.01436998416
WT,0.001,42,494,0.009365881348,0,95,0.01436998416
WT,0.001,43,495,0.003727424831,0,95,0.01436998416
WT,0.001,44,496,0.001155234487,0,95,0.01436998416
WT,0.001,45,497,0.006839670505,0,95,0.01436998416
WT,0.001,46,498,0.00932096417,0,95,0.01436998416
WT,0.001,47,499,0.002590326551,0,95,0.01436998416
WT,0.001,48,500,0.006397155787,0,95,0.01436998416
WT,0.001,49,501,0.003402093851,0,95,0.01436998416
WT,0.001,50,502,0.00166180574,0,95,0.01436998416
WT,0.001,51,503,0.01185144567,0,95,0.01436998416
WT,0.001,52,504,0.01108865676,0,95,0.01436998416
WT,0.001,53,505,0.006504837632,0,95,0.01436998416
WT,0.001,54,506,0.008680298857,0,95,0.01436998416
WT,0.001,55,507,0.008918331017,0,95,0.01436998416
WT,0.001,56,508,0.005450992275,0,95,0.01436998416
WT,0.001,57,509,0.008152880708,0,95,0.01436998416
WT,0.001,58,510,0.01436025464,0,95,0.01436998416
WT,0.001,59,511,0.003510880112,0,95,0.01436998416
WT,0.001,60,512,0.006713116126,0,95,0.01436998416
WT,0.001,61,513,0.008477811256,0,95,0.01436998416
WT,0.001,62,514,0.009767153662,0,95,0.01436998416
WT,0.001,63,515,0.01249386248,0,95,0.01436998416
WT,0.001,64,516,0.01387528661,0,95,0.01436998416
WT,0.001,65,517,0.003697873649,0,95,0.01436998416
WT,0.001,66,518,0.00132722,0,95,0.01436998416
WT,0.001,67,519,0.00720579364,0,95,0.01436998416
WT,0.001,68,520,0.006124494723,0,95,0.01436998416
WT,0.001,69,521,0.006965387606,0,95,0.01436998416
WT,0.001,70,522,0.002123583075,0,95,0.01436998416
WT,0.001,71,523,0.002872043824,0,95,0.01436998416
WT,0.001,72,524,0.007566596385,0,95,0.01436998416
WT,0.001,73,525,0.01043458433,0,95,0.01436998416
WT,0.001,74,526,0.008083044208,0,95,0.01436998416
WT,0.001,75,527,0.006433172069,0,95,0.01436998416
WT,0.001,76,528,0.00892251151,0,95,0.01436998416
WT,0.001,77,529,0.002345699837,0,95,0.01436998416
WT,0.001,78,530,0.01479656784,0,95,0.01436998416
WT,0.001,79,531,0.005794831904,0,95,0.01436998416
WT,0.001,80,532,0.001976915346,0,95,0.01436998416
WT,0.001,81,533,0.01091453671,0,95,0.01436998416
WT,0.001,82,534,0.002957270125,0,95,0.01436998416
WT,0.001,83,535,0.01490709696,0,95,0.01436998416
WT,0.001,84,536,0.0112491687,0,95,0.01436998416
WT,0.001,85,537,0.004971658476,0,95,0.01436998416
WT,0.001,86,538,0.003088289878,0,95,0.01436998416
WT,0.001,87,539,0.005255413943,0,95,0.01436998416
WT,0.001,88,540,0.00430667438,0,95,0.01436998416
WT,0.001,89,541,0.008208823447,0,95,0.01436998416
WT,0.001,90,542,0.002137658083,0,95,0.01436998416
WT,0.001,91,543,0.005788976207,0,95,0.01436998416
WT,0.001,92,544,0.009742966192,0,95,0.01436998416
WT,0.001,93,545,0.008400321718,0,95,0.01436998416
WT,0.001,94,546,0.01247490304,0,95,0.01436998416
WT,0.001,95,547,0.01455484508,0,95,0.01436998416
WT,0.001,96,548,0.007300992159,0,95,0.01436998416
WT,0.001,97,549,0.009255727841,0,95,0.01436998416
WT,0.001,98,550,0.008359476936,0,95,0.01436998416
WT,0.001,99,551,0.002280134791,0,95,0.01436998416
WT,0.0014583333,0,452,0.009564482353,0,95,0.01456256351
WT,0.0014583333,1,453,0.0132795323,0,95,0.01456256351
WT,0.0014583333,2,454,0.003009869453,0,95,0.01456256351
WT,0.0014583333,3,455,0.01800272286,0,95,0.01456256351
WT,0.0014583333,4,456,0.008646850151,0,95,0.01456256351
WT,0.0014583333,5,457,0.005622738211,0,95,0.01456256351
