Rank    L_total   L_bistab     L_rate  L_rate_hi   L_margin    r_low   r_high   SOM_hi    PV_hi   VIP_hi      regime
--------------------------------------------------------------------------------------------------------------------
   1  2214.8943    11.4109  2083.4466     0.0000    30.0000    37.75      nan      nan      nan      nan  monostable
   2  2313.2156    43.1262  2037.5847     0.0000    30.0000    13.54      nan      nan      nan      nan  monostable
   3  2560.8879    42.3858  2288.9591     0.0000    30.0000    17.99      nan      nan      nan      nan  monostable
   4  3638.1197    43.2022  3362.1087     0.0000    30.0000     0.00      nan      nan      nan      nan  monostable
   5  3902.4572    43.2010  3626.4522     0.0000    30.0000     2.53      nan      nan      nan      nan  monostable
   6  4432.5547    40.0881  4172.1144     0.0000    30.0000    10.73      nan      nan      nan      nan  monostable
   7  4671.3661     0.0000  4591.0694     0.0000    30.0000    49.90      nan      nan      nan      nan  monostable
   8  6958.2966     0.0000  5140.4628     0.0000    30.0000    51.59      nan      nan      nan      nan  monostable
   9  10937.7119     7.8045  4145.5026     0.0000    30.0000    71.45      nan      nan      nan      nan  monostable
  10  15716.1513     6.3971  4577.0867     0.0000    30.0000    70.60      nan      nan      nan      nan  monostable
